"group"	"objectID"	"neededResearches"	"talkPack1"	"talkPack2"	"talkPack3"	"talkPack4"	"talkPack5"	"talkPack6"	"talkPack7"
"TALK_ED_TANK,TALK_ED_HEAVY_TANK,TALK_ED_CIVIL,TALK_ED_AIRCRAFT,TALK_ED_SHIP"	TALK_ED_TANK	""	"TALK_EDUT_SELECTED"	"TALK_EDUT_MOVING"	"TALK_EDUT_ATTACK"	"TALK_EDUT_COMMAND"	"TALK_EDUT_ENEMY"	"TALK_EDUT_HELP"	""
"TALK_ED_TANK,TALK_ED_HEAVY_TANK,TALK_ED_CIVIL,TALK_ED_AIRCRAFT,TALK_ED_SHIP"	TALK_ED_HEAVY_TANK	""	"TALK_EDUX_SELECTED"	"TALK_EDUX_MOVING"	"TALK_EDUX_ATTACK"	"TALK_EDUX_COMMAND"	"TALK_EDUX_ENEMY"	"TALK_EDUX_HELP"	""
"TALK_ED_TANK,TALK_ED_HEAVY_TANK,TALK_ED_CIVIL,TALK_ED_AIRCRAFT,TALK_ED_SHIP"	TALK_ED_CIVIL	""	"TALK_EDUC_SELECTED"	"TALK_EDUC_MOVING"	""	"TALK_EDUC_COMMAND"	"TALK_EDUC_ENEMY"	"TALK_EDUC_HELP"	""
"TALK_ED_TANK,TALK_ED_HEAVY_TANK,TALK_ED_CIVIL,TALK_ED_AIRCRAFT,TALK_ED_SHIP"	TALK_ED_AIRCRAFT	""	"TALK_EDUA_SELECTED"	"TALK_EDUA_MOVING"	"TALK_EDUA_ATTACK"	"TALK_EDUA_COMMAND"	"TALK_EDUA_ENEMY"	"TALK_EDUA_HELP"	""
"TALK_ED_TANK,TALK_ED_HEAVY_TANK,TALK_ED_CIVIL,TALK_ED_AIRCRAFT,TALK_ED_SHIP"	TALK_ED_SHIP	""	"TALK_EDUS_SELECTED"	"TALK_EDUS_MOVING"	"TALK_EDUS_ATTACK"	"TALK_EDUS_COMMAND"	"TALK_EDUS_ENEMY"	"TALK_EDUS_HELP"	""
"TALK_LC_TANK,TALK_LC_HEAVY_TANK,TALK_LC_CIVIL,TALK_LC_FANG,TALK_LC_AIRCRAFT"	TALK_LC_TANK	""	"TALK_LCUT_SELECTED"	"TALK_LCUT_MOVING"	"TALK_LCUT_ATTACK"	"TALK_LCUT_COMMAND"	"TALK_LCUT_ENEMY"	"TALK_LCUT_HELP"	""
"TALK_LC_TANK,TALK_LC_HEAVY_TANK,TALK_LC_CIVIL,TALK_LC_FANG,TALK_LC_AIRCRAFT"	TALK_LC_HEAVY_TANK	""	"TALK_LCUX_SELECTED"	"TALK_LCUX_MOVING"	"TALK_LCUX_ATTACK"	"TALK_LCUX_COMMAND"	"TALK_LCUX_ENEMY"	"TALK_LCUX_HELP"	""
"TALK_LC_TANK,TALK_LC_HEAVY_TANK,TALK_LC_CIVIL,TALK_LC_FANG,TALK_LC_AIRCRAFT"	TALK_LC_CIVIL	""	"TALK_LCUC_SELECTED"	"TALK_LCUC_MOVING"	""	"TALK_LCUC_COMMAND"	"TALK_LCUC_ENEMY"	"TALK_LCUC_HELP"	""
"TALK_LC_TANK,TALK_LC_HEAVY_TANK,TALK_LC_CIVIL,TALK_LC_FANG,TALK_LC_AIRCRAFT"	TALK_LC_FANG	""	"TALK_LCUF_SELECTED"	"TALK_LCUF_MOVING"	"TALK_LCUF_ATTACK"	"TALK_LCUF_COMMAND"	"TALK_LCUF_ENEMY"	"TALK_LCUF_HELP"	""
"TALK_LC_TANK,TALK_LC_HEAVY_TANK,TALK_LC_CIVIL,TALK_LC_FANG,TALK_LC_AIRCRAFT"	TALK_LC_AIRCRAFT	""	"TALK_LCUA_SELECTED"	"TALK_LCUA_MOVING"	"TALK_LCUA_ATTACK"	"TALK_LCUA_COMMAND"	"TALK_LCUA_ENEMY"	"TALK_LCUA_HELP"	""
"TALK_MM_TANK,TALK_MM_RUS,TALK_MM_ENG"	TALK_MM_TANK	""	"TALK_MMUT_SELECTED"	"TALK_MMUT_MOVING"	"TALK_MMUT_ATTACK"	"TALK_MMUT_COMMAND"	"TALK_MMUT_ENEMY"	"TALK_MMUT_HELP"	""
"TALK_MM_TANK,TALK_MM_RUS,TALK_MM_ENG"	TALK_MM_RUS	""	"TALK_MMUR_SELECTED"	"TALK_MMUR_MOVING"	"TALK_MMUR_ATTACK"	"TALK_MMUR_COMMAND"	"TALK_MMUR_ENEMY"	"TALK_MMUR_HELP"	""
