"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"explosionTicks"	"explosionFlags"
"AFTERBURN1"	AFTERBURN1	""	"PYAFTERBURN1"	0	0	0	0	""	""	"AFTERBURN2"	""	0	0	0	0	0	0	0	400	16
"AFTERBURN2"	AFTERBURN2	""	"PYAFTERBURN2"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	400	16
"EXP_AR1,EXP_AR2,EXP_AR3,EXP_AR4,EXP_AR5"	EXP_AR1	""	"PYEXP_AR"	0	0	0	0	"SND_EXP_AR"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_AR1,EXP_AR2,EXP_AR3,EXP_AR4,EXP_AR5"	EXP_AR2	""	"PYEXP_AR"	0	0	0	0	"SND_EXP_AR"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_AR1,EXP_AR2,EXP_AR3,EXP_AR4,EXP_AR5"	EXP_AR3	""	"PYEXP_AR"	0	0	0	0	"SND_EXP_AR"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_AR1,EXP_AR2,EXP_AR3,EXP_AR4,EXP_AR5"	EXP_AR4	""	"PYEXP_AR"	0	0	0	0	"SND_EXP_AR"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_AT_SPHERE,EXP_AT_MUSHROOM,EXP_AT_SHOCKWAVE1,EXP_AT_SHOCKWAVE2"	EXP_AT_SPHERE	""	"PYEXP_AT_SPHERE"	0	0	0	0	"SND_EXP_AT1"	""	""	""	0	0	0	0	0	0	0	32	3
"EXP_AT_SPHERE,EXP_AT_MUSHROOM,EXP_AT_SHOCKWAVE1,EXP_AT_SHOCKWAVE2"	EXP_AT_MUSHROOM	""	"PYEXP_AT_MUSHROOM"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	96	3
"EXP_AT_SPHERE,EXP_AT_MUSHROOM,EXP_AT_SHOCKWAVE1,EXP_AT_SHOCKWAVE2"	EXP_AT_SHOCKWAVE1	""	"PYEXP_AT_SHOCKWAVE1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_AT_SPHERE,EXP_AT_MUSHROOM,EXP_AT_SHOCKWAVE1,EXP_AT_SHOCKWAVE2"	EXP_AT_SHOCKWAVE2	""	"PYEXP_AT_SHOCKWAVE2"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB1	""	"PYEXP_B1"	0	0	0	0	"SND_EXP_BB"	""	"LEJBIG1"	""	0	0	0	0	0	0	0	32	1
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB2	""	"PYEXP_B2"	0	0	0	0	"SND_EXP_BB"	""	""	""	0	0	0	0	0	0	0	24	1
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB3	""	"PYEXP_B3"	0	0	0	0	"SND_EXP_FS1"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB4	""	"PYEXP_B4"	0	0	0	0	"SND_EXP_FM3"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB5	""	"PYEXP_B5"	0	0	0	0	"SND_EXP_FM3"	""	""	""	0	0	0	0	0	0	0	16	0
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB1LC	""	"PYEXP_B1LC"	0	0	0	0	"SND_EXP_BB"	""	""	""	0	0	0	0	0	0	0	32	1
"EXP_BB1,EXP_BB2,EXP_BB3,EXP_BB4,EXP_BB5,EXP_BB1LC,EXP_BB2LC,EXP_BB3LC,EXP_BB4LC,EXP_BB5LC,EXP_BB6LC,EXP_BB7LC,EXP_BB8LC,EXP_BB9LC,EXP_RUIN_S1,EXP_RUIN_S2,EXP_RUIN_B1"	EXP_BB2LC	""	"PYEXP_B2LC"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	10	0
