"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"mesh1"	"mesh2"	"mesh3"	"smokeTime1"	"smokeTime2"	"smokeTime3"	"smokeFrequency"	"startingTime"	"smokingTime"	"endingTime"	"smokeUpSpeed"	"newSmokeDistance"
"FIRE_START,FIRE_MID,FIRE_END,NOFIRE_SMOKE1,NOFIRE_SMOKE2,NOFIRE_SMOKE_END"	FIRE_START	""	"PY_FIRE_S"	0	0	0	0	""	"FIRE_MID"	""	""	0	0	0	0	0	0	0	"SMOKE_FIRE1"	"SMOKE_FIRE1"	"SMOKE_FIRE1"	48	48	64	8	40	0	0	4	32
"FIRE_START,FIRE_MID,FIRE_END,NOFIRE_SMOKE1,NOFIRE_SMOKE2,NOFIRE_SMOKE_END"	FIRE_MID	""	"PY_FIRE_B"	0	0	0	0	""	"FIRE_END"	""	""	0	0	0	0	0	0	0	"SMOKE_FIRE2"	"SMOKE_FIRE2"	"SMOKE_FIRE3"	90	80	70	8	0	400	0	5	32
"FIRE_START,FIRE_MID,FIRE_END,NOFIRE_SMOKE1,NOFIRE_SMOKE2,NOFIRE_SMOKE_END"	FIRE_END	""	"PY_FIRE_S"	0	0	0	0	""	""	"AFTERBURN1"	""	0	0	0	0	0	0	0	"SMOKE_FIRE1"	"SMOKE_FIRE1"	"SMOKE_FIRE1"	48	48	64	8	0	0	100	4	32
"FIRE_START,FIRE_MID,FIRE_END,NOFIRE_SMOKE1,NOFIRE_SMOKE2,NOFIRE_SMOKE_END"	NOFIRE_SMOKE1	""	"SMOKE_NULL"	0	0	0	0	""	"NOFIRE_SMOKE_END"	""	""	0	0	0	0	0	0	0	"SMOKE_SB1"	"SMOKE_SB2"	"SMOKE_SB3"	40	50	60	4	0	500	0	5	16
"FIRE_START,FIRE_MID,FIRE_END,NOFIRE_SMOKE1,NOFIRE_SMOKE2,NOFIRE_SMOKE_END"	NOFIRE_SMOKE2	""	"SMOKE_NULL"	0	0	0	0	""	"NOFIRE_SMOKE_END"	""	""	0	0	0	0	0	0	0	"SMOKE_FIRE1"	"SMOKE_FIRE1"	"SMOKE_FIRE1"	32	48	55	8	0	400	0	7	32
"FIRE_START,FIRE_MID,FIRE_END,NOFIRE_SMOKE1,NOFIRE_SMOKE2,NOFIRE_SMOKE_END"	NOFIRE_SMOKE_END	""	"SMOKE_NULL"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	"SMOKE_SB1"	"SMOKE_SB2"	"SMOKE_SB3"	32	25	35	4	0	200	50	5	16
"FIRE_TREE_START,FIRE_TREE_MID,FIRE_TREE_END"	FIRE_TREE_START	""	"PY_FIRE_TS"	0	0	0	0	""	"FIRE_TREE_MID"	""	""	0	0	0	0	0	0	0	"SMOKE_FIRE1"	"SMOKE_FIRE1"	"SMOKE_FIRE1"	48	48	48	8	40	0	0	5	32
"FIRE_TREE_START,FIRE_TREE_MID,FIRE_TREE_END"	FIRE_TREE_MID	""	"PY_FIRE_TB"	0	0	0	0	""	"FIRE_TREE_END"	""	""	0	0	0	0	0	0	0	"SMOKE_FIRE2"	"SMOKE_FIRE2"	"SMOKE_FIRE3"	64	64	64	8	0	400	0	6	32
"FIRE_TREE_START,FIRE_TREE_MID,FIRE_TREE_END"	FIRE_TREE_END	""	"PY_FIRE_TS"	0	0	0	0	""	""	"AFTERBURN1"	""	0	0	0	0	0	0	0	"SMOKE_FIRE1"	"SMOKE_FIRE1"	"SMOKE_FIRE1"	48	48	48	8	0	0	100	5	32
"HIT_SMOKE"	HIT_SMOKE	""	"SMOKE_NULL"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	"SMOKE_SB1"	"SMOKE_SB2"	"SMOKE_SB3"	64	64	64	3	0	100	20	4	32
"SMOKE_AR,SMOKE_SR,SMOKE_MR,SMOKE_HR,SMOKE_ST,SMOKE_MT,SMOKE_SF,SMOKE_MF1,SMOKE_MF2,SMOKE_MF3,SMOKE_P1,SMOKE_P2,SMOKE_U,smoke_ExpGround,SMOKE_ENGINE_S,SMOKE_KILWATER_S,SMOKE_KILWATER_B,SMOKE_KILWATER_SS,SMOKE_KILWATER_BS,SMOKE_DUST,SMOKE_METEOR1,SMOKE_METEOR2,SMOKE_METEOR3,SMOKE_METEOR4,SMOKE_METEOR5"	SMOKE_AR	""	"SMOKE_AR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	"SMOKE_AR"	"SMOKE_AR"	"SMOKE_AR"	8	8	8	1	0	10000	0	0	16
