"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"buildingType"	"buildingTypeEx"	"buildingTabType"	"$initCannonID1"	"$initCannonID2"	"$initCannonID3"	"$initCannonID4"	"$copulaID"	"buildingTunnelNumber"	"$upgradeCopulaSmallID"	"$upgradeCopulaBigID"	"$buildLCTransporterID"	"$chimneySmokeID"	"needPower"	"$slaveBuildingID"	"maxSubBuildingsCount"	"powerLevel"	"powerTransmitterRange"	"connectTransmitterRange"	"fullEnergyPowerInDay"	"resourceInputOutput"	"ticPerContainer"	"$containerID"	"containerSmeltingTicks"	"resourcesPerTransport"	"$transporterID"	"$buildingAmmoID"	"rangeOfBuildingFire"	"$shootExplosionID"	"ammoReloadTime"	"$buildExplosion"	"copulaAnimationFlags"	"endOfClosingCopulaAnimation"	"$laserID"	"spaceStationType"
"EDBAB"	EDBAB	""	"EDBAB"	9	7	1500	500	"SND_EDB"	"HIT_SMOKE"	"EXP_BUILD_B"	"NEXEDBAB"	2400	0	0	25000	500	0	0	2	""	"SMALLGENED"	2	"b5"	""	""	""	8	0	0	""	""	""	""	"EDBBAB"	32	"EDCBU1"	"EDCBU2"	""	""	50	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	""	0	0	""	0
"EDBART"	EDBART	"RES_ED_ART"	"EDBART"	9	8	7000	1000	"SND_EDB"	"HIT_SMOKE"	"EXP_BUILD_S"	""	3000	0	0	10000	500	0	0	1	""	"SMALLGENED"	2	"b26,31"	""	""	""	0	0	2	"EDCART"	""	""	""	"EDBBART"	-1	"EDCBU1"	"EDCBU2"	""	""	100	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	""	0	0	""	0
"EDBBA"	EDBBA	""	"EDBBA"	9	7	1000	500	"SND_EDB"	"HIT_SMOKE"	"EXP_BUILD_B"	"NEXEDBBA"	3000	0	0	25000	500	0	0	2	""	"SMALLGENED"	2	"b4,12"	"b5"	""	""	5	0	0	""	""	""	""	"EDBBBA"	32	"EDCBU1"	"EDCBU2"	""	""	50	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	""	0	0	""	0
"EDBBC"	EDBBC	"RES_ED_WHR1"	"EDBBC"	9	7	30000	800	"SND_EDB"	"HIT_SMOKE"	"EXP_BUILD_B"	"NEXEDBBC"	4000	0	25	25000	500	0	0	2	""	"SMALLGENED"	2	""	""	""	""	15	0	2	""	""	""	""	"EDBBBC"	32	"EDCBU1"	"EDCBU2"	""	""	50	"EDBSI"	4	0	0	0	0	0	0	""	0	0	""	""	0	""	0	""	0	0	""	0
"EDBBPP,EDBBBA,EDBBFA,EDBBWB,EDBBRC,EDBBHQ,EDBBMI,EDBBRE,EDBBTC,EDBBAB,EDBBRA,EDBBEN1,EDBBEN2,EDBBST,EDBBBT,EDBBPB,EDBBBC,EDBBSI,EDBBSS,EDBBLZ,EDBBUC,EDBBART,EDBBHT"	EDBBPP	"RES_ED_NOT_FOR_BUILD"	"EDBBPP"	9	28	0	500	"SND_EDBUILD"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENED"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_ED"	2	0	""	0
"EDBBPP,EDBBBA,EDBBFA,EDBBWB,EDBBRC,EDBBHQ,EDBBMI,EDBBRE,EDBBTC,EDBBAB,EDBBRA,EDBBEN1,EDBBEN2,EDBBST,EDBBBT,EDBBPB,EDBBBC,EDBBSI,EDBBSS,EDBBLZ,EDBBUC,EDBBART,EDBBHT"	EDBBBA	"RES_ED_NOT_FOR_BUILD"	"EDBBBA"	9	28	0	500	"SND_EDBUILD"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENED"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_ED"	2	0	""	0
"EDBBPP,EDBBBA,EDBBFA,EDBBWB,EDBBRC,EDBBHQ,EDBBMI,EDBBRE,EDBBTC,EDBBAB,EDBBRA,EDBBEN1,EDBBEN2,EDBBST,EDBBBT,EDBBPB,EDBBBC,EDBBSI,EDBBSS,EDBBLZ,EDBBUC,EDBBART,EDBBHT"	EDBBFA	"RES_ED_NOT_FOR_BUILD"	"EDBBFA"	9	28	0	500	"SND_EDBUILD"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENED"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_ED"	2	0	""	0
"EDBBPP,EDBBBA,EDBBFA,EDBBWB,EDBBRC,EDBBHQ,EDBBMI,EDBBRE,EDBBTC,EDBBAB,EDBBRA,EDBBEN1,EDBBEN2,EDBBST,EDBBBT,EDBBPB,EDBBBC,EDBBSI,EDBBSS,EDBBLZ,EDBBUC,EDBBART,EDBBHT"	EDBBWB	"RES_ED_NOT_FOR_BUILD"	"EDBBWB"	9	28	0	500	"SND_EDBUILD"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENED"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_ED"	2	0	""	0
"EDBBPP,EDBBBA,EDBBFA,EDBBWB,EDBBRC,EDBBHQ,EDBBMI,EDBBRE,EDBBTC,EDBBAB,EDBBRA,EDBBEN1,EDBBEN2,EDBBST,EDBBBT,EDBBPB,EDBBBC,EDBBSI,EDBBSS,EDBBLZ,EDBBUC,EDBBART,EDBBHT"	EDBBRC	"RES_ED_NOT_FOR_BUILD"	"EDBBRC"	9	28	0	500	"SND_EDBUILD"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENED"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_ED"	2	0	""	0
"EDBBPP,EDBBBA,EDBBFA,EDBBWB,EDBBRC,EDBBHQ,EDBBMI,EDBBRE,EDBBTC,EDBBAB,EDBBRA,EDBBEN1,EDBBEN2,EDBBST,EDBBBT,EDBBPB,EDBBBC,EDBBSI,EDBBSS,EDBBLZ,EDBBUC,EDBBART,EDBBHT"	EDBBHQ	"RES_ED_NOT_FOR_BUILD"	"EDBBHQ"	9	28	0	500	"SND_EDBUILD"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENED"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_ED"	2	0	""	0
