"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"soilSpeed"	"roadSpeed"	"sandSpeed"	"bankSpeed"	"waterSpeed"	"deepWaterSpeed"	"airSpeed"	"objectType"	"$engineSmokeID"	"$dustID"	"$billowID"	"$standBillowID"	"$trackID"
"EDUA11,EDUA12"	EDUA11	"RES_ED_UA11"	"EDUA11"	7	1	350	600	"SND_EDUAS"	""	"EXP_UNIT_A"	""	240	0	0	80	200	0	1	4	"TALK_ED_AIRCRAFT"	""	-1	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b1,3,4"	""	""	""	""	""
"EDUA11,EDUA12"	EDUA12	"RES_ED_UA12"	"EDUA12"	7	1	350	600	"SND_EDUAS"	""	"EXP_UNIT_A"	""	300	0	0	80	200	0	1	4	"TALK_ED_AIRCRAFT"	""	-1	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b1,3,4"	""	""	""	""	""
"EDUA21,EDUA22"	EDUA21	"RES_ED_UA21"	"EDUA21"	7	1	450	800	"SND_EDUAS"	""	"EXP_UNIT_A"	""	300	0	25	80	200	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	0	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b1,3,4"	""	""	""	""	""
"EDUA21,EDUA22"	EDUA22	"RES_ED_UA22"	"EDUA22"	7	1	450	800	"SND_EDUAS"	""	"EXP_UNIT_A"	""	375	0	25	80	200	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b1,3,4"	""	""	""	""	""
"EDUA31,EDUA32"	EDUA31	"RES_ED_UA31"	"EDUA31"	7	3	1300	1200	"SND_EDUAB"	""	"EXP_UNIT_A"	""	600	0	50	80	200	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b1,5"	""	""	""	""	""
"EDUA31,EDUA32"	EDUA32	"RES_ED_UA32"	"EDUA32"	7	3	1300	1200	"SND_EDUAB"	""	"EXP_UNIT_A"	""	750	0	50	80	200	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b1,5"	""	""	""	""	""
"EDUA41,EDUA42"	EDUA41	"RES_ED_UA41"	"EDUA41"	7	3	1000	1200	"SND_EDUAB"	""	"EXP_UNIT_A"	""	375	0	25	80	200	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b1,5"	""	""	""	""	""
"EDUA41,EDUA42"	EDUA42	"RES_ED_UA42"	"EDUA42"	7	3	1000	1200	"SND_EDUAB"	""	"EXP_UNIT_A"	""	450	0	25	80	200	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b1,5"	""	""	""	""	""
"EDUBS1"	EDUBS1	"RES_ED_UHS1"	"EDUBS1"	12	4	700	1200	"SND_USB"	"HIT_SMOKE"	"EXP_EDUBS1"	""	1400	0	75	300	1200	0	3	2	"TALK_ED_SHIP"	"SMALLGENED"	2	"b6"	"b11"	""	""	0	0	0	0	15	15	0	"b4"	""	""	"SMOKE_KILWATER_B"	"SMOKE_KILWATER_BS"	""
"EDUBS2"	EDUBS2	"RES_ED_UHS2"	"EDUBS2"	12	4	700	1200	"SND_USB"	"HIT_SMOKE"	"EXP_EDUBS2"	""	1600	0	75	350	1200	0	3	2	"TALK_ED_SHIP"	"SMALLGENED"	2	"b6"	"b11"	"b11"	""	0	0	0	0	14	14	0	"b4"	""	""	"SMOKE_KILWATER_B"	"SMOKE_KILWATER_BS"	""
"EDUBT1,EDUBT2"	EDUBT1	"RES_ED_UBT1"	"EDUBT1"	6	3	1200	1500	"SND_EDUHT"	"HIT_SMOKE"	"EXP_UNIT_B"	"NEXEDUBT"	1350	0	75	450	400	0	1	2	"TALK_ED_HEAVY_TANK"	"SMALLGENED"	2	"b1"	"b1"	""	""	18	18	18	18	0	0	0	"b8"	"SMOKE_ENGINE_S"	"SMOKE_DUST"	""	""	"TRACK_EDUBT1"
"EDUBT1,EDUBT2"	EDUBT2	"RES_ED_UBT2"	"EDUBT2"	6	3	1200	1500	"SND_EDUHT"	"HIT_SMOKE"	"EXP_UNIT_B"	"NEXEDUBT"	1500	0	75	500	400	0	1	2	"TALK_ED_HEAVY_TANK"	"SMALLGENED"	2	"b1"	"b1"	""	""	18	18	18	18	0	0	0	"b8"	"SMOKE_ENGINE_S"	"SMOKE_DUST"	""	""	"TRACK_EDUBT1"
"EDUCTF"	EDUCTF	"RES_ED_NOT_FOR_BUILD"	"NEACTFED"	6	3	500	1000	""	""	""	""	10000	10000	0	20000	20000	59	1	2	""	""	-1	""	""	""	""	0	0	0	0	0	0	0	"b8,12"	""	""	""	""	""
"EDUFAKE1"	EDUFAKE1	""	"EDUFAKE1"	6	1	50	600	"SND_EDUST"	"HIT_SMOKE"	"EXP_UNIT_S"	"NEXEDUST"	60	0	0	50	50	0	1	2	"TALK_ED_TANK"	""	-1	""	""	""	""	13	13	14	16	0	0	0	"b8"	""	"SMOKE_DUST"	""	""	"TRACK_EDUST1"
"EDUFAKE2"	EDUFAKE2	"RES_ED_UMT1"	"EDUFAKE2"	6	1	50	600	"SND_EDUST"	"HIT_SMOKE"	"EXP_UNIT_S"	"NEXEDUST"	60	0	0	50	50	0	1	2	"TALK_ED_TANK"	""	-1	""	""	""	""	14	12	15	15	0	0	0	"b8"	""	"SMOKE_DUST"	""	""	"TRACK_EDUMT1"
"EDUFAKE3"	EDUFAKE3	"RES_ED_UHT1"	"EDUFAKE3"	6	2	50	600	"SND_EDUST"	"HIT_SMOKE"	"EXP_UNIT_S"	"NEXEDUST"	60	0	0	50	50	0	1	2	"TALK_ED_TANK"	""	-1	""	""	""	""	15	13	17	16	0	0	0	"b8"	""	"SMOKE_DUST"	""	""	""
