"category"	"objectID"	"neededResearches"	"mesh"	"meshParamsIndex"	"priceCampaign"	"priceSingle"	"timeCampaign"	"timeSingle"	"video"
"Unit"	RES_LCUFG1	"RES_MISSION_PACK1_ONLY"	"LCUFG1"	13	10000	3000	5	3	""
"Unit"	RES_LCUFG2	"RES_LCUFG1"	"LCUFG2"	13	10000	3000	5	3	""
"Unit"	RES_LCUFG3	"RES_LCUFG2"	"LCUFG3"	13	10000	3000	5	3	""
"Unit"	RES_LCUNH	"RES_LC_ULU3"	"LCUNH"	11	10000	3000	5	4	""
"Unit"	RES_LCUSF1	"RES_LC_UME1,RES_MISSION_PACK1_ONLY"	"LCUSF1"	12	5000	3000	10	5	""
"Unit"	RES_LCUSF2	"RES_LCUSF1"	"LCUSF2"	12	5000	3000	10	5	""
"Unit"	RES_LCUUT	"RES_LC_UME1,RES_MISSION_PACK1_ONLY"	"LCUUT"	13	5000	2000	5	5	""
"Unit"	RES_LC_UBO1	"RES_LC_UME2"	"LCUBO1"	13	5000	3000	10	5	""
"Unit"	RES_LC_UBO2	"RES_LC_UBO1"	"LCUBO2"	13	5000	3000	10	5	""
"Unit"	RES_LC_UCR1	"RES_LC_UMO2"	"LCUCR1"	12	5000	3000	10	4	""
"Unit"	RES_LC_UCR2	"RES_LC_UCR1"	"LCUCR2"	12	5000	3000	10	4	""
"Unit"	RES_LC_UCR3	"RES_LC_UCR2"	"LCUCR3"	12	5000	3000	10	4	""
"Unit"	RES_LC_UCU1	"RES_LC_UCR2"	"LCUCU1"	13	5000	3000	10	4	""
"Unit"	RES_LC_UCU2	"RES_LC_UCU1"	"LCUCU2"	13	5000	3000	10	4	""
"Unit"	RES_LC_UCU3	"RES_LC_UCU2"	"LCUCU3"	13	5000	3000	10	4	""
"Unit"	RES_LC_ULU2	""	"LCULU2"	11	5000	2000	5	2	""
"Unit"	RES_LC_ULU3	"RES_LC_ULU2"	"LCULU3"	11	5000	2000	5	2	""
"Unit"	RES_LC_UME1	""	"LCUME1"	11	5000	2000	5	5	""
"Unit"	RES_LC_UME2	"RES_LC_UME1"	"LCUME2"	11	5000	2000	5	5	""
"Unit"	RES_LC_UME3	"RES_LC_UME2"	"LCUME3"	11	5000	2000	5	5	""
"Unit"	RES_LC_UMO2	"RES_LC_ULU2"	"LCUMO2"	11	5000	2000	5	3	""
"Unit"	RES_LC_UMO3	"RES_LC_UMO2"	"LCUMO3"	11	5000	2000	5	3	""
"Weapon"	RES_LCCAA1	"RES_LC_WSR2,RES_MISSION_PACK1_ONLY"	"LCCAA1"	11	10000	5000	10	4	""
"Weapon"	RES_LCUNH1	"RES_LC_WSL2"	"LCWHERO"	0	10000	3000	6	6	""
"Weapon"	RES_LCWEQ1	"RES_MISSION_PACK1_ONLY"	"LCWEQ1"	1	10000	3000	5	4	""
"Weapon"	RES_LCWEQ2	"RES_LCWEQ1"	"LCWEQ2"	1	10000	3000	5	4	""
"Weapon"	RES_LC_ACH2	"RES_LC_WCH2"	"LCWAC2"	0	10000	3000	5	4	""
"Weapon"	RES_LC_AMR1	"RES_LC_WMR1"	"LCWAMR1"	0	10000	5000	10	5	""
"Weapon"	RES_LC_AMR2	"RES_LC_AMR1"	"LCWAMR2"	0	10000	5000	10	5	""
"Weapon"	RES_LC_ASR1	""	"LCWAR1"	0	10000	3000	5	4	""
