"category"	"objectID"	"neededResearches"	"mesh"	"meshParamsIndex"	"priceCampaign"	"priceSingle"	"timeCampaign"	"timeSingle"	"video"
"Unit"	RES_UCSUCS	""	"UCSUCS"	22	10000	3000	5	2	""
"Unit"	RES_UCSUUT	"RES_UCS_GARG1"	"UCSUUT"	22	5000	2000	5	2	""
"Unit"	RES_UCS_BOMBER21	"RES_UCS_GARG1"	"UCSUA21"	22	5000	3000	10	8	"CS109"
"Unit"	RES_UCS_BOMBER22	"RES_UCS_BOMBER21"	"UCSUA22"	22	5000	3000	10	5	""
"Unit"	RES_UCS_BOMBER31	"RES_UCS_BOMBER22"	"UCSUA31"	22	5000	3000	10	5	""
"Unit"	RES_UCS_BOMBER32	"RES_UCS_BOMBER31"	"UCSUA32"	22	5000	3000	10	5	""
"Unit"	RES_UCS_GARG1	""	"UCSUA11"	21	5000	3000	5	5	"CS108"
"Unit"	RES_UCS_GARG2	"RES_UCS_GARG1"	"UCSUA12"	21	5000	3000	5	5	""
"Unit"	RES_UCS_GARG3	"RES_UCS_GARG2"	"UCSUA13"	21	5000	3000	5	5	""
"Unit"	RES_UCS_U4L1	"RES_UCS_U4L1"	"UCSU4L1"	25	5000	3000	10	4	""
"Unit"	RES_UCS_U4L2	"RES_UCS_U4L1"	"UCSU4L2"	25	5000	3000	10	4	""
"Unit"	RES_UCS_U4L3	"RES_UCS_U4L2"	"UCSU4L3"	25	5000	3000	10	4	""
"Unit"	RES_UCS_UBL1	"RES_UCS_UHL1"	"UCSUBL1"	23	5000	3000	10	4	""
"Unit"	RES_UCS_UBL2	"RES_UCS_UBL1"	"UCSUBL2"	23	5000	3000	10	4	""
"Unit"	RES_UCS_UBS1	"RES_UCS_USS2"	"UCSUBS1"	24	5000	3000	10	4	""
"Unit"	RES_UCS_UBS2	"RES_UCS_UBS1"	"UCSUBS2"	24	5000	3000	10	4	""
"Unit"	RES_UCS_UBS3	"RES_UCS_UBS2"	"UCSUBS3"	24	5000	3000	10	4	""
"Unit"	RES_UCS_UHL1	"RES_UCS_UML1"	"UCSUHL1"	23	5000	3000	10	4	""
"Unit"	RES_UCS_UHL2	"RES_UCS_UHL1"	"UCSUHL2"	23	5000	3000	10	4	""
"Unit"	RES_UCS_UHL3	"RES_UCS_UHL2"	"UCSUHL3"	23	5000	3000	10	4	""
"Unit"	RES_UCS_UMI1	""	"UCSUMI1"	22	5000	3000	10	4	""
"Unit"	RES_UCS_UMI2	"RES_UCS_UMI1"	"UCSUMI2"	22	5000	3000	10	4	""
"Unit"	RES_UCS_UML1	""	"UCSUML1"	22	5000	2000	5	2	""
