"group"	"objectID"	"neededResearches"	"normalWavePack1"	"normalWavePack2"	"normalWavePack3"	"normalWavePack4"	"loopedWavePack1"	"loopedWavePack2"	"loopedWavePack3"	"loopedWavePack4"
"SND_CONT"	SND_CONT	""	"SND_CONT"	""	""	""	""	""	""	""
"SND_COPULA,SND_EDBUILD,SND_UPGCOPULA"	SND_COPULA	""	""	"BS_Copula_Open"	"BS_Copula_Close"	""	""	"BS_Build"	""	""
"SND_COPULA,SND_EDBUILD,SND_UPGCOPULA"	SND_EDBUILD	""	""	"BS_EDBuildStart"	"BS_EDBuildEnd"	""	""	"BS_EDBuild"	""	""
"SND_COPULA,SND_EDBUILD,SND_UPGCOPULA"	SND_UPGCOPULA	""	""	"BS_Upg_Copula_Open"	"BS_Upg_Copula_Close"	""	""	""	""	""
"SND_EDB,SND_EDB_WORK,SND_EDBSI"	SND_EDB	""	""	"BS_Open"	"BS_Close"	""	""	""	""	""
"SND_EDB,SND_EDB_WORK,SND_EDBSI"	SND_EDB_WORK	""	""	"BS_Open"	"BS_Close"	""	"BS_Vent"	""	""	""
"SND_EDB,SND_EDB_WORK,SND_EDBSI"	SND_EDBSI	""	"SHT_HR"	"BS_Open"	"BS_Close"	""	""	""	""	""
"SND_EDUBU,SND_UCSUBU"	SND_EDUBU	""	"SND_EDUBUWorkStart"	""	""	""	"SND_EDUHT"	"SND_EDUBUWork"	""	""
"SND_EDUBU,SND_UCSUBU"	SND_UCSUBU	""	"SND_UCSUBUWorkStart"	""	""	""	"SND_UCSUV"	"SND_UCSUBUWork"	""	""
"SND_EDUST,SND_EDUMT,SND_EDUHT,SND_EDUAS,SND_EDUAB,SND_USS,SND_USB,SND_USM"	SND_EDUST	""	""	""	""	""	"SND_EDUST"	""	""	""
"SND_EDUST,SND_EDUMT,SND_EDUHT,SND_EDUAS,SND_EDUAB,SND_USS,SND_USB,SND_USM"	SND_EDUMT	""	""	""	""	""	"SND_EDUMT"	""	""	""
"SND_EDUST,SND_EDUMT,SND_EDUHT,SND_EDUAS,SND_EDUAB,SND_USS,SND_USB,SND_USM"	SND_EDUHT	""	""	""	""	""	"SND_EDUHT"	""	""	""
"SND_EDUST,SND_EDUMT,SND_EDUHT,SND_EDUAS,SND_EDUAB,SND_USS,SND_USB,SND_USM"	SND_EDUAS	""	""	""	""	""	"SND_EDUAS"	""	""	""
"SND_EDUST,SND_EDUMT,SND_EDUHT,SND_EDUAS,SND_EDUAB,SND_USS,SND_USB,SND_USM"	SND_EDUAB	""	""	""	""	""	"SND_EDUAB"	""	""	""
"SND_EDUST,SND_EDUMT,SND_EDUHT,SND_EDUAS,SND_EDUAB,SND_USS,SND_USB,SND_USM"	SND_USS	""	""	""	""	""	"SND_USS"	""	""	""
