"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"soilSpeed"	"roadSpeed"	"sandSpeed"	"bankSpeed"	"waterSpeed"	"deepWaterSpeed"	"airSpeed"	"objectType"	"$engineSmokeID"	"$dustID"	"$billowID"	"$standBillowID"	"$trackID"
"LCUBO1,LCUBO2"	LCUBO1	"RES_LC_UBO1"	"LCUBO1"	7	14	1500	1200	"SND_LCUAB"	""	"EXP_UNIT_A"	""	600	1	25	80	200	1	1	4	"TALK_LC_AIRCRAFT"	"SMALLGENLC"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"LCUBO1,LCUBO2"	LCUBO2	"RES_LC_UBO2"	"LCUBO2"	7	14	1500	1200	"SND_LCUAB"	""	"EXP_UNIT_A"	""	750	1	50	80	200	1	1	4	"TALK_LC_AIRCRAFT"	"SMALLGENLC"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"LCUCR1,LCUCR2,LCUCR3"	LCUCR1	"RES_LC_UCR1"	"LCUCR1"	7	12	1250	1200	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCR"	900	1	75	200	400	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC"	2	"b1"	""	""	""	13	13	13	13	13	13	0	"b3,8"	""	""	""	""	""
"LCUCR1,LCUCR2,LCUCR3"	LCUCR2	"RES_LC_UCR2"	"LCUCR2"	7	12	1250	1200	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCR"	1000	1	75	250	400	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC"	2	"b1"	""	""	""	13	13	13	13	13	13	0	"b3,8"	""	""	""	""	""
"LCUCR1,LCUCR2,LCUCR3"	LCUCR3	"RES_LC_UCR3"	"LCUCR3"	7	12	1250	1200	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCR"	1100	1	75	300	400	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC"	2	"b1"	""	""	""	13	13	13	13	13	13	0	"b3,8"	""	""	""	""	""
"LCUCTF"	LCUCTF	"RES_LC_NOT_FOR_BUILD"	"NEACTFLC"	6	3	500	1000	""	""	""	""	10000	10000	0	20000	20000	59	1	2	""	""	-1	""	""	""	""	0	0	0	0	0	0	0	"b8,12"	""	""	""	""	""
"LCUCU1,LCUCU2,LCUCU3"	LCUCU1	"RES_LC_UCU1"	"LCUCU1"	7	13	1550	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	1100	1	75	300	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC"	2	"b1"	"b1"	""	""	16	16	16	16	16	16	0	"b3,8"	""	""	""	""	""
"LCUCU1,LCUCU2,LCUCU3"	LCUCU2	"RES_LC_UCU2"	"LCUCU2"	7	13	1550	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	1200	1	75	350	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC"	2	"b1"	"b1"	""	""	16	16	16	16	16	16	0	"b3,8"	""	""	""	""	""
"LCUCU1,LCUCU2,LCUCU3"	LCUCU3	"RES_LC_UCU3"	"LCUCU3"	7	13	1550	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	1300	1	75	400	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC"	2	"b1"	"b1"	""	""	15	15	15	15	15	15	0	"b3,8"	""	""	""	""	""
"LCUFG1,LCUFG2,LCUFG3"	LCUFG1	"RES_LCUFG1"	"LCUFG1"	7	13	650	900	"SND_LCUVS"	"HIT_SMOKE"	"EXP_UNIT_W"	""	600	3	50	200	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC"	2	"b11"	"b11"	""	""	16	16	16	16	16	16	0	"b3,8"	""	""	""	""	""
