"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"passiveMask"	"$wallCopulaID"
"CONTAINER,SPACE_CONTAINER,PA_MIS_HR1,PA_MIS_HR2,PA_MIS_HR3,PA_MIS_HR4"	CONTAINER	""	"NERCONT"	9	0	10	0	""	""	"EXP_UNIT_S"	""	50	0	0	0	0	0	1	"b5"	""
"CONTAINER,SPACE_CONTAINER,PA_MIS_HR1,PA_MIS_HR2,PA_MIS_HR3,PA_MIS_HR4"	SPACE_CONTAINER	""	"NERCONT2"	9	0	10	0	""	""	"EXP_UNIT_S"	""	100	0	0	0	0	0	1	"b5"	""
"CONTAINER,SPACE_CONTAINER,PA_MIS_HR1,PA_MIS_HR2,PA_MIS_HR3,PA_MIS_HR4"	PA_MIS_HR1	""	"NEMHR1"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	"b6"	""
"CONTAINER,SPACE_CONTAINER,PA_MIS_HR1,PA_MIS_HR2,PA_MIS_HR3,PA_MIS_HR4"	PA_MIS_HR2	""	"NEMHR2"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	"b6"	""
"CONTAINER,SPACE_CONTAINER,PA_MIS_HR1,PA_MIS_HR2,PA_MIS_HR3,PA_MIS_HR4"	PA_MIS_HR3	""	"NEMHR3"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	"b6"	""
"CONTAINER,SPACE_CONTAINER,PA_MIS_HR1,PA_MIS_HR2,PA_MIS_HR3,PA_MIS_HR4"	PA_MIS_HR4	""	"NEMHR4"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	"b6"	""
"N1BRIDGE1,N1BRIDGE2,N1BRIDGE3,N1BRIDGE4,N1BRIDGE5,N1BRIDGE6,N1BRIDGE7"	N1BRIDGE1	""	"EDBBR11"	13	0	50	100	""	""	"EXP_BRIDGE11"	""	3000	0	0	0	0	0	0	"b8"	""
"N1BRIDGE1,N1BRIDGE2,N1BRIDGE3,N1BRIDGE4,N1BRIDGE5,N1BRIDGE6,N1BRIDGE7"	N1BRIDGE2	""	"EDBBR12"	13	0	50	100	""	""	"EXP_BRIDGE12"	""	3000	0	0	0	0	0	0	"b8"	""
"N1BRIDGE1,N1BRIDGE2,N1BRIDGE3,N1BRIDGE4,N1BRIDGE5,N1BRIDGE6,N1BRIDGE7"	N1BRIDGE3	""	"EDBBR13"	13	0	50	100	""	""	"EXP_BRIDGE13"	""	3000	0	0	0	0	0	0	"b8"	""
"N1BRIDGE1,N1BRIDGE2,N1BRIDGE3,N1BRIDGE4,N1BRIDGE5,N1BRIDGE6,N1BRIDGE7"	N1BRIDGE4	""	"EDBBR14"	13	0	50	100	""	""	"EXP_BRIDGE14"	""	3000	0	0	0	0	0	0	"b8"	""
