"category"	"objectID"	"neededResearches"	"mesh"	"meshParamsIndex"	"priceCampaign"	"priceSingle"	"timeCampaign"	"timeSingle"	"video"
"Unit"	RES_EDUSTEALTH	"RES_ED_UMW3,RES_MISSION_PACK1_ONLY"	"EDUSTEALTH"	1	5000	2000	10	6	""
"Unit"	RES_EDUUT	"RES_ED_UA11"	"EDUUT"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA11	""	"EDUA11"	1	5000	2000	5	5	""
"Unit"	RES_ED_UA12	"RES_ED_UA11"	"EDUA12"	1	5000	2000	5	4	""
"Unit"	RES_ED_UA21	"RES_ED_UA11"	"EDUA21"	1	5000	2000	5	5	""
"Unit"	RES_ED_UA22	"RES_ED_UA21"	"EDUA22"	1	5000	2000	5	4	""
"Unit"	RES_ED_UA31	"RES_ED_UA42"	"EDUA31"	1	5000	3000	10	5	""
"Unit"	RES_ED_UA32	"RES_ED_UA31"	"EDUA32"	1	5000	3000	10	4	""
"Unit"	RES_ED_UA41	"RES_ED_UA21"	"EDUA41"	1	5000	3000	10	5	""
"Unit"	RES_ED_UA42	"RES_ED_UA41"	"EDUA42"	1	5000	3000	10	4	""
"Unit"	RES_ED_UBT1	"RES_ED_UHT2"	"EDUBT1"	3	5000	3000	10	4	""
"Unit"	RES_ED_UBT2	"RES_ED_UBT1"	"EDUBT2"	3	5000	3000	10	4	""
"Unit"	RES_ED_UHS1	"RES_ED_USS2"	"EDUBS1"	4	5000	2000	2	2	""
"Unit"	RES_ED_UHS2	"RES_ED_UHS1"	"EDUBS2"	4	5000	2000	2	2	""
"Unit"	RES_ED_UHT1	"RES_ED_UST2"	"EDUHT1"	2	5000	3000	10	4	""
"Unit"	RES_ED_UHT2	"RES_ED_UHT1"	"EDUHT2"	2	5000	3000	10	4	""
"Unit"	RES_ED_UHT3	"RES_ED_UHT2"	"EDUHT3"	2	5000	3000	10	4	""
"Unit"	RES_ED_UHW1	"RES_ED_UMW2"	"EDUHW1"	2	5000	3000	10	4	""
"Unit"	RES_ED_UHW2	"RES_ED_UHW1"	"EDUHW2"	2	5000	3000	6	6	""
"Unit"	RES_ED_UMI1	""	"EDUMI1"	1	5000	3000	10	4	""
"Unit"	RES_ED_UMI2	"RES_ED_UMI1"	"EDUMI2"	1	5000	3000	10	4	""
"Unit"	RES_ED_UMT1	""	"EDUMT1"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMT2	"RES_ED_UMT1"	"EDUMT2"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMT3	"RES_ED_UMT2"	"EDUMT3"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW1	""	"EDUMW1"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW2	"RES_ED_UMW1"	"EDUMW2"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW3	"RES_ED_UMW2"	"EDUMW3"	1	5000	2000	5	2	""
"Unit"	RES_ED_UOH2	"RES_ED_NOT_FOR_BUILD"	"EDUOH1"	1	5000	2000	5	2	""
"Unit"	RES_ED_USM1	"RES_ED_UHS1,RES_MISSION_PACK1_ONLY"	"EDUSM1"	22	5000	3000	7	7	""
"Unit"	RES_ED_USM2	"RES_ED_USM1"	"EDUSM2"	22	5000	3000	5	5	""
"Unit"	RES_ED_USS2	""	"EDUSS2"	1	5000	2000	1	1	""
"Unit"	RES_ED_USS3	"RES_ED_USS2"	"EDUSS3"	1	5000	2000	1	1	""
"Unit"	RES_ED_UST2	""	"EDUST2"	1	5000	2000	5	2	""
"Unit"	RES_ED_UST3	"RES_ED_UST2"	"EDUST3"	1	5000	2000	5	2	""
"Weapon"	RES_EDWAA1	"RES_ED_WCH2,RES_MISSION_PACK1_ONLY"	"EDWAA1"	0	10000	3000	5	4	""
"Weapon"	RES_EDWEQ1	"RES_MISSION_PACK1_ONLY"	"EDWEQ1"	1	10000	3000	5	4	""
"Weapon"	RES_EDWEQ2	"RES_EDWEQ1"	"EDWEQ2"	1	10000	3000	5	4	""
"Weapon"	RES_ED_AB1	"RES_ED_UA41"	"EDWAB1"	0	10000	5000	10000	5	""
"Weapon"	RES_ED_AB2	"RES_ED_AB1"	"EDWAB2"	0	10000	5000	10000	5	""
"Weapon"	RES_ED_ACH2	"RES_ED_WCH2"	"EDWAC2"	0	10000	3000	5	4	""
"Weapon"	RES_ED_AMR1	"RES_ED_WMR1"	"EDWAMR1"	1	10000	5000	10	5	""
"Weapon"	RES_ED_AMR2	"RES_ED_AMR1"	"EDWAMR2"	1	10000	5000	10	5	""
"Weapon"	RES_ED_ASR1	"RES_ED_WSR1"	"EDWAR1"	0	10000	3000	5	4	""
"Weapon"	RES_ED_ASR2	"RES_ED_ASR1"	"EDWAR2"	0	10000	3000	5	4	""
"Weapon"	RES_ED_MOBART	"RES_ED_WCA2"	"EDWART"	1	23000	23000	23	23	""
"Weapon"	RES_ED_WCA2	""	"EDWCA2"	1	10000	3000	5	5	""
"Weapon"	RES_ED_WCH2	""	"EDWCH2"	0	10000	3000	5	4	""
"Weapon"	RES_ED_WHC1	"RES_ED_WCA2"	"EDWHC1"	1	10000	5000	8	8	""
"Weapon"	RES_ED_WHC2	"RES_ED_WHC1"	"EDWHC2"	1	10000	5000	2	2	""
"Weapon"	RES_ED_WHI1	"RES_ED_WSI1"	"EDWHI1"	1	10000	5000	10	5	""
"Weapon"	RES_ED_WHI2	"RES_ED_WHI1"	"EDWHI2"	1	10000	5000	10	5	""
"Weapon"	RES_ED_WHL1	"RES_ED_WSL1"	"EDWHL1"	1	10000	5000	10	5	""
"Weapon"	RES_ED_WHL2	"RES_ED_WHL1"	"EDWHL2"	1	10000	5000	10	5	""
"Weapon"	RES_ED_WHL3	"RES_ED_WHL2"	"EDWHL3"	1	10000	5000	10	5	""
"Weapon"	RES_ED_WHR1	"RES_ED_WMR3"	"EDWHR1"	1	10000	5000	10	5	""
"Weapon"	RES_ED_WMR1	"RES_ED_WSR2"	"EDWMR1"	1	10000	5000	10	4	""
"Weapon"	RES_ED_WMR2	"RES_ED_WMR1"	"EDWMR2"	1	10000	5000	10	4	""
"Weapon"	RES_ED_WMR3	"RES_ED_WMR2"	"EDWMR3"	1	10000	5000	10	4	""
"Weapon"	RES_ED_WNR	"RES_ED_NOT_FOR_BUILD"	"EDUST1"	0	10000	3000	5	4	""
"Weapon"	RES_ED_WSI1	""	"EDWSI1"	0	10000	3000	10	5	"CS208"
"Weapon"	RES_ED_WSI2	"RES_ED_WSI1"	"EDWSI2"	0	10000	3000	10	5	""
