"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"buildingType"	"buildingTypeEx"	"buildingTabType"	"$initCannonID1"	"$initCannonID2"	"$initCannonID3"	"$initCannonID4"	"$copulaID"	"buildingTunnelNumber"	"$upgradeCopulaSmallID"	"$upgradeCopulaBigID"	"$buildLCTransporterID"	"$chimneySmokeID"	"needPower"	"$slaveBuildingID"	"maxSubBuildingsCount"	"powerLevel"	"powerTransmitterRange"	"connectTransmitterRange"	"fullEnergyPowerInDay"	"resourceInputOutput"	"ticPerContainer"	"$containerID"	"containerSmeltingTicks"	"resourcesPerTransport"	"$transporterID"	"$buildingAmmoID"	"rangeOfBuildingFire"	"$shootExplosionID"	"ammoReloadTime"	"$buildExplosion"	"copulaAnimationFlags"	"endOfClosingCopulaAnimation"	"$laserID"	"spaceStationType"
"COPULA_UCS1,COPULA_UCS2,COPULA_UCS3,COPULA_UCS4,COPULA_UCS5,COPULA_UCS6,COPULA_UCS7,COPULA_UCS8"	COPULA_UCS1	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU1"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	9	58	""	0
"COPULA_UCS1,COPULA_UCS2,COPULA_UCS3,COPULA_UCS4,COPULA_UCS5,COPULA_UCS6,COPULA_UCS7,COPULA_UCS8"	COPULA_UCS2	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU2"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_S"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	5	58	""	0
"COPULA_UCS1,COPULA_UCS2,COPULA_UCS3,COPULA_UCS4,COPULA_UCS5,COPULA_UCS6,COPULA_UCS7,COPULA_UCS8"	COPULA_UCS3	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU3"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	61	64	""	0
"COPULA_UCS1,COPULA_UCS2,COPULA_UCS3,COPULA_UCS4,COPULA_UCS5,COPULA_UCS6,COPULA_UCS7,COPULA_UCS8"	COPULA_UCS4	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU4"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	9	75	""	0
"COPULA_UCS1,COPULA_UCS2,COPULA_UCS3,COPULA_UCS4,COPULA_UCS5,COPULA_UCS6,COPULA_UCS7,COPULA_UCS8"	COPULA_UCS5	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU5"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	9	58	""	0
"COPULA_UCS1,COPULA_UCS2,COPULA_UCS3,COPULA_UCS4,COPULA_UCS5,COPULA_UCS6,COPULA_UCS7,COPULA_UCS8"	COPULA_UCS6	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU6"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	5	75	""	0
"COPULA_UCS1,COPULA_UCS2,COPULA_UCS3,COPULA_UCS4,COPULA_UCS5,COPULA_UCS6,COPULA_UCS7,COPULA_UCS8"	COPULA_UCS7	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU7"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	9	75	""	0
"COPULA_UCS1,COPULA_UCS2,COPULA_UCS3,COPULA_UCS4,COPULA_UCS5,COPULA_UCS6,COPULA_UCS7,COPULA_UCS8"	COPULA_UCS8	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU8"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_B"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	5	75	""	0
"COPULA_UPGRADE"	COPULA_UPGRADE	"RES_UCS_NOT_FOR_BUILD"	"UCSBBU2"	9	28	0	500	"SND_COPULA"	"HIT_SMOKE"	"EXP_BUILD_S"	""	300	0	0	10000	500	1	0	2	""	"SMALLGENUCS"	2	""	""	""	""	26	0	3	""	""	""	""	""	-1	""	""	""	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	5	58	""	0
"UCSBAB"	UCSBAB	""	"UCSBAB"	9	27	1500	500	"SND_UCSB"	"HIT_SMOKE"	"EXP_BUILD_B"	"NEXUCSBAB"	2400	0	0	30000	500	0	0	2	""	"SMALLGENUCS"	2	"b4,12"	""	""	""	8	0	0	""	""	""	""	"COPULA_UCS1"	24	"UCSCBU1"	"UCSCBU2"	""	""	50	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	""	0	0	""	0
"UCSBART"	UCSBART	"RES_UCS_ART"	"UCSBART"	9	28	5000	1000	"SND_UCSB"	"HIT_SMOKE"	"EXP_BUILD_S"	""	600	0	0	500	500	0	0	1	""	"SMALLGENUCS"	2	"b26,31"	""	""	""	0	0	2	"UCSCART"	""	""	""	"COPULA_UCS2"	-1	"UCSCBU1"	"UCSCBU2"	""	""	100	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	""	0	0	""	0
