"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"rangeOfSight"	"plugType"	"slotType"	"maxAlphaPerTick"	"maxBetaPerTick"	"alphaMargin"	"betaMargin"	"barrelBetaType"	"barrelBetaAngle"	"barrelCount"	"$ammoID"	"ammoType"	"targetType"	"rangeOfFire"	"plusDamage"	"fireType"	"shootDelay"	"needExternal"	"reloadDelay"	"maxAmmo"	"$barrelExplosionID"
"EDCAA1"	EDCAA1	"RES_EDWAA1"	"EDCAA1"	10	0	200	300	"SND_SHT_C2"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	32	0	0	4	"MIS_AA1"	4	2	8	0	1	10	1	0	200	"SHT_SC"
"EDCART"	EDCART	"RES_ED_ART"	"EDCART"	10	8	0	0	"SND_SHT_C3"	""	""	""	4	"b26"	""	3	0	10	20	2	40	2	"MIS_EDART"	10	1	66	0	1	100	1	0	6	"SHT_HC"
"EDCCA1,EDCCA2"	EDCCA1	""	"EDCCA1"	10	0	300	300	"SND_SHT_C2"	""	""	"NEXEDW1"	3	"b4,5"	""	5	3	0	32	0	0	1	"MIS_SC1"	4	1	8	0	0	20	1	0	100	"SHT_SC"
"EDCCA1,EDCCA2"	EDCCA2	"RES_ED_WCA2"	"EDCCA2"	10	0	300	300	"SND_SHT_C2"	""	""	"NEXEDW1"	3	"b4,5"	""	5	3	0	32	0	0	2	"MIS_SC1"	4	1	8	0	1	26	1	0	200	"SHT_SC"
"EDCCH1,EDCCH2"	EDCCH1	""	"EDCCH1"	10	0	200	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	32	0	0	1	"MIS_CH1"	4	3	8	0	0	20	1	0	200	"SHT_CH"
"EDCCH1,EDCCH2"	EDCCH2	"RES_ED_WCH2"	"EDCCH2"	10	0	200	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	32	0	0	2	"MIS_CH1"	4	3	8	0	1	26	1	0	400	"SHT_CH"
"EDCHC1,EDCHC2"	EDCHC1	"RES_ED_WHC1"	"EDCHC1"	10	1	600	300	"SND_SHT_C3"	""	""	"NEXEDW2"	3	"b5"	""	3	3	0	32	0	0	1	"MIS_HC1"	4	1	10	0	0	20	1	0	100	"SHT_HC"
"EDCHC1,EDCHC2"	EDCHC2	"RES_ED_WHC2"	"EDCHC2"	10	1	600	300	"SND_SHT_C3"	""	""	"NEXEDW2"	3	"b5"	""	3	3	0	32	0	0	2	"MIS_HC1"	4	1	10	0	1	26	1	0	200	"SHT_HC"
"EDCHI1,EDCHI2"	EDCHI1	"RES_ED_WHI1"	"EDCHI1"	10	1	600	300	"SND_SHT_I2"	""	""	"NEXEDWHI"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_HI"	12	1	9	0	0	20	0	200	1	"SHT_HI"
"EDCHI1,EDCHI2"	EDCHI2	"RES_ED_WHI2"	"EDCHI2"	10	1	600	300	"SND_SHT_I2"	""	""	"NEXEDWHI"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_HI"	12	1	9	0	0	20	0	150	2	"SHT_HI"
"EDCHL1,EDCHL2,EDCHL3"	EDCHL1	"RES_ED_WHL1"	"EDCHL1"	10	1	600	300	"SND_SHT_L2"	""	""	"NEXEDW2"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_HL1"	1	1	8	0	0	0	0	1	16	""
"EDCHL1,EDCHL2,EDCHL3"	EDCHL2	"RES_ED_WHL2"	"EDCHL2"	10	1	600	300	"SND_SHT_L2"	""	""	"NEXEDW2"	3	"b5"	"b11,12"	3	3	0	30	0	0	2	"MIS_HL2"	1	1	8	0	1	0	0	1	16	""
"EDCHL1,EDCHL2,EDCHL3"	EDCHL3	"RES_ED_WHL3"	"EDCHL3"	10	1	600	300	"SND_SHT_L2"	""	""	"NEXEDW2"	3	"b5"	"b11,12"	3	3	0	30	0	0	4	"MIS_HL3"	1	1	8	0	1	0	0	1	16	""
"EDCMR1,EDCMR2,EDCMR3"	EDCMR1	"RES_ED_WMR1"	"EDCMR1"	10	1	600	300	"SND_SHT_R2"	""	""	"NEXEDW2"	3	"b5"	""	3	3	64	20	0	0	1	"MIS_MR1"	6	3	12	0	0	20	1	0	100	""
"EDCMR1,EDCMR2,EDCMR3"	EDCMR2	"RES_ED_WMR2"	"EDCMR2"	10	1	600	300	"SND_SHT_R2"	""	""	"NEXEDW2"	3	"b5"	""	3	3	64	20	0	0	2	"MIS_MR1"	6	3	12	0	0	13	1	0	150	""
"EDCMR1,EDCMR2,EDCMR3"	EDCMR3	"RES_ED_WMR3"	"EDCMR3"	10	1	600	300	"SND_SHT_R2"	""	""	"NEXEDW2"	4	"b5"	""	3	3	64	20	0	0	3	"MIS_MR1"	6	3	12	0	0	10	1	0	200	""
"EDCSI1,EDCSI2"	EDCSI1	"RES_ED_WSI1"	"EDCSI1"	10	0	300	300	"SND_SHT_I1"	""	""	"NEXEDWSI"	2	"b4,5"	""	5	3	0	30	0	0	1	"MIS_SI"	12	1	9	0	0	20	0	100	1	"SHT_SI"
"EDCSI1,EDCSI2"	EDCSI2	"RES_ED_WSI2"	"EDCSI2"	10	0	300	300	"SND_SHT_I1"	""	""	"NEXEDWSI"	2	"b4,5"	""	5	3	0	30	0	0	1	"MIS_SI"	12	1	9	0	0	20	0	80	2	"SHT_SI"
"EDCSL1,EDCSL2,EDCSL3"	EDCSL1	"RES_ED_WSL1"	"EDCSL1"	10	0	300	300	"SND_SHT_L1"	""	""	"NEXEDW1"	2	"b4,5"	""	5	3	0	30	0	0	1	"MIS_SL1"	1	1	7	0	0	0	0	1	16	""
"EDCSL1,EDCSL2,EDCSL3"	EDCSL2	"RES_ED_WSL2"	"EDCSL2"	10	0	300	300	"SND_SHT_L1"	""	""	"NEXEDW1"	2	"b4,5"	""	5	3	0	30	0	0	2	"MIS_SL2"	1	1	7	0	1	0	0	1	16	""
"EDCSL1,EDCSL2,EDCSL3"	EDCSL3	"RES_ED_WSL3"	"EDCSL3"	10	0	300	300	"SND_SHT_L1"	""	""	"NEXEDW1"	2	"b4,5"	""	5	3	0	30	0	0	3	"MIS_SL3"	1	1	7	0	1	0	0	1	16	""
