"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"rangeOfSight"	"plugType"	"slotType"	"maxAlphaPerTick"	"maxBetaPerTick"	"alphaMargin"	"betaMargin"	"barrelBetaType"	"barrelBetaAngle"	"barrelCount"	"$ammoID"	"ammoType"	"targetType"	"rangeOfFire"	"plusDamage"	"fireType"	"shootDelay"	"needExternal"	"reloadDelay"	"maxAmmo"	"$barrelExplosionID"
"UCSCAA1,UCSCAA2"	UCSCAA1	"RES_UCSCAA1"	"UCSCAA1"	10	0	300	600	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5,15"	""	15	10	0	20	0	0	1	"MIS_AAP"	13	2	10	0	0	5	0	30	50	"SHT_SP"
"UCSCAA1,UCSCAA2"	UCSCAA2	"RES_UCSCAA2"	"UCSCAA2"	10	0	300	600	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5,15"	""	15	10	0	20	0	0	2	"MIS_AAP"	13	2	11	10	1	5	0	15	100	"SHT_SP"
"UCSCART"	UCSCART	"RES_UCS_ART"	"UCSCART"	10	28	0	0	"SND_SHT_C3"	""	""	""	4	"b26"	""	3	0	10	20	2	40	1	"MIS_UCSART"	10	1	70	0	0	100	1	0	3	"SHT_HC"
"UCSCDHP1,UCSCDHP2"	UCSCDHP1	"RES_UCS_WHP1"	"UCSWDHP1"	10	1	600	300	"SND_SHT_P2"	""	""	"NEXBCANNON"	2	"b5"	""	4	3	0	50	0	0	1	"MIS_HP"	13	1	11	0	0	5	0	30	50	"SHT_HP"
"UCSCDHP1,UCSCDHP2"	UCSCDHP2	"RES_UCS_WHP2"	"UCSWDHP2"	10	1	600	300	"SND_SHT_P2"	""	""	"NEXBCANNON"	2	"b5"	""	4	3	0	50	0	0	2	"MIS_HP"	13	1	11	0	1	5	0	15	100	"SHT_HP"
"UCSCDMR1,UCSCDMR2"	UCSCDMR1	"RES_UCS_WMR1"	"UCSWDMR1"	10	1	600	300	"SND_SHT_R2"	""	""	"NEXBCANNON"	4	"b5"	""	3	3	64	50	0	0	1	"MIS_MR1"	6	3	13	0	0	20	1	4	60	""
"UCSCDMR1,UCSCDMR2"	UCSCDMR2	"RES_UCS_WMR2"	"UCSWDMR2"	10	1	600	300	"SND_SHT_R2"	""	""	"NEXBCANNON"	4	"b5"	""	3	3	64	50	0	0	2	"MIS_MR1"	6	3	13	0	1	20	1	4	120	""
"UCSCDSR1,UCSCDSR2,UCSCDSR3"	UCSCDSR1	"RES_UCS_WSR1"	"UCSWDSR1"	10	1	300	300	"SND_SHT_R1"	""	""	"NEXBCANNON"	4	"b5"	""	3	3	64	50	0	0	1	"MIS_SR1"	6	3	14	0	0	20	1	4	100	""
"UCSCDSR1,UCSCDSR2,UCSCDSR3"	UCSCDSR2	"RES_UCS_WSR2"	"UCSWDSR2"	10	1	300	300	"SND_SHT_R1"	""	""	"NEXBCANNON"	4	"b5"	""	3	3	64	50	0	0	2	"MIS_SR1"	6	3	14	0	1	26	1	4	150	""
"UCSCDSR1,UCSCDSR2,UCSCDSR3"	UCSCDSR3	"RES_UCS_WSR3"	"UCSWDSR3"	10	1	300	300	"SND_SHT_R1"	""	""	"NEXBCANNON"	4	"b5"	""	3	3	64	50	0	0	2	"MIS_SR1"	6	3	14	0	1	20	1	4	200	""
"UCSCSCH1,UCSCSCH2"	UCSCSCH1	""	"UCSWSCH1"	10	0	200	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	1	"MIS_CH1"	4	3	8	0	0	20	1	0	200	"SHT_CH"
"UCSCSCH1,UCSCSCH2"	UCSCSCH2	"RES_UCS_WCH2"	"UCSWSCH2"	10	0	200	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	2	"MIS_CH1"	4	3	8	0	1	26	1	0	400	"SHT_CH"
"UCSCSD"	UCSCSD	"RES_UCS_WSD"	"UCSCSD"	10	28	300	300	"SND_SHT_L3"	""	""	"NEXBCANNON"	4	"b29"	""	3	3	0	50	0	0	3	"MIS_SDI"	2	3	15	0	1	10	0	3	3	""
"UCSCSSP1,UCSCSSP2"	UCSCSSP1	"RES_UCS_WSP1"	"UCSWSSP1"	10	0	300	300	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	1	"MIS_SP"	13	1	9	0	0	5	0	30	50	"SHT_SP"
