"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"passiveMask"	"$wallCopulaID"
"EDBRIDGE1,EDBRIDGE2,EDBRIDGE3,EDBRIDGE4,EDBRIDGE5,EDBRIDGE6,EDBRIDGE7"	EDBRIDGE1	""	"EDBBR1"	13	0	50	100	""	""	"EXP_BRIDGE01"	""	3000	0	0	0	0	2	0	"b8"	"EDANIMBRIDGE1"
"EDBRIDGE1,EDBRIDGE2,EDBRIDGE3,EDBRIDGE4,EDBRIDGE5,EDBRIDGE6,EDBRIDGE7"	EDBRIDGE2	""	"EDBBR2"	13	0	50	100	""	""	"EXP_BRIDGE02"	""	3000	0	0	0	0	2	0	"b8"	"EDANIMBRIDGE2"
"EDBRIDGE1,EDBRIDGE2,EDBRIDGE3,EDBRIDGE4,EDBRIDGE5,EDBRIDGE6,EDBRIDGE7"	EDBRIDGE3	""	"EDBBR3"	13	0	50	100	""	""	"EXP_BRIDGE03"	""	3000	0	0	0	0	2	0	"b8"	"EDANIMBRIDGE3"
"EDBRIDGE1,EDBRIDGE2,EDBRIDGE3,EDBRIDGE4,EDBRIDGE5,EDBRIDGE6,EDBRIDGE7"	EDBRIDGE4	""	"EDBBR4"	13	0	50	100	""	""	"EXP_BRIDGE04"	""	3000	0	0	0	0	2	0	"b8"	"EDANIMBRIDGE4"
"EDBRIDGE1,EDBRIDGE2,EDBRIDGE3,EDBRIDGE4,EDBRIDGE5,EDBRIDGE6,EDBRIDGE7"	EDBRIDGE5	""	"EDBBR5"	13	0	50	100	""	""	"EXP_BRIDGE05"	""	3000	0	0	0	0	2	0	"b8"	"EDANIMBRIDGE5"
"EDBRIDGE1,EDBRIDGE2,EDBRIDGE3,EDBRIDGE4,EDBRIDGE5,EDBRIDGE6,EDBRIDGE7"	EDBRIDGE6	""	"EDBBR6"	13	0	50	100	""	""	"EXP_BRIDGE01"	""	3000	0	0	0	0	2	0	"b8"	"EDANIMBRIDGE6"
"EDBRIDGE1,EDBRIDGE2,EDBRIDGE3,EDBRIDGE4,EDBRIDGE5,EDBRIDGE6,EDBRIDGE7"	EDBRIDGE7	""	"EDBBR7"	13	0	50	100	""	""	"EXP_BRIDGE01"	""	3000	0	0	0	0	2	0	"b8"	"EDANIMBRIDGE7"
"EDWALL0,EDWALL1,EDWALL2,EDWALL3,EDWALL4,EDWALL5"	EDWALL0	""	"EDBW0"	9	0	10	50	""	""	"EXP_RUIN_S"	""	300	0	50	0	0	2	0	"b1"	"EDANIMWALL0"
"EDWALL0,EDWALL1,EDWALL2,EDWALL3,EDWALL4,EDWALL5"	EDWALL1	""	"EDBW1"	9	0	10	50	""	""	"EXP_RUIN_S"	""	300	0	50	0	0	2	0	"b1"	"EDANIMWALL1"
"EDWALL0,EDWALL1,EDWALL2,EDWALL3,EDWALL4,EDWALL5"	EDWALL2	""	"EDBW2"	9	0	10	50	""	""	"EXP_RUIN_S"	""	300	0	50	0	0	2	0	"b1"	"EDANIMWALL2"
"EDWALL0,EDWALL1,EDWALL2,EDWALL3,EDWALL4,EDWALL5"	EDWALL3	""	"EDBW3"	9	0	10	50	""	""	"EXP_RUIN_S"	""	300	0	50	0	0	2	0	"b1"	"EDANIMWALL3"
"EDWALL0,EDWALL1,EDWALL2,EDWALL3,EDWALL4,EDWALL5"	EDWALL4	""	"EDBW4"	9	0	10	50	""	""	"EXP_RUIN_S"	""	300	0	50	0	0	2	0	"b1"	"EDANIMWALL4"
"EDWALL0,EDWALL1,EDWALL2,EDWALL3,EDWALL4,EDWALL5"	EDWALL5	""	"EDBW5"	9	0	10	50	""	""	"EXP_RUIN_S"	""	300	0	50	0	0	2	0	"b1"	"EDANIMWALL5"
