"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"soilSpeed"	"roadSpeed"	"sandSpeed"	"bankSpeed"	"waterSpeed"	"deepWaterSpeed"	"airSpeed"	"objectType"	"$engineSmokeID"	"$dustID"	"$billowID"	"$standBillowID"	"$trackID"
"UCSU4L1,UCSU4L2,UCSU4L3"	UCSU4L1	"RES_UCS_U4L1"	"UCSU4L1"	6	25	1500	1800	"SND_UCSU4L"	"HIT_SMOKE"	"EXP_UNIT_B"	""	2400	0	75	2000	600	0	1	4	"TALK_UC_HEAVY_TANK"	"SMALLGENUCS"	2	"b1"	"b11"	""	""	17	17	17	17	0	0	0	"b0,8"	""	""	""	""	""
"UCSU4L1,UCSU4L2,UCSU4L3"	UCSU4L2	"RES_UCS_U4L2"	"UCSU4L2"	6	25	1500	1800	"SND_UCSU4L"	"HIT_SMOKE"	"EXP_UNIT_B"	""	3000	0	75	2000	600	0	1	4	"TALK_UC_HEAVY_TANK"	"SMALLGENUCS"	2	"b1"	"b11"	""	""	16	16	17	17	0	0	0	"b0,8"	""	""	""	""	""
"UCSU4L1,UCSU4L2,UCSU4L3"	UCSU4L3	"RES_UCS_U4L3"	"UCSU4L3"	6	25	1500	1800	"SND_UCSU4L"	"HIT_SMOKE"	"EXP_UNIT_B"	""	3600	0	75	2000	600	1	1	4	"TALK_UC_HEAVY_TANK"	"SMALLGENUCS"	2	"b1"	"b11"	""	""	14	14	17	17	0	0	0	"b0,8"	""	""	""	""	""
"UCSUA11,UCSUA12,UCSUA13"	UCSUA11	"RES_UCS_GARG1"	"UCSUA11"	7	21	600	600	"SND_UCSUAS"	""	"EXP_UNIT_A"	""	240	0	25	80	200	0	1	4	"TALK_UC_AIRCRAFT"	""	-1	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b2,3,4"	""	""	""	""	""
"UCSUA11,UCSUA12,UCSUA13"	UCSUA12	"RES_UCS_GARG2"	"UCSUA12"	7	21	600	600	"SND_UCSUAS"	""	"EXP_UNIT_A"	""	270	0	25	80	200	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	0	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b2,3,4"	""	""	""	""	""
"UCSUA11,UCSUA12,UCSUA13"	UCSUA13	"RES_UCS_GARG3"	"UCSUA13"	7	21	600	600	"SND_UCSUAS"	""	"EXP_UNIT_A"	""	300	0	25	80	200	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	0	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b2,3,4"	""	""	""	""	""
"UCSUA21,UCSUA22"	UCSUA21	"RES_UCS_BOMBER21"	"UCSUA21"	7	22	1000	1200	"SND_UCSUAB"	""	"EXP_UNIT_A"	""	375	0	25	80	200	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"UCSUA21,UCSUA22"	UCSUA22	"RES_UCS_BOMBER22"	"UCSUA22"	7	22	1000	1200	"SND_UCSUAB"	""	"EXP_UNIT_A"	""	450	0	25	80	200	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"UCSUA31,UCSUA32"	UCSUA31	"RES_UCS_BOMBER31"	"UCSUA31"	7	22	1500	1200	"SND_UCSUAB"	""	"EXP_UNIT_A"	""	600	0	50	80	200	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"UCSUA31,UCSUA32"	UCSUA32	"RES_UCS_BOMBER32"	"UCSUA32"	7	22	1500	1200	"SND_UCSUAB"	""	"EXP_UNIT_A"	""	750	0	50	80	200	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
