"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"rangeOfSight"	"plugType"	"slotType"	"maxAlphaPerTick"	"maxBetaPerTick"	"alphaMargin"	"betaMargin"	"barrelBetaType"	"barrelBetaAngle"	"barrelCount"	"$ammoID"	"ammoType"	"targetType"	"rangeOfFire"	"plusDamage"	"fireType"	"shootDelay"	"needExternal"	"reloadDelay"	"maxAmmo"	"$barrelExplosionID"
"EDCAA1,EDCAA2"	EDCAA1	"RES_EDWAA1"	"EDCAA1"	10	0	300	300	"SND_SHT_C2"	""	""	"NEXSCANNON"	2	"b4,5"	""	15	10	0	32	0	0	4	"MIS_AA1"	4	2	9	0	1	10	1	0	200	"SHT_SC"
"EDCAA1,EDCAA2"	EDCAA2	"RES_ED_NOT_FOR_BUILD"	"EDCAA1"	10	0	200	300	"SND_SHT_C2"	""	""	"NEXSCANNON"	2	"b4,5"	""	15	10	0	32	0	0	4	"MIS_AA1"	4	2	9	0	1	10	1	0	200	"SHT_SC"
"EDCAMR1,EDCAMR2"	EDCAMR1	"RES_ED_AMR1"	"EDWAMR1"	10	1	600	1000	"SND_SHT_R2"	""	""	""	3	"b0,21"	""	4	3	20	20	0	0	2	"MIS_MR1"	6	1	8	0	2	32	1	0	50	"SHT_HC"
"EDCAMR1,EDCAMR2"	EDCAMR2	"RES_ED_AMR2"	"EDWAMR2"	10	1	600	1000	"SND_SHT_R2"	""	""	""	3	"b0,21"	""	4	3	20	20	0	0	4	"MIS_MR1"	6	1	8	0	2	50	1	0	80	"SHT_HC"
"EDCART"	EDCART	""	"EDCART"	10	8	0	0	"SND_SHT_C3"	""	""	""	4	"b26"	""	3	0	10	20	2	40	2	"MIS_EDART"	10	1	45	0	1	100	1	0	6	"SHT_HC"
"EDCCA1,EDCCA2"	EDCCA1	""	"EDCCA1"	10	0	300	300	"SND_SHT_C2"	""	""	"NEXEDW1"	3	"b4,5"	""	5	3	0	32	0	0	1	"MIS_SC1"	4	1	9	0	0	20	1	0	60	"SHT_SC"
"EDCCA1,EDCCA2"	EDCCA2	"RES_ED_WCA2"	"EDCCA2"	10	0	300	300	"SND_SHT_C2"	""	""	"NEXEDW1"	3	"b4,5"	""	5	3	0	32	0	0	2	"MIS_SC1"	4	1	9	0	1	30	1	0	120	"SHT_SC"
"EDCCH1,EDCCH2"	EDCCH1	""	"EDCCH1"	10	0	200	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	32	0	0	1	"MIS_CH1"	4	3	8	0	0	20	1	0	100	"SHT_CH"
"EDCCH1,EDCCH2"	EDCCH2	"RES_ED_WCH2"	"EDCCH2"	10	0	200	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	32	0	0	2	"MIS_CH1"	4	3	8	0	1	26	1	0	150	"SHT_CH"
"EDCHC1,EDCHC2"	EDCHC1	"RES_ED_WHC1"	"EDWHC1"	10	1	600	300	"SND_SHT_C3"	""	""	"NEXEDW2"	3	"b5"	"b11,12"	3	3	0	32	0	0	1	"MIS_HC1"	4	1	10	0	0	20	1	0	80	"SHT_HC"
"EDCHC1,EDCHC2"	EDCHC2	"RES_ED_WHC2"	"EDWHC2"	10	1	600	300	"SND_SHT_C3"	""	""	"NEXEDW2"	3	"b5"	"b11,12"	3	3	0	32	0	0	2	"MIS_HC1"	4	1	10	0	1	26	1	0	160	"SHT_HC"
"EDCHI1,EDCHI2"	EDCHI1	"RES_ED_WHI1"	"EDCHI1"	10	1	600	300	"SND_SHT_I2"	""	""	"NEXEDWHI"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_HI"	12	1	9	0	0	20	0	200	1	"SHT_HI"
"EDCHI1,EDCHI2"	EDCHI2	"RES_ED_WHI2"	"EDCHI2"	10	1	600	300	"SND_SHT_I2"	""	""	"NEXEDWHI"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_HI"	12	1	9	0	0	20	0	150	2	"SHT_HI"
"EDCHL1,EDCHL2,EDCHL3"	EDCHL1	"RES_ED_WHL1"	"EDCHL1"	10	1	600	300	"SND_SHT_L2"	""	""	"NEXEDW2"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_HL1"	1	1	9	0	0	0	0	1	16	""
"EDCHL1,EDCHL2,EDCHL3"	EDCHL2	"RES_ED_WHL2"	"EDCHL2"	10	1	600	300	"SND_SHT_L2"	""	""	"NEXEDW2"	3	"b5"	"b11,12"	3	3	0	30	0	0	2	"MIS_HL2"	1	1	9	0	1	0	0	1	16	""
"EDCHL1,EDCHL2,EDCHL3"	EDCHL3	"RES_ED_WHL3"	"EDCHL3"	10	1	600	300	"SND_SHT_L2"	""	""	"NEXEDW2"	3	"b5"	"b11,12"	3	3	0	30	0	0	4	"MIS_HL3"	1	1	9	0	1	0	0	1	16	""
"EDCJP2"	EDCJP2	"RES_ED_LRC"	"EDWJPK2"	10	1	800	1300	"SND_SHT_C3"	""	""	"NEXEDWHC"	3	"b1"	"b11,12"	3	3	0	20	0	0	2	"MIS_HC1"	4	1	10	0	1	26	1	0	80	"SHT_HC"
"EDCMR1,EDCMR2,EDCMR3"	EDCMR1	"RES_ED_WMR1"	"EDCMR1"	10	1	700	300	"SND_SHT_R2"	""	""	"NEXEDW2"	3	"b5"	""	3	3	64	20	0	0	1	"MIS_GR1"	6	3	11	0	0	32	1	0	50	""
"EDCMR1,EDCMR2,EDCMR3"	EDCMR2	"RES_ED_WMR2"	"EDCMR2"	10	1	700	300	"SND_SHT_R2"	""	""	"NEXEDW2"	3	"b5"	""	3	3	64	20	0	0	2	"MIS_GR1"	6	3	11	0	1	50	1	0	70	""
"EDCMR1,EDCMR2,EDCMR3"	EDCMR3	"RES_ED_WMR3"	"EDCMR3"	10	1	700	300	"SND_SHT_R2"	""	""	"NEXEDW2"	4	"b5"	""	3	3	64	20	0	0	2	"MIS_GR1"	6	3	11	0	1	40	1	0	90	""
"EDCSCH1,EDCSCH2,EDCSCH3"	EDCSCH1	"RES_ED_WSCH1"	"EDWSCH1"	10	1	700	300	"SND_SHT_S2"	""	""	"NEXSCANNON"	3	"b5"	""	3	3	0	63	0	0	4	"MIS_SCH1"	3	1	9	0	1	40	0	40	50	"EXP_SCL1"
"EDCSCH1,EDCSCH2,EDCSCH3"	EDCSCH2	"RES_ED_WSCH2"	"EDWSCH2"	10	1	700	300	"SND_SHT_S2"	""	""	"NEXSCANNON"	3	"b5"	""	3	3	0	63	0	0	4	"MIS_SCH1"	3	1	9	0	1	30	0	30	50	"EXP_SCL1"
"EDCSCH1,EDCSCH2,EDCSCH3"	EDCSCH3	"RES_ED_WSCH3"	"EDWSCH3"	10	1	700	300	"SND_SHT_S2"	""	""	"NEXSCANNON"	3	"b5"	"b13"	3	3	0	63	0	0	4	"MIS_SCH1"	3	1	9	0	1	20	0	20	50	"EXP_SCL1"
"EDCSCL1,EDCSCL2,EDCSCL3"	EDCSCL1	"RES_ED_WSCL1"	"EDWSCL1"	10	1	300	300	"SND_SHT_S2"	""	""	"NEXSCANNON"	3	"b4,5"	""	3	3	0	63	0	0	3	"MIS_SCL1"	3	1	8	0	1	40	0	40	50	"EXP_SCL1"
