"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"type"	"rocketType"	"missileSize"	"$rocketDummyID"	"isAntiRocketTarget"	"speed"	"timeOfShoot"	"plusRangeOfFire"	"hitType"	"hitRange"	"typeOfDamage"	"damage"	"$explosionID"
"MIS_AA1,MIS_AA2,MIS_AA3,MIS_AA4"	MIS_AA1	""	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	0	0	1	2	30	"EXP_CH1"
"MIS_AA1,MIS_AA2,MIS_AA3,MIS_AA4"	MIS_AA2	"RES_MCH2"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	0	0	1	2	35	"EXP_CH1"
"MIS_AA1,MIS_AA2,MIS_AA3,MIS_AA4"	MIS_AA3	"RES_MCH3"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	1	0	1	2	40	"EXP_CH1"
"MIS_AA1,MIS_AA2,MIS_AA3,MIS_AA4"	MIS_AA4	"RES_MCH4"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	1	0	1	2	45	"EXP_CH1"
"MIS_AAP"	MIS_AAP	""	"NEMPLH"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	13	0	0	""	0	240	0	0	0	1	5	120	"EXP_PL_MED1"
"MIS_AAR1,MIS_AAR2,MIS_AAR3,MIS_AAR4"	MIS_AAR1	""	"NEMMR"	0	0	0	0	""	"SMOKE_MR"	""	""	0	0	0	0	0	0	0	6	4	1	""	1	40	0	0	0	1	2	200	"EXP_ROCKET_MED1"
"MIS_AAR1,MIS_AAR2,MIS_AAR3,MIS_AAR4"	MIS_AAR2	"RES_MSR2"	"NEMMR"	0	0	0	0	""	"SMOKE_MR"	""	""	0	0	0	0	0	0	0	6	4	1	""	1	40	0	0	0	1	2	260	"EXP_ROCKET_MED1"
"MIS_AAR1,MIS_AAR2,MIS_AAR3,MIS_AAR4"	MIS_AAR3	"RES_MSR3"	"NEMMR"	0	0	0	0	""	"SMOKE_MR"	""	""	0	0	0	0	0	0	0	6	4	1	""	1	40	0	0	0	1	2	320	"EXP_ROCKET_MED1"
"MIS_AAR1,MIS_AAR2,MIS_AAR3,MIS_AAR4"	MIS_AAR4	"RES_MSR4"	"NEMMR"	0	0	0	0	""	"SMOKE_MR"	""	""	0	0	0	0	0	0	0	6	4	1	""	1	40	0	0	0	1	2	400	"EXP_ROCKET_MED1"
"MIS_AASR1,MIS_AASR2,MIS_AASR3,MIS_AASR4"	MIS_AASR1	""	"NEMMR"	0	0	0	0	""	"SMOKE_MR"	""	""	0	0	0	0	0	0	0	6	4	1	""	1	40	0	0	0	1	2	100	"EXP_ROCKET_MED1"
"MIS_AASR1,MIS_AASR2,MIS_AASR3,MIS_AASR4"	MIS_AASR2	"RES_MSR2"	"NEMMR"	0	0	0	0	""	"SMOKE_MR"	""	""	0	0	0	0	0	0	0	6	4	1	""	1	40	0	0	0	1	2	130	"EXP_ROCKET_MED1"
"MIS_AASR1,MIS_AASR2,MIS_AASR3,MIS_AASR4"	MIS_AASR3	"RES_MSR3"	"NEMMR"	0	0	0	0	""	"SMOKE_MR"	""	""	0	0	0	0	0	0	0	6	4	1	""	1	40	0	0	0	1	2	160	"EXP_ROCKET_MED1"
"MIS_AASR1,MIS_AASR2,MIS_AASR3,MIS_AASR4"	MIS_AASR4	"RES_MSR4"	"NEMMR"	0	0	0	0	""	"SMOKE_MR"	""	""	0	0	0	0	0	0	0	6	4	1	""	1	40	0	0	0	1	2	200	"EXP_ROCKET_MED1"
"MIS_BOMB1,MIS_BOMB2,MIS_BOMB3,MIS_BOMB4"	MIS_BOMB1	""	"NEMG"	0	0	20	0	""	""	""	""	0	0	0	0	0	0	0	11	0	1	""	0	20	0	0	1	2	2	700	"EXP_FIRE_BIG1"
"MIS_BOMB1,MIS_BOMB2,MIS_BOMB3,MIS_BOMB4"	MIS_BOMB2	"RES_ED_MB2"	"NEMG"	0	0	30	0	""	""	""	""	0	0	0	0	0	0	0	11	0	1	""	0	20	0	0	1	3	2	1100	"EXP_FIRE_BIG1"
"MIS_BOMB1,MIS_BOMB2,MIS_BOMB3,MIS_BOMB4"	MIS_BOMB3	"RES_ED_MB3"	"NEMG"	0	0	100	0	""	""	""	""	0	0	0	0	0	0	0	11	0	1	""	0	20	0	0	1	4	2	1500	"EXP_FIRE_BIG1"
"MIS_BOMB1,MIS_BOMB2,MIS_BOMB3,MIS_BOMB4"	MIS_BOMB4	"RES_ED_MB4"	"NEMG"	0	0	200	0	""	""	""	""	0	0	0	0	0	0	0	11	0	1	""	0	20	0	0	1	5	2	2200	"EXP_AT_SM1"
"MIS_BP1"	MIS_BP1	""	"NEMPLB"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	13	0	0	""	0	80	0	0	1	2	5	600	"EXP_PL_BIG1"
"MIS_FL1,MIS_FL2,MIS_FL3,MIS_FL4"	MIS_FL1	""	"NEMAR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	8	0	0	""	0	0	0	0	1	2	5	22	""
"MIS_FL1,MIS_FL2,MIS_FL3,MIS_FL4"	MIS_FL2	"RES_UCS_MIS_FL2"	"NEMAR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	8	0	0	""	0	0	0	0	1	2	5	25	""
"MIS_FL1,MIS_FL2,MIS_FL3,MIS_FL4"	MIS_FL3	"RES_UCS_MIS_FL3"	"NEMAR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	8	0	0	""	0	0	0	0	1	2	5	28	""
"MIS_FL1,MIS_FL2,MIS_FL3,MIS_FL4"	MIS_FL4	"RES_UCS_MIS_FL4"	"NEMAR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	8	0	0	""	0	0	0	0	1	2	5	32	""
"MIS_FLH1,MIS_FLH2,MIS_FLH3,MIS_FLH4"	MIS_FLH1	""	"NEMAR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	8	0	0	""	0	0	0	0	1	3	5	28	""
"MIS_FLH1,MIS_FLH2,MIS_FLH3,MIS_FLH4"	MIS_FLH2	"RES_UCS_MIS_FLH2"	"NEMAR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	8	0	0	""	0	0	0	0	1	3	5	31	""
"MIS_FLH1,MIS_FLH2,MIS_FLH3,MIS_FLH4"	MIS_FLH3	"RES_UCS_MIS_FLH3"	"NEMAR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	8	0	0	""	0	0	0	1	1	3	5	34	""
