"group"	"objectID"	"neededResearches"	"shieldCost"	"shieldValue"	"reloadTime"	"shieldMeshName"	"shieldMeshViewIndex"
"SMALLGENED,MEDIUMGENED,BIGGENED"	SMALLGENED	"RES_ED_SGen"	90	600	20	"NEMPS1"	1
"SMALLGENED,MEDIUMGENED,BIGGENED"	MEDIUMGENED	"RES_ED_MGen"	180	1200	15	"NEMPS2"	1
"SMALLGENED,MEDIUMGENED,BIGGENED"	BIGGENED	"RES_ED_HGen"	360	1800	10	"NEMPS3"	1
"SMALLGENED1200S,MEDIUMGENED1200M,BIGGENED1200B"	SMALLGENED1200S	"RES_ED_SGen"	60	400	20	"NEMPS1"	1
"SMALLGENED1200S,MEDIUMGENED1200M,BIGGENED1200B"	MEDIUMGENED1200M	"RES_ED_MGen"	120	800	15	"NEMPS2"	1
"SMALLGENED1200S,MEDIUMGENED1200M,BIGGENED1200B"	BIGGENED1200B	"RES_ED_HGen"	240	1200	10	"NEMPS3"	1
"SMALLGENED1500S,MEDIUMGENED1500M,BIGGENED1500B"	SMALLGENED1500S	"RES_ED_SGen"	75	500	20	"NEMPS1"	1
"SMALLGENED1500S,MEDIUMGENED1500M,BIGGENED1500B"	MEDIUMGENED1500M	"RES_ED_MGen"	150	1000	15	"NEMPS2"	1
"SMALLGENED1500S,MEDIUMGENED1500M,BIGGENED1500B"	BIGGENED1500B	"RES_ED_HGen"	300	1500	10	"NEMPS3"	1
"SMALLGENED1600S,MEDIUMGENED1600M,BIGGENED1600B"	SMALLGENED1600S	"RES_ED_SGen"	140	800	20	"NEMPS1"	1
"SMALLGENED1600S,MEDIUMGENED1600M,BIGGENED1600B"	MEDIUMGENED1600M	"RES_ED_MGen"	260	1100	15	"NEMPS2"	1
"SMALLGENED1600S,MEDIUMGENED1600M,BIGGENED1600B"	BIGGENED1600B	"RES_ED_HGen"	360	1600	10	"NEMPS3"	1
"SMALLGENED1800S,MEDIUMGENED1800M,BIGGENED1800B"	SMALLGENED1800S	"RES_ED_SGen"	140	600	20	"NEMPS1"	1
"SMALLGENED1800S,MEDIUMGENED1800M,BIGGENED1800B"	MEDIUMGENED1800M	"RES_ED_MGen"	260	1200	15	"NEMPS2"	1
"SMALLGENED1800S,MEDIUMGENED1800M,BIGGENED1800B"	BIGGENED1800B	"RES_ED_HGen"	360	1800	10	"NEMPS3"	1
"SMALLGENED2000S,MEDIUMGENED2000M,BIGGENED2000B"	SMALLGENED2000S	"RES_ED_SGen"	140	1000	20	"NEMPS1"	1
"SMALLGENED2000S,MEDIUMGENED2000M,BIGGENED2000B"	MEDIUMGENED2000M	"RES_ED_MGen"	260	1500	15	"NEMPS2"	1
"SMALLGENED2000S,MEDIUMGENED2000M,BIGGENED2000B"	BIGGENED2000B	"RES_ED_HGen"	360	2000	10	"NEMPS3"	1
"SMALLGENED2100S,MEDIUMGENED2100M,BIGGENED2100B"	SMALLGENED2100S	"RES_ED_SGen"	105	700	20	"NEMPS1"	1
"SMALLGENED2100S,MEDIUMGENED2100M,BIGGENED2100B"	MEDIUMGENED2100M	"RES_ED_MGen"	210	1400	15	"NEMPS2"	1
"SMALLGENED2100S,MEDIUMGENED2100M,BIGGENED2100B"	BIGGENED2100B	"RES_ED_HGen"	420	2100	10	"NEMPS3"	1
"SMALLGENED2400S,MEDIUMGENED2400M,BIGGENED2400B"	SMALLGENED2400S	"RES_ED_SGen"	140	800	20	"NEMPS1"	1
"SMALLGENED2400S,MEDIUMGENED2400M,BIGGENED2400B"	MEDIUMGENED2400M	"RES_ED_MGen"	260	1600	15	"NEMPS2"	1
"SMALLGENED2400S,MEDIUMGENED2400M,BIGGENED2400B"	BIGGENED2400B	"RES_ED_HGen"	360	2400	10	"NEMPS3"	1
"SMALLGENED2700S,MEDIUMGENED2700M,BIGGENED2700B"	SMALLGENED2700S	"RES_ED_SGen"	135	900	20	"NEMPS1"	1
"SMALLGENED2700S,MEDIUMGENED2700M,BIGGENED2700B"	MEDIUMGENED2700M	"RES_ED_MGen"	270	1800	15	"NEMPS2"	1
"SMALLGENED2700S,MEDIUMGENED2700M,BIGGENED2700B"	BIGGENED2700B	"RES_ED_HGen"	540	2700	10	"NEMPS3"	1
"SMALLGENED3000S,MEDIUMGENED3000M,BIGGENED3000B"	SMALLGENED3000S	"RES_ED_SGen"	140	1000	20	"NEMPS1"	1
"SMALLGENED3000S,MEDIUMGENED3000M,BIGGENED3000B"	MEDIUMGENED3000M	"RES_ED_MGen"	260	2000	15	"NEMPS2"	1
"SMALLGENED3000S,MEDIUMGENED3000M,BIGGENED3000B"	BIGGENED3000B	"RES_ED_HGen"	360	3000	10	"NEMPS3"	1
"SMALLGENED300S,MEDIUMGENED300M,BIGGENED300B"	SMALLGENED300S	"RES_ED_SGen"	15	100	20	"NEMPS1"	1
"SMALLGENED300S,MEDIUMGENED300M,BIGGENED300B"	MEDIUMGENED300M	"RES_ED_MGen"	30	200	15	"NEMPS2"	1
"SMALLGENED300S,MEDIUMGENED300M,BIGGENED300B"	BIGGENED300B	"RES_ED_HGen"	60	300	10	"NEMPS3"	1
"SMALLGENED3600S,MEDIUMGENED3600M,BIGGENED3600B"	SMALLGENED3600S	"RES_ED_SGen"	140	1200	20	"NEMPS1"	1
"SMALLGENED3600S,MEDIUMGENED3600M,BIGGENED3600B"	MEDIUMGENED3600M	"RES_ED_MGen"	260	2400	15	"NEMPS2"	1
"SMALLGENED3600S,MEDIUMGENED3600M,BIGGENED3600B"	BIGGENED3600B	"RES_ED_HGen"	360	3600	10	"NEMPS3"	1
"SMALLGENED4200S,MEDIUMGENED4200M,BIGGENED4200B"	SMALLGENED4200S	"RES_ED_SGen"	140	1400	20	"NEMPS1"	1
"SMALLGENED4200S,MEDIUMGENED4200M,BIGGENED4200B"	MEDIUMGENED4200M	"RES_ED_MGen"	260	2800	15	"NEMPS2"	1
"SMALLGENED4200S,MEDIUMGENED4200M,BIGGENED4200B"	BIGGENED4200B	"RES_ED_HGen"	360	4200	10	"NEMPS3"	1
"SMALLGENED4800S,MEDIUMGENED4800M,BIGGENED4800B"	SMALLGENED4800S	"RES_ED_SGen"	240	1600	20	"NEMPS1"	1
"SMALLGENED4800S,MEDIUMGENED4800M,BIGGENED4800B"	MEDIUMGENED4800M	"RES_ED_MGen"	480	3200	15	"NEMPS2"	1
"SMALLGENED4800S,MEDIUMGENED4800M,BIGGENED4800B"	BIGGENED4800B	"RES_ED_HGen"	960	4800	10	"NEMPS3"	1
"SMALLGENED5400S,MEDIUMGENED5400M,BIGGENED5400B"	SMALLGENED5400S	"RES_ED_SGen"	270	1800	20	"NEMPS1"	1
"SMALLGENED5400S,MEDIUMGENED5400M,BIGGENED5400B"	MEDIUMGENED5400M	"RES_ED_MGen"	540	3600	15	"NEMPS2"	1
"SMALLGENED5400S,MEDIUMGENED5400M,BIGGENED5400B"	BIGGENED5400B	"RES_ED_HGen"	1080	5400	10	"NEMPS3"	1
"SMALLGENED6000S,MEDIUMGENED6000M,BIGGENED6000B"	SMALLGENED6000S	"RES_ED_SGen"	300	2000	20	"NEMPS1"	1
"SMALLGENED6000S,MEDIUMGENED6000M,BIGGENED6000B"	MEDIUMGENED6000M	"RES_ED_MGen"	600	4000	15	"NEMPS2"	1
"SMALLGENED6000S,MEDIUMGENED6000M,BIGGENED6000B"	BIGGENED6000B	"RES_ED_HGen"	1200	6000	10	"NEMPS3"	1
"SMALLGENED600S,MEDIUMGENED600M,BIGGENED600B"	SMALLGENED600S	"RES_ED_SGen"	30	200	20	"NEMPS1"	1
"SMALLGENED600S,MEDIUMGENED600M,BIGGENED600B"	MEDIUMGENED600M	"RES_ED_MGen"	60	400	15	"NEMPS2"	1
"SMALLGENED600S,MEDIUMGENED600M,BIGGENED600B"	BIGGENED600B	"RES_ED_HGen"	120	600	10	"NEMPS3"	1
"SMALLGENED7500S,MEDIUMGENED7500M,BIGGENED7500B"	SMALLGENED7500S	"RES_ED_SGen"	375	2500	20	"NEMPS1"	1
"SMALLGENED7500S,MEDIUMGENED7500M,BIGGENED7500B"	MEDIUMGENED7500M	"RES_ED_MGen"	750	5000	15	"NEMPS2"	1
"SMALLGENED7500S,MEDIUMGENED7500M,BIGGENED7500B"	BIGGENED7500B	"RES_ED_HGen"	1500	7500	10	"NEMPS3"	1
"SMALLGENED9000S,MEDIUMGENED9000M,BIGGENED9000B"	SMALLGENED9000S	"RES_ED_SGen"	450	3000	20	"NEMPS1"	1
"SMALLGENED9000S,MEDIUMGENED9000M,BIGGENED9000B"	MEDIUMGENED9000M	"RES_ED_MGen"	900	6000	15	"NEMPS2"	1
"SMALLGENED9000S,MEDIUMGENED9000M,BIGGENED9000B"	BIGGENED9000B	"RES_ED_HGen"	1800	9000	10	"NEMPS3"	1
"SMALLGENED900S,MEDIUMGENED900M,BIGGENED900B"	SMALLGENED900S	"RES_ED_SGen"	45	300	20	"NEMPS1"	1
"SMALLGENED900S,MEDIUMGENED900M,BIGGENED900B"	MEDIUMGENED900M	"RES_ED_MGen"	90	600	15	"NEMPS2"	1
"SMALLGENED900S,MEDIUMGENED900M,BIGGENED900B"	BIGGENED900B	"RES_ED_HGen"	180	900	10	"NEMPS3"	1
"SMALLGENEDFAKES,MEDIUMGENEDFAKEM,BIGGENEDFAKEB"	SMALLGENEDFAKES	"RES_ED_SGen"	0	10	20	"NEMPS1"	1
"SMALLGENEDFAKES,MEDIUMGENEDFAKEM,BIGGENEDFAKEB"	MEDIUMGENEDFAKEM	"RES_ED_MGen"	0	20	15	"NEMPS2"	1
"SMALLGENEDFAKES,MEDIUMGENEDFAKEM,BIGGENEDFAKEB"	BIGGENEDFAKEB	"RES_ED_HGen"	0	30	10	"NEMPS3"	1
