"group"	"objectID"	"neededResearches"	"shieldCost"	"shieldValue"	"reloadTime"	"shieldMeshName"	"shieldMeshViewIndex"
"SMALLGENUCS,MEDIUMGENUCS,BIGGENUCS"	SMALLGENUCS	"RES_UCS_SGen"	90	600	20	"NEMPS1"	1
"SMALLGENUCS,MEDIUMGENUCS,BIGGENUCS"	MEDIUMGENUCS	"RES_UCS_MGen"	180	1200	15	"NEMPS2"	1
"SMALLGENUCS,MEDIUMGENUCS,BIGGENUCS"	BIGGENUCS	"RES_UCS_HGen"	360	1800	10	"NEMPS3"	1
"SMALLGENUCS1200S,MEDIUMGENUCS1200M,BIGGENUCS1200B"	SMALLGENUCS1200S	"RES_UCS_SGen"	60	400	20	"NEMPS1"	1
"SMALLGENUCS1200S,MEDIUMGENUCS1200M,BIGGENUCS1200B"	MEDIUMGENUCS1200M	"RES_UCS_MGen"	120	800	15	"NEMPS2"	1
"SMALLGENUCS1200S,MEDIUMGENUCS1200M,BIGGENUCS1200B"	BIGGENUCS1200B	"RES_UCS_HGen"	240	1200	10	"NEMPS3"	1
"SMALLGENUCS1500S,MEDIUMGENUCS1500M,BIGGENUCS1500B"	SMALLGENUCS1500S	"RES_UCS_SGen"	75	500	20	"NEMPS1"	1
"SMALLGENUCS1500S,MEDIUMGENUCS1500M,BIGGENUCS1500B"	MEDIUMGENUCS1500M	"RES_UCS_MGen"	150	1000	15	"NEMPS2"	1
"SMALLGENUCS1500S,MEDIUMGENUCS1500M,BIGGENUCS1500B"	BIGGENUCS1500B	"RES_UCS_HGen"	300	1500	10	"NEMPS3"	1
"SMALLGENUCS1600S,MEDIUMGENUCS1600M,BIGGENUCS1600B"	SMALLGENUCS1600S	"RES_UCS_SGen"	140	800	20	"NEMPS1"	1
"SMALLGENUCS1600S,MEDIUMGENUCS1600M,BIGGENUCS1600B"	MEDIUMGENUCS1600M	"RES_UCS_MGen"	260	1100	15	"NEMPS2"	1
"SMALLGENUCS1600S,MEDIUMGENUCS1600M,BIGGENUCS1600B"	BIGGENUCS1600B	"RES_UCS_HGen"	360	1600	10	"NEMPS3"	1
"SMALLGENUCS1800S,MEDIUMGENUCS1800M,BIGGENUCS1800B"	SMALLGENUCS1800S	"RES_UCS_SGen"	140	600	20	"NEMPS1"	1
"SMALLGENUCS1800S,MEDIUMGENUCS1800M,BIGGENUCS1800B"	MEDIUMGENUCS1800M	"RES_UCS_MGen"	260	1200	15	"NEMPS2"	1
"SMALLGENUCS1800S,MEDIUMGENUCS1800M,BIGGENUCS1800B"	BIGGENUCS1800B	"RES_UCS_HGen"	360	1800	10	"NEMPS3"	1
"SMALLGENUCS2000S,MEDIUMGENUCS2000M,BIGGENUCS2000B"	SMALLGENUCS2000S	"RES_UCS_SGen"	140	1000	20	"NEMPS1"	1
"SMALLGENUCS2000S,MEDIUMGENUCS2000M,BIGGENUCS2000B"	MEDIUMGENUCS2000M	"RES_UCS_MGen"	260	1500	15	"NEMPS2"	1
"SMALLGENUCS2000S,MEDIUMGENUCS2000M,BIGGENUCS2000B"	BIGGENUCS2000B	"RES_UCS_HGen"	360	2000	10	"NEMPS3"	1
"SMALLGENUCS2100S,MEDIUMGENUCS2100M,BIGGENUCS2100B"	SMALLGENUCS2100S	"RES_UCS_SGen"	105	700	20	"NEMPS1"	1
"SMALLGENUCS2100S,MEDIUMGENUCS2100M,BIGGENUCS2100B"	MEDIUMGENUCS2100M	"RES_UCS_MGen"	210	1400	15	"NEMPS2"	1
"SMALLGENUCS2100S,MEDIUMGENUCS2100M,BIGGENUCS2100B"	BIGGENUCS2100B	"RES_UCS_HGen"	420	2100	10	"NEMPS3"	1
"SMALLGENUCS2400S,MEDIUMGENUCS2400M,BIGGENUCS2400B"	SMALLGENUCS2400S	"RES_UCS_SGen"	140	800	20	"NEMPS1"	1
"SMALLGENUCS2400S,MEDIUMGENUCS2400M,BIGGENUCS2400B"	MEDIUMGENUCS2400M	"RES_UCS_MGen"	260	1600	15	"NEMPS2"	1
"SMALLGENUCS2400S,MEDIUMGENUCS2400M,BIGGENUCS2400B"	BIGGENUCS2400B	"RES_UCS_HGen"	360	2400	10	"NEMPS3"	1
"SMALLGENUCS2700S,MEDIUMGENUCS2700M,BIGGENUCS2700B"	SMALLGENUCS2700S	"RES_UCS_SGen"	135	900	20	"NEMPS1"	1
"SMALLGENUCS2700S,MEDIUMGENUCS2700M,BIGGENUCS2700B"	MEDIUMGENUCS2700M	"RES_UCS_MGen"	270	1800	15	"NEMPS2"	1
"SMALLGENUCS2700S,MEDIUMGENUCS2700M,BIGGENUCS2700B"	BIGGENUCS2700B	"RES_UCS_HGen"	540	2700	10	"NEMPS3"	1
"SMALLGENUCS3000S,MEDIUMGENUCS3000M,BIGGENUCS3000B"	SMALLGENUCS3000S	"RES_UCS_SGen"	140	1000	20	"NEMPS1"	1
"SMALLGENUCS3000S,MEDIUMGENUCS3000M,BIGGENUCS3000B"	MEDIUMGENUCS3000M	"RES_UCS_MGen"	260	2000	15	"NEMPS2"	1
"SMALLGENUCS3000S,MEDIUMGENUCS3000M,BIGGENUCS3000B"	BIGGENUCS3000B	"RES_UCS_HGen"	360	3000	10	"NEMPS3"	1
"SMALLGENUCS300S,MEDIUMGENUCS300M,BIGGENUCS300B"	SMALLGENUCS300S	"RES_UCS_SGen"	15	100	20	"NEMPS1"	1
"SMALLGENUCS300S,MEDIUMGENUCS300M,BIGGENUCS300B"	MEDIUMGENUCS300M	"RES_UCS_MGen"	30	200	15	"NEMPS2"	1
"SMALLGENUCS300S,MEDIUMGENUCS300M,BIGGENUCS300B"	BIGGENUCS300B	"RES_UCS_HGen"	60	300	10	"NEMPS3"	1
"SMALLGENUCS3600S,MEDIUMGENUCS3600M,BIGGENUCS3600B"	SMALLGENUCS3600S	"RES_UCS_SGen"	140	1200	20	"NEMPS1"	1
"SMALLGENUCS3600S,MEDIUMGENUCS3600M,BIGGENUCS3600B"	MEDIUMGENUCS3600M	"RES_UCS_MGen"	260	2400	15	"NEMPS2"	1
"SMALLGENUCS3600S,MEDIUMGENUCS3600M,BIGGENUCS3600B"	BIGGENUCS3600B	"RES_UCS_HGen"	360	3600	10	"NEMPS3"	1
"SMALLGENUCS4200S,MEDIUMGENUCS4200M,BIGGENUCS4200B"	SMALLGENUCS4200S	"RES_UCS_SGen"	140	1400	20	"NEMPS1"	1
"SMALLGENUCS4200S,MEDIUMGENUCS4200M,BIGGENUCS4200B"	MEDIUMGENUCS4200M	"RES_UCS_MGen"	260	2800	15	"NEMPS2"	1
"SMALLGENUCS4200S,MEDIUMGENUCS4200M,BIGGENUCS4200B"	BIGGENUCS4200B	"RES_UCS_HGen"	360	4200	10	"NEMPS3"	1
"SMALLGENUCS4800S,MEDIUMGENUCS4800M,BIGGENUCS4800B"	SMALLGENUCS4800S	"RES_UCS_SGen"	240	1600	20	"NEMPS1"	1
"SMALLGENUCS4800S,MEDIUMGENUCS4800M,BIGGENUCS4800B"	MEDIUMGENUCS4800M	"RES_UCS_MGen"	480	3200	15	"NEMPS2"	1
"SMALLGENUCS4800S,MEDIUMGENUCS4800M,BIGGENUCS4800B"	BIGGENUCS4800B	"RES_UCS_HGen"	960	4800	10	"NEMPS3"	1
"SMALLGENUCS5400S,MEDIUMGENUCS5400M,BIGGENUCS5400B"	SMALLGENUCS5400S	"RES_UCS_SGen"	270	1800	20	"NEMPS1"	1
"SMALLGENUCS5400S,MEDIUMGENUCS5400M,BIGGENUCS5400B"	MEDIUMGENUCS5400M	"RES_UCS_MGen"	540	3600	15	"NEMPS2"	1
"SMALLGENUCS5400S,MEDIUMGENUCS5400M,BIGGENUCS5400B"	BIGGENUCS5400B	"RES_UCS_HGen"	1080	5400	10	"NEMPS3"	1
"SMALLGENUCS6000S,MEDIUMGENUCS6000M,BIGGENUCS6000B"	SMALLGENUCS6000S	"RES_UCS_SGen"	300	2000	20	"NEMPS1"	1
