"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"soilSpeed"	"roadSpeed"	"sandSpeed"	"bankSpeed"	"waterSpeed"	"deepWaterSpeed"	"airSpeed"	"objectType"	"$engineSmokeID"	"$dustID"	"$billowID"	"$standBillowID"	"$trackID"
"UCSU4L1,UCSU4L2,UCSU4L3"	UCSU4L1	"RES_UCS_U4L1"	"UCSU4L3"	6	25	1900	1800	"SND_UCSU4L"	"HIT_SMOKE"	"EXP_UNIT_B"	"NEXUCSUBL1"	2400	1	75	2000	700	0	1	4	"TALK_UC_HEAVY_TANK"	"SMALLGENUCS2400S"	2	"b11,19"	"b8,13"	""	""	19	19	19	19	0	0	0	"b0,8"	""	""	""	""	""
"UCSU4L1,UCSU4L2,UCSU4L3"	UCSU4L2	"RES_UCS_NOT_FOR_BUILD"	"UCSU4L2"	6	25	1900	1800	"SND_UCSU4L"	"HIT_SMOKE"	"EXP_UNIT_B"	"NEXUCSUBL2"	2000	1	75	2000	600	0	1	4	"TALK_UC_HEAVY_TANK"	"SMALLGENUCS2400S"	2	"b11,19"	"b8,13"	""	""	19	19	19	19	0	0	0	"b0,8"	""	""	""	""	""
"UCSU4L1,UCSU4L2,UCSU4L3"	UCSU4L3	"RES_UCS_NOT_FOR_BUILD"	"UCSU4L3"	6	25	1900	1800	"SND_UCSU4L"	"HIT_SMOKE"	"EXP_UNIT_B"	"NEXUCSUBL2"	2400	1	75	2000	600	0	1	4	"TALK_UC_HEAVY_TANK"	"SMALLGENUCS2400S"	2	"b11,19"	"b8,13"	""	""	19	19	19	19	0	0	0	"b0,8"	""	""	""	""	""
"UCSUA11,UCSUA12,UCSUA13"	UCSUA11	"RES_UCS_GARG1"	"UCSUA11"	7	21	600	600	"SND_UCSUAS"	""	"EXP_UNIT_A"	""	300	0	33	80	2000	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS1500S"	0	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b2,3,4"	""	""	""	""	""
"UCSUA11,UCSUA12,UCSUA13"	UCSUA12	"RES_UCS_GARG2"	"UCSUA12"	7	21	600	600	"SND_UCSUAS"	""	"EXP_UNIT_A"	""	350	0	33	80	2000	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS1500S"	0	"b0,2,27"	""	""	""	19	19	19	19	19	19	7	"b2,3,4"	""	""	""	""	""
"UCSUA11,UCSUA12,UCSUA13"	UCSUA13	"RES_UCS_GARG3"	"UCSUA13"	7	21	600	600	"SND_UCSUAS"	""	"EXP_UNIT_A"	""	450	0	33	80	2000	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS1500S"	0	"b0,2,27"	""	""	""	19	19	19	19	19	19	7	"b2,3,4"	""	""	""	""	""
"UCSUA21,UCSUA22"	UCSUA21	"RES_UCS_BOMBER21"	"UCSUA21"	7	22	1000	1200	"SND_UCSUAB"	""	"EXP_UNIT_A"	""	350	0	25	80	2000	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"UCSUA21,UCSUA22"	UCSUA22	"RES_UCS_BOMBER22"	"UCSUA22"	7	22	1000	1200	"SND_UCSUAB"	""	"EXP_UNIT_A"	""	450	0	25	80	2000	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"UCSUA31,UCSUA32"	UCSUA31	"RES_UCS_BOMBER31"	"UCSUA31"	7	22	1500	1200	"SND_UCSUAB"	""	"EXP_UNIT_A"	""	600	0	50	80	2000	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"UCSUA31,UCSUA32"	UCSUA32	"RES_UCS_BOMBER32"	"UCSUA32"	7	22	1500	1200	"SND_UCSUAB"	""	"EXP_UNIT_A"	""	750	0	50	80	2000	0	1	4	"TALK_UC_AIRCRAFT"	"SMALLGENUCS"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"UCSUART1,UCSUART2,UCSUART3"	UCSUART1	""	"UCSUART1"	6	2	3500	2400	"SND_UCSUBU"	"HIT_SMOKE"	"EXP_UNIT_B"	"UCSWRART"	900	0	25	400	400	0	1	4	"TALK_UC_HEAVY_TANK"	"SMALLGENUCS"	1	"b18"	""	""	""	18	17	18	18	0	0	0	"b0,8"	""	""	""	""	""
