"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"rangeOfSight"	"plugType"	"slotType"	"maxAlphaPerTick"	"maxBetaPerTick"	"alphaMargin"	"betaMargin"	"barrelBetaType"	"barrelBetaAngle"	"barrelCount"	"$ammoID"	"ammoType"	"targetType"	"rangeOfFire"	"plusDamage"	"fireType"	"shootDelay"	"needExternal"	"reloadDelay"	"maxAmmo"	"$barrelExplosionID"
"UCSCAA1,UCSCAA2,UCSCAA3"	UCSCAA1	"RES_UCSCAA1"	"UCSCAA1"	10	0	300	600	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5,15"	""	15	10	0	20	0	0	1	"MIS_AAP"	13	2	9	0	0	5	0	26	50	"SHT_SP"
"UCSCAA1,UCSCAA2,UCSCAA3"	UCSCAA2	"RES_UCSCAA2"	"UCSCAA2"	10	0	300	600	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5,15"	""	15	10	0	20	0	0	2	"MIS_AAP"	13	2	9	0	1	7	0	18	100	"SHT_SP"
"UCSCAA1,UCSCAA2,UCSCAA3"	UCSCAA3	"RES_UCS_NOT_FOR_BUILD"	"UCSCAA2"	10	0	300	600	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5,15"	""	15	10	0	20	0	0	2	"MIS_AAP"	13	2	9	0	1	5	0	18	100	"SHT_SP"
"UCSCART"	UCSCART	""	"UCSCART"	10	28	0	0	"SND_SHT_C3"	""	""	""	4	"b26"	""	3	0	10	20	2	40	1	"MIS_UCSART"	10	1	45	0	0	100	1	0	3	"SHT_HC"
"UCSCDHP1,UCSCDHP2,UCSCDHP3"	UCSCDHP1	"RES_UCS_WHP1"	"UCSWDHP1"	10	1	700	300	"SND_SHT_P2"	""	""	"NEXBCANNON"	2	"b5"	""	4	3	0	50	0	0	1	"MIS_HP"	13	1	11	0	0	4	0	30	50	"SHT_HP"
"UCSCDHP1,UCSCDHP2,UCSCDHP3"	UCSCDHP2	"RES_UCS_WHP2"	"UCSWDHP2"	10	1	700	300	"SND_SHT_P2"	""	""	"NEXBCANNON"	2	"b5"	""	4	3	0	50	0	0	2	"MIS_HP"	13	1	11	0	1	6	0	15	100	"SHT_HP"
"UCSCDHP1,UCSCDHP2,UCSCDHP3"	UCSCDHP3	"RES_UCS_WHP3"	"UCSWDHP2"	10	1	700	300	"SND_SHT_P2"	""	""	"NEXBCANNON"	2	"b5"	""	4	3	0	50	0	0	2	"MIS_HP"	13	1	11	0	1	5	0	15	100	"SHT_HP"
"UCSCDMR1,UCSCDMR2,UCSCDMR3"	UCSCDMR1	"RES_UCS_WMR1"	"UCSWDMR1"	10	1	650	300	"SND_SHT_R2"	""	""	"NEXBCANNON"	4	"b5"	""	3	3	64	50	0	0	1	"MIS_UCS_MR1"	6	3	9	0	0	28	1	4	60	""
"UCSCDMR1,UCSCDMR2,UCSCDMR3"	UCSCDMR2	"RES_UCS_WMR2"	"UCSWDMR2"	10	1	650	300	"SND_SHT_R2"	""	""	"NEXBCANNON"	4	"b5"	""	3	3	64	50	0	0	2	"MIS_UCS_MR1"	6	3	10	0	1	43	1	4	90	""
"UCSCDMR1,UCSCDMR2,UCSCDMR3"	UCSCDMR3	"RES_UCS_WMR3"	"UCSWDMR2"	10	1	650	300	"SND_SHT_R2"	""	""	"NEXBCANNON"	4	"b5"	""	3	3	64	50	0	0	2	"MIS_UCS_MR1"	6	3	11	0	1	33	1	4	120	""
"UCSCFLHB1,UCSCFLHB2"	UCSCFLHB1	"RES_UCS_WFLH1"	"UCSWFLHB1"	10	1	600	300	"SND_SHT_I2"	""	""	"NEXSCANNON"	3	"b5"	""	3	3	0	63	0	0	4	"MIS_FLH1"	3	1	9	0	1	15	1	0	200	"EXP_FL1"
"UCSCFLHB1,UCSCFLHB2"	UCSCFLHB2	"RES_UCS_WFLH2"	"UCSWFLHB2"	10	1	600	300	"SND_SHT_I2"	""	""	"NEXSCANNON"	3	"b5"	""	3	3	0	63	0	0	4	"MIS_FLH1"	3	1	9	0	1	15	1	0	250	"EXP_FL1"
"UCSCFLLB1,UCSCFLLB2"	UCSCFLLB1	"RES_UCS_WFL1"	"UCSWFLLB1"	10	1	300	300	"SND_SHT_I2"	""	""	"NEXSCANNON"	3	"b4,5"	""	3	3	0	63	0	0	3	"MIS_FL1"	3	1	8	0	1	12	1	0	150	"EXP_FL1"
"UCSCFLLB1,UCSCFLLB2"	UCSCFLLB2	"RES_UCS_WFL2"	"UCSWFLLB2"	10	1	300	300	"SND_SHT_I2"	""	""	"NEXSCANNON"	3	"b4,5"	""	3	3	0	63	0	0	3	"MIS_FL1"	3	1	8	0	1	12	1	0	200	"EXP_FL1"
"UCSCSCH1,UCSCSCH2,UCSCSCH3"	UCSCSCH1	""	"UCSWSCH1"	10	0	200	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	1	"MIS_UCS_CH1"	4	3	8	0	0	20	1	0	100	"SHT_CH"
"UCSCSCH1,UCSCSCH2,UCSCSCH3"	UCSCSCH2	"RES_UCS_WCH2"	"UCSWSCH2"	10	0	200	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	2	"MIS_UCS_CH1"	4	3	8	0	1	26	1	0	150	"SHT_CH"
"UCSCSCH1,UCSCSCH2,UCSCSCH3"	UCSCSCH3	"RES_UCS_WGATL2"	"UCSWGATLB2"	10	0	300	300	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	2	"MIS_UCS_SMG1"	4	3	8	0	1	26	1	0	200	"SHT_CH"
"UCSCSD"	UCSCSD	"RES_UCS_WSD"	"UCSCSD"	10	28	0	0	"SND_SHT_L3"	""	""	"NEXBCANNON"	4	"b29"	""	15	10	0	50	0	0	3	"MIS_SDI"	2	3	15	0	0	1	0	250	3	""
"UCSCSSP1,UCSCSSP2,UCSCSSP3"	UCSCSSP1	"RES_UCS_WSP1"	"UCSWSSP1"	10	0	350	300	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	1	"MIS_SP"	13	1	8	0	0	5	0	20	50	"SHT_SP"
"UCSCSSP1,UCSCSSP2,UCSCSSP3"	UCSCSSP2	"RES_UCS_WSP2"	"UCSWSSP2"	10	0	350	300	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	2	"MIS_SP"	13	1	9	0	1	5	0	10	100	"SHT_SP"
"UCSCSSP1,UCSCSSP2,UCSCSSP3"	UCSCSSP3	"RES_UCS_NOT_FOR_BUILD"	"UCSWSSP2"	10	0	350	300	"SND_SHT_P1"	""	""	"NEXSCANNON"	2	"b4,5"	""	5	3	0	50	0	0	2	"MIS_SP"	13	1	9	0	1	5	0	10	100	"SHT_SP"
"UCSCSSR1,UCSCSSR2,UCSCSSR3"	UCSCSSR1	"RES_UCS_WSR1"	"UCSWSSR1"	10	0	300	300	"SND_SHT_R1"	""	""	"NEXSCANNON"	3	"b4,5"	""	5	3	64	50	0	0	1	"MIS_UCS_SR1"	6	3	9	0	0	24	1	4	60	""
"UCSCSSR1,UCSCSSR2,UCSCSSR3"	UCSCSSR2	"RES_UCS_WSR2"	"UCSWSSR2"	10	0	300	300	"SND_SHT_R1"	""	""	"NEXSCANNON"	3	"b4,5"	""	5	3	64	50	0	0	2	"MIS_UCS_SR1"	6	3	9	0	1	36	1	4	80	""
"UCSCSSR1,UCSCSSR2,UCSCSSR3"	UCSCSSR3	"RES_UCS_WSR3"	"UCSWSSR3"	10	0	300	300	"SND_SHT_R1"	""	""	"NEXSCANNON"	3	"b4,5"	""	5	3	64	50	0	0	3	"MIS_UCS_SR1"	6	3	9	0	1	41	1	4	100	""
"UCSTGATH1,UCSTGATH2"	UCSTGATH1	"RES_UCS_WGATH1"	"UCSWGATHB1"	10	1	700	1200	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b19"	""	5	3	0	50	0	0	1	"MIS_TGATH1"	4	3	7	0	1	5	1	0	250	"SHT_CH"
"UCSTGATH1,UCSTGATH2"	UCSTGATH2	"RES_UCS_WGATH2"	"UCSWGATHB2"	10	1	700	1200	"SND_SHT_C1"	""	""	"NEXSCANNON"	2	"b19"	""	5	3	0	50	0	0	2	"MIS_TGATH1"	4	3	7	0	1	6	1	0	300	"SHT_CH"
"UCSTHP1,UCSTHP2,UCSTHP3"	UCSTHP1	"RES_UCS_WHP1"	"UCSWDHP1"	10	1	700	1200	"SND_SHT_P2"	""	""	"NEXBCANNON"	2	"b19"	""	4	3	0	50	0	0	1	"MIS_HP"	13	1	9	0	0	4	0	30	50	"SHT_HP"
"UCSTHP1,UCSTHP2,UCSTHP3"	UCSTHP2	"RES_UCS_WHP2"	"UCSWDHP2"	10	1	700	1200	"SND_SHT_P2"	""	""	"NEXBCANNON"	2	"b19"	""	4	3	0	50	0	0	2	"MIS_HP"	13	1	9	0	1	6	0	15	100	"SHT_HP"
"UCSTHP1,UCSTHP2,UCSTHP3"	UCSTHP3	"RES_UCS_WHP3"	"UCSWDHP2"	10	1	700	1200	"SND_SHT_P2"	""	""	"NEXBCANNON"	2	"b19"	""	4	3	0	50	0	0	2	"MIS_HP"	13	1	9	0	1	5	0	15	100	"SHT_HP"
"UCSTSRAK1,UCSTSRAK2,UCSTSRAK3"	UCSTSRAK1	"RES_UCS_WMR1"	"UCSWDMR1"	10	1	700	1200	"SND_SHT_R2"	""	""	"NEXBCANNON"	4	"b19"	""	3	3	64	50	0	0	1	"MIS_UCS_MR1"	6	3	9	0	0	28	1	4	50	""
"UCSTSRAK1,UCSTSRAK2,UCSTSRAK3"	UCSTSRAK2	"RES_UCS_WMR2"	"UCSWDMR2"	10	1	700	1200	"SND_SHT_R2"	""	""	"NEXBCANNON"	4	"b19"	""	3	3	64	50	0	0	2	"MIS_UCS_MR1"	6	3	9	0	1	43	1	4	70	""
"UCSTSRAK1,UCSTSRAK2,UCSTSRAK3"	UCSTSRAK3	"RES_UCS_WMR3"	"UCSWDMR2"	10	1	700	1200	"SND_SHT_R2"	""	""	"NEXBCANNON"	4	"b19"	""	3	3	64	50	0	0	2	"MIS_UCS_MR1"	6	3	9	0	1	33	1	4	90	""
"UCSWACH1,UCSWACH2"	UCSWACH1	""	"UCSWACH1"	10	0	200	200	"SND_SHT_C1"	""	""	""	2	"b0,2"	""	5	3	20	50	0	0	1	"MIS_UCS_CH1"	4	3	7	0	0	20	1	0	100	"SHT_CH"
"UCSWACH1,UCSWACH2"	UCSWACH2	"RES_UCS_WACH2"	"UCSWACH2"	10	0	200	200	"SND_SHT_C1"	""	""	""	2	"b0,2"	""	5	3	20	50	0	0	2	"MIS_UCS_CH1"	4	3	7	0	1	26	1	0	150	"SHT_CH"
"UCSWAFB1,UCSWAFB2"	UCSWAFB1	"RES_UCS_WAPB1"	"UCSWAPB1"	10	0	2500	2400	""	""	""	""	3	"b0,3"	""	3	3	0	50	0	0	1	"MIS_FLBOMB1"	11	1	1	0	0	50	1	1	4	""
"UCSWAFB1,UCSWAFB2"	UCSWAFB2	"RES_UCS_WAPB2"	"UCSWAPB2"	10	0	2500	2400	""	""	""	""	3	"b0,3"	""	3	3	0	50	0	0	1	"MIS_FLBOMB1"	11	1	1	0	0	50	1	1	6	""
