"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"rangeOfSight"	"plugType"	"slotType"	"maxAlphaPerTick"	"maxBetaPerTick"	"alphaMargin"	"betaMargin"	"barrelBetaType"	"barrelBetaAngle"	"barrelCount"	"$ammoID"	"ammoType"	"targetType"	"rangeOfFire"	"plusDamage"	"fireType"	"shootDelay"	"needExternal"	"reloadDelay"	"maxAmmo"	"$barrelExplosionID"
"LCBHP1,LCBHP2,LCBHP3"	LCBHP1	"RES_LC_WHP1"	"LCWHP1"	10	0	750	300	"SND_SHT_HERO"	""	""	"NEXBCANNON"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_LCWHP1"	3	1	8	0	0	12	0	20	14	""
"LCBHP1,LCBHP2,LCBHP3"	LCBHP2	"RES_LC_WHP2"	"LCWHP2"	10	0	750	300	"SND_SHT_HERO"	""	""	"NEXBCANNON"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_LCWHP2"	3	1	9	0	0	12	0	20	14	""
"LCBHP1,LCBHP2,LCBHP3"	LCBHP3	"RES_LC_WHP3"	"LCWHP3"	10	0	750	300	"SND_SHT_HERO"	""	""	"NEXBCANNON"	3	"b5"	""	3	3	0	30	0	0	1	"MIS_LCWHP3"	3	1	10	0	0	12	0	20	14	""
"LCC2CH1,LCC2CH2"	LCC2CH1	""	"LCCCH1"	10	0	200	100	"SND_SHT_C1"	""	""	"NEXSCANNON"	3	"b19"	""	8	3	0	32	0	0	1	"MIS_LC_CH1"	4	3	8	0	0	20	1	0	100	"SHT_CH"
"LCC2CH1,LCC2CH2"	LCC2CH2	"RES_LC_WCH2"	"LCCCH2"	10	0	200	100	"SND_SHT_C1"	""	""	"NEXSCANNON"	3	"b19"	""	8	3	0	32	0	0	2	"MIS_LC_CH1"	4	3	8	0	1	26	1	0	150	"SHT_CH"
"LCC2HERO1,LCC2HERO2"	LCC2HERO1	"RES_LC_WHERO"	"LCWHERO"	10	0	400	300	"SND_SHT_HERO"	""	""	"NEXBCANNON"	3	"b19"	""	3	3	0	30	0	0	1	"MIS_HERO"	3	1	8	0	0	20	0	100	10	""
"LCC2HERO1,LCC2HERO2"	LCC2HERO2	"RES_LC_WHERO2"	"LCWHERO"	10	0	400	300	"SND_SHT_HERO"	""	""	"NEXBCANNON"	3	"b19"	""	3	3	0	30	0	0	1	"MIS_HERO"	3	1	9	0	0	12	0	100	10	""
"LCC2SL1,LCC2SL2,LCC2SL3"	LCC2SL1	"RES_LC_WSL1"	"LCWSL1"	10	0	300	300	"SND_SHT_E1"	""	""	"NEXSCANNON"	3	"b19"	""	5	3	32	32	0	0	1	"MIS_SE2"	3	1	6	0	0	12	0	40	10	""
"LCC2SL1,LCC2SL2,LCC2SL3"	LCC2SL2	"RES_LC_WSL2"	"LCWSL2"	10	0	300	300	"SND_SHT_E1"	""	""	"NEXSCANNON"	3	"b19"	""	5	3	32	32	0	0	1	"MIS_SE3"	3	1	7	0	0	12	0	40	10	""
"LCC2SL1,LCC2SL2,LCC2SL3"	LCC2SL3	"RES_LC_NOT_FOR_BUILD"	"LCWSL3"	10	0	450	300	"SND_SHT_E1"	""	""	"NEXSCANNON"	3	"b19"	""	5	3	32	32	0	0	1	"MIS_SE3"	3	1	8	0	0	12	0	40	10	""
