"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"type"	"rocketType"	"missileSize"	"$rocketDummyID"	"isAntiRocketTarget"	"speed"	"timeOfShoot"	"plusRangeOfFire"	"hitType"	"hitRange"	"typeOfDamage"	"damage"	"$explosionID"
"MIS_AGATH1,MIS_AGATH2,MIS_AGATH3,MIS_AGATH4"	MIS_AGATH1	""	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	0	0	1	2	40	"EXP_FIRE_MED1"
"MIS_AGATH1,MIS_AGATH2,MIS_AGATH3,MIS_AGATH4"	MIS_AGATH2	"RES_UCS_MHC2"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	1	0	1	2	45	"EXP_FIRE_MED1"
"MIS_AGATH1,MIS_AGATH2,MIS_AGATH3,MIS_AGATH4"	MIS_AGATH3	"RES_UCS_MHC3"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	2	0	1	2	48	"EXP_FIRE_MED1"
"MIS_AGATH1,MIS_AGATH2,MIS_AGATH3,MIS_AGATH4"	MIS_AGATH4	"RES_UCS_MHC4"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	3	0	1	2	60	"EXP_FIRE_MED1"
"MIS_G1,MIS_G2,MIS_G3,MIS_G4"	MIS_G1	""	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	10	0	0	""	0	60	0	0	0	1	2	30	"EXP_ROCKET_SM1"
"MIS_G1,MIS_G2,MIS_G3,MIS_G4"	MIS_G2	"RES_UCS_MG2"	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	10	0	0	""	0	60	0	0	0	1	2	33	"EXP_ROCKET_SM1"
"MIS_G1,MIS_G2,MIS_G3,MIS_G4"	MIS_G3	"RES_UCS_MG3"	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	10	0	0	""	0	60	0	1	0	1	2	36	"EXP_ROCKET_SM1"
"MIS_G1,MIS_G2,MIS_G3,MIS_G4"	MIS_G4	"RES_UCS_MG4"	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	10	0	0	""	0	60	0	1	0	1	2	40	"EXP_ROCKET_SM1"
"MIS_GATAA1,MIS_GATAA2,MIS_GATAA3,MIS_GATAA4"	MIS_GATAA1	""	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	0	0	1	2	30	"EXP_CH1"
"MIS_GATAA1,MIS_GATAA2,MIS_GATAA3,MIS_GATAA4"	MIS_GATAA2	"RES_UCS_MCH2"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	1	0	1	2	33	"EXP_CH1"
