"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"soilSpeed"	"roadSpeed"	"sandSpeed"	"bankSpeed"	"waterSpeed"	"deepWaterSpeed"	"airSpeed"	"objectType"	"$engineSmokeID"	"$dustID"	"$billowID"	"$standBillowID"	"$trackID"
"LCUAP1,LCUAP2,LCUAP3"	LCUAP1	"RES_LC_UAP1"	"LCUAP1"	7	14	1900	1800	"SND_LCUAB"	""	"EXP_UNIT_A"	""	850	1	66	80	2000	1	1	4	"TALK_LC_AIRCRAFT"	"SMALLGENLC2000S"	2	"b0,3"	"b0,3"	""	""	19	19	19	19	19	19	14	"b2,5"	""	""	""	""	""
"LCUAP1,LCUAP2,LCUAP3"	LCUAP2	"RES_LC_UAP2"	"LCUAP2"	7	14	1900	1800	"SND_LCUAB"	""	"EXP_UNIT_A"	""	1000	1	66	80	2000	1	1	4	"TALK_LC_AIRCRAFT"	"SMALLGENLC2000S"	2	"b0,3"	"b0,3"	"b0,3"	""	19	19	19	19	19	19	13	"b2,5"	""	""	""	""	""
"LCUAP1,LCUAP2,LCUAP3"	LCUAP3	"RES_LC_UAP3"	"LCUAP2"	7	14	1900	1800	"SND_LCUAB"	""	"EXP_UNIT_A"	""	1150	1	66	80	2000	1	1	4	"TALK_LC_AIRCRAFT"	"SMALLGENLC2000S"	2	"b0,3"	"b0,3"	"b0,3"	""	19	19	19	19	19	19	12	"b2,5"	""	""	""	""	""
"LCUBO1,LCUBO2"	LCUBO1	"RES_LC_UBO1"	"LCUBO1"	7	14	1500	1400	"SND_LCUAB"	""	"EXP_UNIT_A"	""	750	1	33	80	2000	1	1	4	"TALK_LC_AIRCRAFT"	"SMALLGENLC2400S"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"LCUBO1,LCUBO2"	LCUBO2	"RES_LC_UBO2"	"LCUBO2"	7	14	1500	1400	"SND_LCUAB"	""	"EXP_UNIT_A"	""	900	1	50	80	2000	1	1	4	"TALK_LC_AIRCRAFT"	"SMALLGENLC2400S"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b2,5"	""	""	""	""	""
"LCUCR1,LCUCR2,LCUCR3"	LCUCR1	"RES_LC_UCR1"	"LCUCR1"	7	12	1200	1200	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCR"	800	1	75	300	400	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1700S"	2	"b1,6,10,14,18"	""	""	""	14	14	14	14	0	0	0	"b3,8"	""	""	""	""	""
"LCUCR1,LCUCR2,LCUCR3"	LCUCR2	"RES_LC_UCR2"	"LCUCR2"	7	12	1200	1200	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCR"	950	1	75	350	400	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1700S"	2	"b1,6,10,14,18"	""	""	""	13	13	13	13	0	0	0	"b3,8"	""	""	""	""	""
"LCUCR1,LCUCR2,LCUCR3"	LCUCR3	"RES_LC_UCR3"	"LCUCR3"	7	12	1200	1200	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCR"	1150	1	75	400	400	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1700S"	2	"b1,6,10,14,18"	""	""	""	13	13	13	13	0	0	0	"b3,8"	""	""	""	""	""
"LCUCTF"	LCUCTF	"RES_LC_NOT_FOR_BUILD"	"NEACTFLC"	6	3	500	1000	""	""	""	""	10000	10000	0	20000	20000	59	1	2	""	""	-1	""	""	""	""	0	0	0	0	0	0	0	"b8,12"	""	""	""	""	""
"LCUCU1,LCUCU2,LCUCU3"	LCUCU1	"RES_LC_UCU1"	"LCUCU3"	7	13	1500	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	1400	1	75	400	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1900S"	2	"b1"	"b1"	""	""	16	16	16	16	0	0	0	"b3,8"	""	""	""	""	""
"LCUCU1,LCUCU2,LCUCU3"	LCUCU2	"RES_LC_NOT_FOR_BUILD"	"LCUCU2"	7	13	1500	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	1300	1	75	350	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1900S"	2	"b1"	"b1"	""	""	16	16	16	16	0	0	0	"b3,8"	""	""	""	""	""
"LCUCU1,LCUCU2,LCUCU3"	LCUCU3	"RES_LC_NOT_FOR_BUILD"	"LCUCU3"	7	13	1500	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	1400	1	75	400	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1900S"	2	"b1"	"b1"	""	""	16	16	16	16	0	0	0	"b3,8"	""	""	""	""	""
"LCUCU1E,LCUCU2E,LCUCU3E"	LCUCU1E	"RES_LC_NOT_FOR_BUILD"	"LCUCU2"	7	13	1500	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	920	1	70	300	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC2500S"	2	"b1"	"b1"	""	""	16	16	16	16	0	0	0	"b3,8"	""	""	""	""	""
"LCUCU1E,LCUCU2E,LCUCU3E"	LCUCU2E	"RES_LC_NOT_FOR_BUILD"	"LCUCU2"	7	13	1500	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	1000	1	70	350	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC2500S"	2	"b1"	"b1"	""	""	16	16	16	16	0	0	0	"b3,8"	""	""	""	""	""
"LCUCU1E,LCUCU2E,LCUCU3E"	LCUCU3E	"RES_LC_NOT_FOR_BUILD"	"LCUCU3"	7	13	1500	1500	"SND_LCUVB"	"HIT_SMOKE"	"EXP_UNIT_W"	"NEXLCUCU"	1100	1	70	400	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC2500S"	2	"b1"	"b1"	""	""	16	16	16	16	0	0	0	"b3,8"	""	""	""	""	""
"LCUFG1,LCUFG2,LCUFG3"	LCUFG1	"RES_LCUFG1"	"LCUFG1"	7	13	600	900	"SND_LCUVS"	"HIT_SMOKE"	"EXP_UNIT_W"	""	450	3	33	200	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1500S"	2	"b11"	"b11"	""	""	16	16	16	16	0	0	0	"b3,8"	""	""	""	""	""
"LCUFG1,LCUFG2,LCUFG3"	LCUFG2	"RES_LCUFG2"	"LCUFG2"	7	13	600	900	"SND_LCUVS"	"HIT_SMOKE"	"EXP_UNIT_W"	""	600	3	33	200	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1500S"	2	"b11"	"b11"	"b11"	""	15	15	15	15	0	0	0	"b3,8"	""	""	""	""	""
"LCUFG1,LCUFG2,LCUFG3"	LCUFG3	"RES_LCUFG3"	"LCUFG3"	7	13	600	900	"SND_LCUVS"	"HIT_SMOKE"	"EXP_UNIT_W"	""	750	3	50	200	500	1	2	4	"TALK_LC_HEAVY_TANK"	"SMALLGENLC1500S"	2	"b11"	"b11"	"b11"	"b11"	14	14	14	14	0	0	0	"b3,8"	""	""	""	""	""
"LCUHERO"	LCUHERO	"RES_LC_NOT_FOR_BUILD"	"LCUHERO"	7	11	0	2000	"SND_LCUVS"	"HIT_SMOKE"	"EXP_UNIT_W"	""	600	3	75	200	500	1	2	4	"TALK_LC_FANG"	"SMALLGENLC1800S"	2	"b7,17"	""	""	""	7	7	7	7	0	0	0	"b3,8"	""	""	""	""	""
