"PAR/CSV"	40
"Research"	"NN"	"research/research_nn.txt"
"Research"	"UCS"	"research/research_ucs.txt"
"Research"	"ED"	"research/research_ed.txt"
"Research"	"LC"	"research/research_lc.txt"
"Moveable"	"UCS"	"unit/moveable_ucs.txt"
"Moveable"	"ED"	"unit/moveable_ed.txt"
"Moveable"	"LC"	"unit/moveable_lc.txt"
"Supply Transporter"	"UCS"	"unit/supply_transporter_ucs.txt"
"Supply Transporter"	"ED"	"unit/supply_transporter_ed.txt"
"Supply Transporter"	"LC"	"unit/supply_transporter_lc.txt"
"Build Robot"	"UCS"	"unit/build_robot_ucs.txt"
"Build Robot"	"ED"	"unit/build_robot_ed.txt"
"Build Robot"	"LC"	"unit/build_robot_lc.txt"
"Mining Robot"	"UCS"	"unit/mining_robot_ucs.txt"
"Sapper Robot"	"UCS"	"unit/sapper_robot_ucs.txt"
"Sapper Robot"	"ED"	"unit/sapper_robot_ed.txt"
"Cannon"	"UCS"	"cannon/cannon_ucs.txt"
"Cannon"	"ED"	"cannon/cannon_ed.txt"
"Cannon"	"LC"	"cannon/cannon_lc.txt"
"Missile"	"NN"	"missile/missile_nn.txt"
"Missile"	"UCS"	"missile/missile_ucs.txt"
"Missile"	"ED"	"missile/missile_ed.txt"
"Missile"	"LC"	"missile/missile_lc.txt"
"Building"	"UCS"	"building/building_ucs.txt"
"Building"	"ED"	"building/building_ed.txt"
"Building"	"LC"	"building/building_lc.txt"
"Passive"	"NN"	"object/passive_nn.txt"
"Passive"	"UCS"	"object/passive_ucs.txt"
"Passive"	"ED"	"object/passive_ed.txt"
"Passive"	"LC"	"object/passive_lc.txt"
"Mine"	"NN"	"object/mine_nn.txt"
"Upgrade Copula"	"NN"	"object/upgrade_copula_nn.txt"
"Multi Explosion"	"NN"	"object/multi_explosion_nn.txt"
"Build Passive"	"UCS"	"object/build_passive_ucs.txt"
"Build Passive"	"ED"	"object/build_passive_ed.txt"
"Platoon"	"NN"	"object/platoon_nn.txt"
"Transient Passive"	"NN"	"object/transient_passive_nn.txt"
"Transient Passive"	"UCS"	"object/transient_passive_ucs.txt"
"Transient Passive"	"ED"	"object/transient_passive_ed.txt"
"Transient Passive"	"LC"	"object/transient_passive_lc.txt"
"Explosion"	"NN"	"object/explosion_nn.txt"
"Flying Waste"	"NN"	"object/flying_waste_nn.txt"
"Starting Position Mark"	"ED"	"object/starting_position_mark_ed.txt"
"Smoke"	"NN"	"object/smoke_nn.txt"
"Artefact"	"NN"	"object/artefact_nn.txt"
"Explosion Ex"	"NN"	"object/explosion_ex_nn.txt"
"Vertical Vehicle Building Transporter"	"LC"	"object/vertical_vehicle_building_transporter_lc.txt"
"Wall Laser"	"NN"	"object/wall_laser_nn.txt"
"Vertical Vehicle Resource Transporter"	"UCS"	"object/vertical_vehicle_resource_transporter_ucs.txt"
"Vertical Vehicle Resource Transporter"	"ED"	"object/vertical_vehicle_resource_transporter_ed.txt"
"Vertical Vehicle Resource Transporter"	"LC"	"object/vertical_vehicle_resource_transporter_lc.txt"
"Builder Line"	"LC"	"object/builder_line_lc.txt"
"Vertical Vehicle Unit Transporter"	"UCS"	"object/vertical_vehicle_unit_transporter_ucs.txt"
"Vertical Vehicle Unit Transporter"	"ED"	"object/vertical_vehicle_unit_transporter_ed.txt"
"Vertical Vehicle Unit Transporter"	"LC"	"object/vertical_vehicle_unit_transporter_lc.txt"
"Equipment"	"LC"	"equipment/equipment_lc.txt"
"Repairer"	"UCS"	"equipment/repairer_ucs.txt"
"Repairer"	"ED"	"equipment/repairer_ed.txt"
"Container Transporter"	"ED"	"equipment/container_transporter_ed.txt"
"Look Round Equipment"	"UCS"	"equipment/look_round_equipment_ucs.txt"
"Look Round Equipment"	"ED"	"equipment/look_round_equipment_ed.txt"
"Look Round Equipment"	"LC"	"equipment/look_round_equipment_lc.txt"
"Transporter Hook"	"UCS"	"equipment/transporter_hook_ucs.txt"
"Transporter Hook"	"ED"	"equipment/transporter_hook_ed.txt"
"Transporter Hook"	"LC"	"equipment/transporter_hook_lc.txt"
"Shield Generator"	"UCS"	"shield_generator/shield_generator_ucs.txt"
"Shield Generator"	"ED"	"shield_generator/shield_generator_ed.txt"
"Shield Generator"	"LC"	"shield_generator/shield_generator_lc.txt"
"Player Talk Pack"	"NN"	"sound_pack/player_talk_pack_nn.txt"
"Sound Pack"	"NN"	"sound_pack/sound_pack_nn.txt"
"Talk Pack"	"NN"	"sound_pack/talk_pack_nn.txt"
"Special Update Link"	"NN"	"special_update_link/special_update_link_nn.txt"
"Experience Parameter"	"NN"	"setting/experience_parameter_nn.txt"
"Mesh Button View Parameter"	"NN"	"setting/mesh_button_view_parameter_nn.txt"
"Music Pack"	"NN"	"setting/music_pack_nn.txt"
"Player Talk Pack Delay"	"NN"	"setting/player_talk_pack_delay_nn.txt"
"Player Interface Special Mesh"	"NN"	"setting/player_interface_special_mesh_nn.txt"
"Space Transporter Video Pack"	"NN"	"setting/space_transporter_video_pack_nn.txt"
"Talk Pack Delay"	"NN"	"setting/talk_pack_delay_nn.txt"
"Special Mesh"	"NN"	"setting/special_mesh_nn.txt"
"Special Name"	"NN"	"setting/special_name_nn.txt"
