"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"passiveMask"	"$wallCopulaID"
"EDWRART,EDWRJP,EDWRSDI"	EDWRART	""	"EDWRART"	6	0	0	0	""	"HIT_SMOKE"	"EXP_WRECK_B"	""	200	0	0	0	0	0	1	"b7"	""
"EDWRART,EDWRJP,EDWRSDI"	EDWRJP	""	"EDWRJP"	6	0	0	0	""	"HIT_SMOKE"	"EXP_WRECK_B"	""	180	0	0	0	0	0	1	"b7"	""
"NEXEDBAB,NEXEDBBA,NEXEDBFA,NEXEDBPP,NEXEDBMI,NEXEDBRE,NEXEDBTC,NEXEDBRC,NEXEDBWB,NEXEDBPB,NEXEDBST,NEXEDBBT,NEXEDBBC,NEXEDBHQ,NEXEDBSI,NEXEDBRA,NEXEDBEN1,NEXEDBSS,NEXEDBUC,NEXLCBBF,NEXLCBPP,NEXLCBSB,NEXLCBBA,NEXLCBMR,NEXLCBSR,NEXLCBRC,NEXLCBAB,NEXLCBGA,NEXLCBDE,NEXLCBHQ,NEXLCBSD,NEXLCBWC,NEXLCBSS,NEXLCBW,NEXUCSBBA,NEXUCSBFA,NEXUCSBPP,NEXUCSBPR,NEXUCSBTB,NEXUCSBET,NEXUCSBRF,NEXUCSBRC,NEXUCSBAB,NEXUCSBWB,NEXUCSBFO,NEXUCSBST,NEXUCSBBT,NEXUCSBPB,NEXUCSBPC,NEXUCSBHQ,NEXUCSBSD,NEXUCSBSH,NEXUCSBTE,NEXUCSBEN1,NEXUCSBSS"	NEXEDBST	""	"NEXEDBST"	9	0	0	0	""	"HIT_SMOKE"	"EXP_WRECK_B"	""	50	0	0	0	0	0	0	"b7"	""
"NEXEDBAB,NEXEDBBA,NEXEDBFA,NEXEDBPP,NEXEDBMI,NEXEDBRE,NEXEDBTC,NEXEDBRC,NEXEDBWB,NEXEDBPB,NEXEDBST,NEXEDBBT,NEXEDBBC,NEXEDBHQ,NEXEDBSI,NEXEDBRA,NEXEDBEN1,NEXEDBSS,NEXEDBUC,NEXLCBBF,NEXLCBPP,NEXLCBSB,NEXLCBBA,NEXLCBMR,NEXLCBSR,NEXLCBRC,NEXLCBAB,NEXLCBGA,NEXLCBDE,NEXLCBHQ,NEXLCBSD,NEXLCBWC,NEXLCBSS,NEXLCBW,NEXUCSBBA,NEXUCSBFA,NEXUCSBPP,NEXUCSBPR,NEXUCSBTB,NEXUCSBET,NEXUCSBRF,NEXUCSBRC,NEXUCSBAB,NEXUCSBWB,NEXUCSBFO,NEXUCSBST,NEXUCSBBT,NEXUCSBPB,NEXUCSBPC,NEXUCSBHQ,NEXUCSBSD,NEXUCSBSH,NEXUCSBTE,NEXUCSBEN1,NEXUCSBSS"	NEXEDBBT	""	"NEXEDBBT"	9	0	0	0	""	"HIT_SMOKE"	"EXP_WRECK_B"	""	100	0	0	0	0	0	0	"b7"	""
"NEXEDBAB,NEXEDBBA,NEXEDBFA,NEXEDBPP,NEXEDBMI,NEXEDBRE,NEXEDBTC,NEXEDBRC,NEXEDBWB,NEXEDBPB,NEXEDBST,NEXEDBBT,NEXEDBBC,NEXEDBHQ,NEXEDBSI,NEXEDBRA,NEXEDBEN1,NEXEDBSS,NEXEDBUC,NEXLCBBF,NEXLCBPP,NEXLCBSB,NEXLCBBA,NEXLCBMR,NEXLCBSR,NEXLCBRC,NEXLCBAB,NEXLCBGA,NEXLCBDE,NEXLCBHQ,NEXLCBSD,NEXLCBWC,NEXLCBSS,NEXLCBW,NEXUCSBBA,NEXUCSBFA,NEXUCSBPP,NEXUCSBPR,NEXUCSBTB,NEXUCSBET,NEXUCSBRF,NEXUCSBRC,NEXUCSBAB,NEXUCSBWB,NEXUCSBFO,NEXUCSBST,NEXUCSBBT,NEXUCSBPB,NEXUCSBPC,NEXUCSBHQ,NEXUCSBSD,NEXUCSBSH,NEXUCSBTE,NEXUCSBEN1,NEXUCSBSS"	NEXLCBSB	""	"NEXLCBSB"	9	0	0	0	""	"HIT_SMOKE"	"EXP_RUIN_S"	""	50	0	0	0	0	0	0	"b7"	""
"NEXEDBAB,NEXEDBBA,NEXEDBFA,NEXEDBPP,NEXEDBMI,NEXEDBRE,NEXEDBTC,NEXEDBRC,NEXEDBWB,NEXEDBPB,NEXEDBST,NEXEDBBT,NEXEDBBC,NEXEDBHQ,NEXEDBSI,NEXEDBRA,NEXEDBEN1,NEXEDBSS,NEXEDBUC,NEXLCBBF,NEXLCBPP,NEXLCBSB,NEXLCBBA,NEXLCBMR,NEXLCBSR,NEXLCBRC,NEXLCBAB,NEXLCBGA,NEXLCBDE,NEXLCBHQ,NEXLCBSD,NEXLCBWC,NEXLCBSS,NEXLCBW,NEXUCSBBA,NEXUCSBFA,NEXUCSBPP,NEXUCSBPR,NEXUCSBTB,NEXUCSBET,NEXUCSBRF,NEXUCSBRC,NEXUCSBAB,NEXUCSBWB,NEXUCSBFO,NEXUCSBST,NEXUCSBBT,NEXUCSBPB,NEXUCSBPC,NEXUCSBHQ,NEXUCSBSD,NEXUCSBSH,NEXUCSBTE,NEXUCSBEN1,NEXUCSBSS"	NEXLCBW	""	"NEXLCBW"	9	0	0	0	""	"HIT_SMOKE"	"EXP_RUIN_S"	""	80	0	0	0	0	0	0	"b7"	""
"NEXEDBAB,NEXEDBBA,NEXEDBFA,NEXEDBPP,NEXEDBMI,NEXEDBRE,NEXEDBTC,NEXEDBRC,NEXEDBWB,NEXEDBPB,NEXEDBST,NEXEDBBT,NEXEDBBC,NEXEDBHQ,NEXEDBSI,NEXEDBRA,NEXEDBEN1,NEXEDBSS,NEXEDBUC,NEXLCBBF,NEXLCBPP,NEXLCBSB,NEXLCBBA,NEXLCBMR,NEXLCBSR,NEXLCBRC,NEXLCBAB,NEXLCBGA,NEXLCBDE,NEXLCBHQ,NEXLCBSD,NEXLCBWC,NEXLCBSS,NEXLCBW,NEXUCSBBA,NEXUCSBFA,NEXUCSBPP,NEXUCSBPR,NEXUCSBTB,NEXUCSBET,NEXUCSBRF,NEXUCSBRC,NEXUCSBAB,NEXUCSBWB,NEXUCSBFO,NEXUCSBST,NEXUCSBBT,NEXUCSBPB,NEXUCSBPC,NEXUCSBHQ,NEXUCSBSD,NEXUCSBSH,NEXUCSBTE,NEXUCSBEN1,NEXUCSBSS"	NEXUCSBST	""	"NEXUCSBST"	9	0	0	0	""	"HIT_SMOKE"	"EXP_WRECK_B"	""	50	0	0	0	0	0	0	"b7"	""
"NEXEDBAB,NEXEDBBA,NEXEDBFA,NEXEDBPP,NEXEDBMI,NEXEDBRE,NEXEDBTC,NEXEDBRC,NEXEDBWB,NEXEDBPB,NEXEDBST,NEXEDBBT,NEXEDBBC,NEXEDBHQ,NEXEDBSI,NEXEDBRA,NEXEDBEN1,NEXEDBSS,NEXEDBUC,NEXLCBBF,NEXLCBPP,NEXLCBSB,NEXLCBBA,NEXLCBMR,NEXLCBSR,NEXLCBRC,NEXLCBAB,NEXLCBGA,NEXLCBDE,NEXLCBHQ,NEXLCBSD,NEXLCBWC,NEXLCBSS,NEXLCBW,NEXUCSBBA,NEXUCSBFA,NEXUCSBPP,NEXUCSBPR,NEXUCSBTB,NEXUCSBET,NEXUCSBRF,NEXUCSBRC,NEXUCSBAB,NEXUCSBWB,NEXUCSBFO,NEXUCSBST,NEXUCSBBT,NEXUCSBPB,NEXUCSBPC,NEXUCSBHQ,NEXUCSBSD,NEXUCSBSH,NEXUCSBTE,NEXUCSBEN1,NEXUCSBSS"	NEXUCSBBT	""	"NEXUCSBBT"	9	0	0	0	""	"HIT_SMOKE"	"EXP_WRECK_B"	""	50	0	0	0	0	0	0	"b7"	""
"NEXEDUBT,NEXEDUHT,NEXEDUHW,NEXEDUMT,NEXEDUMW,NEXEDUST,NEXEDUBU,NEXEDUMI"	NEXEDUBT	""	"NEXEDUBT"	6	0	0	0	""	"HIT_SMOKE"	"EXP_WRECK_B"	""	200	0	0	0	0	0	1	"b7"	""
"NEXEDUBT,NEXEDUHT,NEXEDUHW,NEXEDUMT,NEXEDUMW,NEXEDUST,NEXEDUBU,NEXEDUMI"	NEXEDUHT	""	"NEXEDUHT"	6	0	0	0	""	"HIT_SMOKE"	"EXP_WRECK_B"	""	180	0	0	0	0	0	1	"b7"	""
