"category"	"objectID"	"neededResearches"	"mesh"	"meshParamsIndex"	"priceCampaign"	"priceSingle"	"timeCampaign"	"timeSingle"	"video"
"Unit"	RES_UCSUUT	"RES_UCS_GARG1"	"UCSUUT"	22	5000	2000	5	2	""
"Unit"	RES_UCS_BOMBER21	"RES_UCS_GARG2"	"UCSUA21"	22	5000	3000	10	4	"CS109"
"Unit"	RES_UCS_BOMBER22	"RES_UCS_BOMBER21"	"UCSUA22"	22	5000	3000	10	4	""
"Unit"	RES_UCS_BOMBER31	"RES_UCS_BOMBER22"	"UCSUA31"	22	5000	3000	10	4	""
"Unit"	RES_UCS_BOMBER32	"RES_UCS_BOMBER31"	"UCSUA32"	22	5000	3000	10	4	""
"Unit"	RES_UCS_GARG1	""	"UCSUA11"	21	5000	2000	5	2	"CS108"
"Unit"	RES_UCS_GARG2	"RES_UCS_GARG1"	"UCSUA12"	21	5000	2000	5	2	""
"Unit"	RES_UCS_GARG3	"RES_UCS_GARG2"	"UCSUA13"	21	5000	2000	5	2	""
"Unit"	RES_UCS_U4L1	"RES_UCS_UBL1"	"UCSU4L2"	1	5000	3000	10	15	""
"Unit"	RES_UCS_UAST1	"RES_UCS_GARG3"	"UCSUAST1"	22	5000	3000	10	6	""
"Unit"	RES_UCS_UBL1	"RES_UCS_UHL1,RES_UCS_UTAR1"	"UCSUBL1"	23	5000	6000	10	10	""
"Unit"	RES_UCS_UBS1	"RES_UCS_NOT_FOR_BUILD"	"UCSUBS1"	24	5000	3000	10	4	""
"Unit"	RES_UCS_UBS2	"RES_UCS_NOT_FOR_BUILD"	"UCSUBS2"	24	5000	3000	10	4	""
"Unit"	RES_UCS_UBS3	"RES_UCS_NOT_FOR_BUILD"	"UCSUBS3"	24	5000	3000	10	4	""
"Unit"	RES_UCS_UHL1	"RES_UCS_USL2"	"UCSUHL1"	23	5000	3000	10	4	""
"Unit"	RES_UCS_UHL2	"RES_UCS_UHL1"	"UCSUHL2"	23	5000	3000	10	3	""
"Unit"	RES_UCS_UHL3	"RES_UCS_UHL2"	"UCSUHL3"	23	5000	3000	10	3	""
"Unit"	RES_UCS_UMI1	""	"UCSUMI1"	22	5000	3000	10	4	""
"Unit"	RES_UCS_UMI2	"RES_UCS_UMI1"	"UCSUMI2"	22	5000	3000	10	4	""
"Unit"	RES_UCS_UML1	"RES_UCS_USL2"	"UCSUML1"	22	5000	1000	5	2	""
"Unit"	RES_UCS_UML2	"RES_UCS_UML1"	"UCSUML2"	22	5000	2000	5	2	""
"Unit"	RES_UCS_UML3	"RES_UCS_UML2"	"UCSUML3"	22	5000	2000	5	2	""
"Unit"	RES_UCS_UOH2	""	"UCSUOH2"	22	5000	3000	10	4	""
"Unit"	RES_UCS_UOH3	"RES_UCS_UOH2"	"UCSUAH3"	22	5000	2000	10	3	""
"Unit"	RES_UCS_USL2	""	"UCSUSL2"	21	5000	2000	5	2	""
"Unit"	RES_UCS_USL3	"RES_UCS_USL2"	"UCSUSL3"	21	5000	2000	5	3	""
"Unit"	RES_UCS_USM1	"RES_UCS_NOT_FOR_BUILD"	"UCSUSM1"	22	5000	3000	10	4	""
"Unit"	RES_UCS_USM2	"RES_UCS_NOT_FOR_BUILD"	"UCSUSM2"	22	5000	3000	10	4	""
"Unit"	RES_UCS_USS1	"RES_UCS_NOT_FOR_BUILD"	"UCSUSS1"	21	5000	2000	5	2	""
"Unit"	RES_UCS_USS2	"RES_UCS_NOT_FOR_BUILD"	"UCSUSS2"	21	5000	2000	5	2	""
"Unit"	RES_UCS_USS3	"RES_UCS_NOT_FOR_BUILD"	"UCSUSS3"	4	5000	3000	10	4	""
"Unit"	RES_UCS_UTAR1	"RES_UCS_UML1"	"UCSUTAR1"	1	5000	2000	10	2	""
"Unit"	RES_UCS_UTAR2	"RES_UCS_UTAR1"	"UCSUTAR2"	1	5000	3000	10	3	""
"Unit"	RES_UCS_UTAR3	"RES_UCS_UTAR2"	"UCSUTAR3"	1	5000	3000	10	3	""
"Weapon"	RES_UCSCAA1	"RES_MISSION_PACK1_ONLY,RES_UCS_WSP1"	"UCSCAA1"	0	10000	5000	10	5	""
"Weapon"	RES_UCSCAA2	"RES_UCSCAA1"	"UCSCAA2"	0	10000	5000	10	5	""
"Weapon"	RES_UCSWAP1	"RES_MISSION_PACK1_ONLY,RES_UCS_WSP2"	"UCSWAP1"	0	10000	5000	10	9	""
"Weapon"	RES_UCSWAP2	"RES_UCSWAP1"	"UCSWAP2"	0	10000	5000	10	6	""
"Weapon"	RES_UCSWBHC1	"RES_UCSWTSC2"	"UCSWBHC1"	1	10000	3000	5	4	""
"Weapon"	RES_UCSWBHC2	"RES_UCSWBHC1"	"UCSWBHC2"	1	10000	3000	5	4	""
"Weapon"	RES_UCSWEQ1	"RES_MISSION_PACK1_ONLY"	"UCSWEQ1"	1	10000	3000	5	4	""
"Weapon"	RES_UCSWEQ2	"RES_UCSWEQ1"	"UCSWEQ2"	1	10000	3000	5	4	""
"Weapon"	RES_UCSWTSC2	"RES_MISSION_PACK1_ONLY"	"UCSWTSC2"	1	10000	3000	5	4	""
"Weapon"	RES_UCS_WACH2	""	"UCSWACH2"	0	10000	3000	5	4	""
"Weapon"	RES_UCS_WAMR1	"RES_UCS_WMR1"	"UCSWAMR1"	0	10000	5000	10	5	""
"Weapon"	RES_UCS_WAMR2	"RES_UCS_WAMR1"	"UCSWAMR2"	0	10000	5000	10	5	""
