"category"	"objectID"	"neededResearches"	"mesh"	"meshParamsIndex"	"priceCampaign"	"priceSingle"	"timeCampaign"	"timeSingle"	"video"
"Unit"	RES_LCUFG1	""	"LCUFG1"	13	10000	3750	5	2	""
"Unit"	RES_LCUFG2	"RES_LCUFG1"	"LCUFG2"	13	10000	3750	5	2	""
"Unit"	RES_LCUFG3	"RES_LCUFG2"	"LCUFG3"	13	10000	3750	5	4	""
"Unit"	RES_LCUNH	"RES_ED_NOT_FOR_BUILD"	"LCUNH"	11	10000	3750	5	4	""
"Unit"	RES_LCUSF1	"RES_LC_UME1,RES_MISSION_PACK1_ONLY"	"LCUSF1"	12	5000	3750	10	4	""
"Unit"	RES_LCUSF2	"RES_LCUSF1"	"LCUSF2"	12	5000	3750	10	4	""
"Unit"	RES_LCUSF3	"RES_LCUSF2"	"LCUSF3"	12	5000	3750	10	4	""
"Unit"	RES_LCUUT	"RES_LC_UME1,RES_MISSION_PACK1_ONLY"	"LCUUT"	13	5000	2500	5	2	""
"Unit"	RES_LC_LCSS1	"RES_LC_UMO3"	"LCUSS1"	12	5000	2500	5	4	""
"Unit"	RES_LC_UAP1	"RES_LC_UBO1"	"LCUAP1"	14	10000	6250	10	5	""
"Unit"	RES_LC_UAP2	"RES_LC_UAP1"	"LCUAP2"	14	10000	6250	10	5	""
"Unit"	RES_LC_UAP3	"RES_LC_UAP2"	"LCUAP2"	14	10000	6250	10	5	""
"Unit"	RES_LC_UBO1	"RES_LC_UME2"	"LCUBO1"	13	5000	3750	10	4	""
"Unit"	RES_LC_UBO2	"RES_LC_UBO1"	"LCUBO2"	13	5000	3750	10	4	""
"Unit"	RES_LC_UBS1	"RES_LC_NOT_FOR_BUILD"	"LCUBS1"	4	5000	3750	10	4	""
"Unit"	RES_LC_UBS2	"RES_LC_NOT_FOR_BUILD"	"LCUBS2"	4	5000	3750	10	4	""
"Unit"	RES_LC_UBS3	"RES_LC_NOT_FOR_BUILD"	"LCUBS3"	4	5000	3750	10	4	""
"Unit"	RES_LC_UCR1	"RES_LC_UMO2"	"LCUCR1"	12	5000	3750	10	4	""
"Unit"	RES_LC_UCR2	"RES_LC_UCR1"	"LCUCR2"	12	5000	3750	10	3	""
"Unit"	RES_LC_UCR3	"RES_LC_UCR2"	"LCUCR3"	12	5000	3750	10	3	""
"Unit"	RES_LC_UCU1	"RES_LC_UCR1,RES_LC_UHF1"	"LCUCU3"	13	5000	11750	10	8	""
"Unit"	RES_LC_UHF1	"RES_LC_UMO2"	"LCUHF1"	12	5000	3750	10	4	""
"Unit"	RES_LC_UHF2	"RES_LC_UHF1"	"LCUHF2"	12	5000	3750	10	3	""
"Unit"	RES_LC_UHF3	"RES_LC_UHF2"	"LCUHF3"	12	5000	3750	10	3	""
"Unit"	RES_LC_ULU2	""	"LCULU2"	11	5000	2500	5	2	""
"Unit"	RES_LC_ULU3	"RES_LC_ULU2"	"LCULU3"	11	5000	2500	5	2	""
"Unit"	RES_LC_UME1	""	"LCUME1"	11	5000	2500	5	2	""
"Unit"	RES_LC_UME2	"RES_LC_UME1"	"LCUME2"	11	5000	2500	5	2	""
"Unit"	RES_LC_UME3	"RES_LC_UME2"	"LCUME3"	11	5000	2500	5	2	""
"Unit"	RES_LC_UMO2	"RES_LC_ULU2"	"LCUMO2"	11	5000	2500	5	3	""
"Unit"	RES_LC_UMO3	"RES_LC_UMO2"	"LCUMO3"	11	5000	2500	5	2	""
"Unit"	RES_LC_UNH1	"RES_LC_ULU3"	"LCUNH1"	11	5000	2500	5	2	""
"Unit"	RES_LC_USM1	"RES_LC_NOT_FOR_BUILD"	"LCUSM1"	22	5000	3750	10	4	""
"Unit"	RES_LC_USM2	"RES_LC_NOT_FOR_BUILD"	"LCUSM2"	22	5000	3750	10	4	""
"Unit"	RES_LC_USS2	"RES_LC_NOT_FOR_BUILD"	"LCUSS2"	1	5000	2500	5	2	""
"Unit"	RES_LC_USS3	"RES_LC_NOT_FOR_BUILD"	"LCUSS3"	1	5000	2500	5	2	""
"Unit"	RES_LC_WARTILLERY	"RES_LCUFG3"	"LCUHT3"	12	5000	3750	10	9	""
"Weapon"	RES_LCCAA1	"RES_LC_WSR2,RES_MISSION_PACK1_ONLY"	"LCCAA1"	11	10000	5000	4	4	""
"Weapon"	RES_LCWEQ1	"RES_MISSION_PACK1_ONLY"	"LCWEQ1"	1	10000	3750	5	4	""
"Weapon"	RES_LCWEQ2	"RES_LCWEQ1"	"LCWEQ2"	1	10000	3750	5	4	""
"Weapon"	RES_LC_ACH2	"RES_LC_WCH2"	"LCWAC2"	0	10000	3750	5	4	""
"Weapon"	RES_LC_AMR1	"RES_LC_WMR1"	"LCWAMR1"	0	10000	6250	10	5	""
"Weapon"	RES_LC_AMR2	"RES_LC_AMR1"	"LCWAMR2"	0	10000	6250	10	5	""
"Weapon"	RES_LC_ASR1	"RES_LC_WSR2"	"LCWAR1"	0	10000	3750	5	4	""
"Weapon"	RES_LC_ASR2	"RES_LC_ASR1"	"LCWAR2"	0	10000	3750	5	4	""
"Weapon"	RES_LC_WAAE1	"RES_LC_WHERO"	"LCWNH1"	0	10000	3000	5	7	""
"Weapon"	RES_LC_WAAE2	"RES_LC_WAAE1"	"LCWNH2"	0	10000	3000	5	4	""
"Weapon"	RES_LC_WAARG1	"RES_LC_WRG2"	"LCWAARG2"	0	10000	3000	5	4	""
"Weapon"	RES_LC_WAE1	"RES_LC_WSL1"	"LCWAE1"	0	10000	3750	5	4	""
"Weapon"	RES_LC_WAE2	"RES_LC_WAE1"	"LCWAE2"	0	10000	3750	5	4	""
"Weapon"	RES_LC_WAHE1	"RES_LC_WHL1"	"LCWAHE1"	0	10000	6250	10	7	""
"Weapon"	RES_LC_WAHE2	"RES_LC_WAHE1"	"LCWAHE2"	0	10000	6250	10	6	""
"Weapon"	RES_LC_WAS1	"RES_LC_WHS2"	"LCWAS1"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WAS2	"RES_LC_WAS1"	"LCWAS2"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WBART1	"RES_LC_WHL2"	"LCWBART2"	8	10000	6250	10	10	""
"Weapon"	RES_LC_WBART2	"RES_LC_WBART1"	"LCWBART3"	8	10000	6250	10	10	""
"Weapon"	RES_LC_WCH2	""	"LCWCH2"	0	10000	3750	5	4	""
"Weapon"	RES_LC_WHCART1	"RES_LC_WHP3"	"LCWHC2"	1	10000	6250	10	3	""
"Weapon"	RES_LC_WHCART2	"RES_LC_WHCART1"	"LCWHC3"	1	10000	6250	10	10	""
"Weapon"	RES_LC_WHERO	""	"LCWHERO"	0	10000	3750	5	6	""
"Weapon"	RES_LC_WHERO2	"RES_LC_WHERO"	"LCWHERO"	0	10000	3750	5	2	""
"Weapon"	RES_LC_WHL1	"RES_LC_WSL1"	"LCWHL1"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WHL2	"RES_LC_WHL1"	"LCWHL2"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WHP1	"RES_LC_WHERO2"	"LCWHP1"	0	10000	6500	10	4	""
"Weapon"	RES_LC_WHP2	"RES_LC_WHP1"	"LCWHP2"	0	10000	6500	10	4	""
"Weapon"	RES_LC_WHP3	"RES_LC_WHP2"	"LCWHP3"	0	10000	6500	10	4	""
"Weapon"	RES_LC_WHRG1	"RES_LC_WRG2"	"LCWHRG1"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WHRG2	"RES_LC_WHRG1"	"LCWHRG2"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WHS1	"RES_LC_WSS1"	"LCWHS1"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WHS2	"RES_LC_WHS1"	"LCWHS2"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WMR1	"RES_LC_WSR2"	"LCWMR1"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WMR2	"RES_LC_WMR1"	"LCWMR2"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WMR3	"RES_LC_WMR2"	"LCWMR3"	0	10000	6250	10	5	""
"Weapon"	RES_LC_WRG2	""	"LCWRG2"	0	10000	3750	5	4	""
"Weapon"	RES_LC_WSL1	""	"LCWSL1"	0	10000	3750	5	5	"CS307"
"Weapon"	RES_LC_WSL2	"RES_LC_WSL1"	"LCWSL2"	0	10000	3750	5	5	""
"Weapon"	RES_LC_WSR2	""	"LCWSR2"	0	10000	3750	5	4	""
"Weapon"	RES_LC_WSR3	"RES_LC_WSR2"	"LCWSR3"	0	10000	3750	5	4	""
"Weapon"	RES_LC_WSS1	""	"LCWSS1"	0	10000	3750	5	4	"CS308"
