"group"	"objectID"	"neededResearches"	"shieldCost"	"shieldValue"	"reloadTime"	"shieldMeshName"	"shieldMeshViewIndex"
"SMALLGENLC,MEDIUMGENLC,BIGGENLC"	SMALLGENLC	"RES_LC_SGen"	90	600	10	"NEMPS1"	1
"SMALLGENLC,MEDIUMGENLC,BIGGENLC"	MEDIUMGENLC	"RES_LC_MGen"	180	1200	8	"NEMPS2"	1
"SMALLGENLC,MEDIUMGENLC,BIGGENLC"	BIGGENLC	"RES_LC_HGen"	360	1800	6	"NEMPS3"	1
"SMALLGENLC1200S,MEDIUMGENLC1200M,BIGGENLC1200B"	SMALLGENLC1200S	"RES_LC_SGen"	60	400	10	"NEMPS1"	1
"SMALLGENLC1200S,MEDIUMGENLC1200M,BIGGENLC1200B"	MEDIUMGENLC1200M	"RES_LC_MGen"	120	800	8	"NEMPS2"	1
"SMALLGENLC1200S,MEDIUMGENLC1200M,BIGGENLC1200B"	BIGGENLC1200B	"RES_LC_HGen"	240	1200	6	"NEMPS3"	1
"SMALLGENLC15000S,MEDIUMGENLC15000M,BIGGENLC15000B"	SMALLGENLC15000S	"RES_LC_SGen"	600	3000	10	"NEMPS1"	1
"SMALLGENLC15000S,MEDIUMGENLC15000M,BIGGENLC15000B"	MEDIUMGENLC15000M	"RES_LC_MGen"	900	6000	8	"NEMPS2"	1
"SMALLGENLC15000S,MEDIUMGENLC15000M,BIGGENLC15000B"	BIGGENLC15000B	"RES_LC_HGen"	1800	15000	6	"NEMPS3"	1
"SMALLGENLC1500S,MEDIUMGENLC1500M,BIGGENLC1500B"	SMALLGENLC1500S	"RES_LC_SGen"	75	500	10	"NEMPS1"	1
"SMALLGENLC1500S,MEDIUMGENLC1500M,BIGGENLC1500B"	MEDIUMGENLC1500M	"RES_LC_MGen"	150	1000	8	"NEMPS2"	1
"SMALLGENLC1500S,MEDIUMGENLC1500M,BIGGENLC1500B"	BIGGENLC1500B	"RES_LC_HGen"	300	1500	6	"NEMPS3"	1
"SMALLGENLC1700S,MEDIUMGENLC1700M,BIGGENLC1700B"	SMALLGENLC1700S	"RES_LC_SGen"	140	750	10	"NEMPS1"	1
"SMALLGENLC1700S,MEDIUMGENLC1700M,BIGGENLC1700B"	MEDIUMGENLC1700M	"RES_LC_MGen"	260	1100	8	"NEMPS2"	1
"SMALLGENLC1700S,MEDIUMGENLC1700M,BIGGENLC1700B"	BIGGENLC1700B	"RES_LC_HGen"	360	1700	6	"NEMPS3"	1
"SMALLGENLC1800S,MEDIUMGENLC1800M,BIGGENLC1800B"	SMALLGENLC1800S	"RES_LC_SGen"	90	600	10	"NEMPS1"	1
"SMALLGENLC1800S,MEDIUMGENLC1800M,BIGGENLC1800B"	MEDIUMGENLC1800M	"RES_LC_MGen"	180	1200	8	"NEMPS2"	1
"SMALLGENLC1800S,MEDIUMGENLC1800M,BIGGENLC1800B"	BIGGENLC1800B	"RES_LC_HGen"	360	1800	6	"NEMPS3"	1
"SMALLGENLC1900S,MEDIUMGENLC1900M,BIGGENLC1900B"	SMALLGENLC1900S	"RES_LC_SGen"	140	1000	10	"NEMPS1"	1
"SMALLGENLC1900S,MEDIUMGENLC1900M,BIGGENLC1900B"	MEDIUMGENLC1900M	"RES_LC_MGen"	260	1400	8	"NEMPS2"	1
"SMALLGENLC1900S,MEDIUMGENLC1900M,BIGGENLC1900B"	BIGGENLC1900B	"RES_LC_HGen"	360	1900	6	"NEMPS3"	1
"SMALLGENLC2000S,MEDIUMGENLC2000M,BIGGENLC2000B"	SMALLGENLC2000S	"RES_LC_SGen"	140	1000	10	"NEMPS1"	1
"SMALLGENLC2000S,MEDIUMGENLC2000M,BIGGENLC2000B"	MEDIUMGENLC2000M	"RES_LC_MGen"	260	1500	8	"NEMPS2"	1
"SMALLGENLC2000S,MEDIUMGENLC2000M,BIGGENLC2000B"	BIGGENLC2000B	"RES_LC_HGen"	360	2000	6	"NEMPS3"	1
"SMALLGENLC2100S,MEDIUMGENLC2100M,BIGGENLC2100B"	SMALLGENLC2100S	"RES_LC_SGen"	140	1100	10	"NEMPS1"	1
