"category"	"objectID"	"neededResearches"	"mesh"	"meshParamsIndex"	"priceCampaign"	"priceSingle"	"timeCampaign"	"timeSingle"	"video"
"Unit"	RES_EDUSTEALTH	"RES_ED_UMW3,RES_MISSION_PACK1_ONLY"	"EDUSTEALTH"	1	5000	2000	10	4	""
"Unit"	RES_EDUUT	"RES_ED_UA11"	"EDUUT"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA11	""	"EDUA11"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA12	"RES_ED_UA11"	"EDUA12"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA21	"RES_ED_UA12"	"EDUA21"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA22	"RES_ED_UA21"	"EDUA22"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA31	"RES_ED_UA42"	"EDUA31"	1	5000	3000	10	4	""
"Unit"	RES_ED_UA32	"RES_ED_UA31"	"EDUA32"	1	5000	3000	10	4	""
"Unit"	RES_ED_UA41	"RES_ED_UA12"	"EDUA41"	1	5000	3000	10	4	""
"Unit"	RES_ED_UA42	"RES_ED_UA41"	"EDUA42"	1	5000	3000	10	4	""
"Unit"	RES_ED_UAHH1	"RES_ED_UA21"	"EDUAHH1"	1	5000	3000	10	4	""
"Unit"	RES_ED_UAHH2	"RES_ED_UAHH1"	"EDUAHH2"	1	5000	3000	10	4	""
"Unit"	RES_ED_UBT1	"RES_ED_UJP2"	"EDUBT2"	3	5000	6000	10	10	""
"Unit"	RES_ED_UHS1	"RES_ED_NOT_FOR_BUILD"	"EDUBS1"	4	5000	3000	10	4	""
"Unit"	RES_ED_UHS2	"RES_ED_NOT_FOR_BUILD"	"EDUBS2"	4	5000	3000	10	4	""
"Unit"	RES_ED_UHS3	"RES_ED_NOT_FOR_BUILD"	"EDUHS3"	4	5000	3000	10	4	""
"Unit"	RES_ED_UHT1	"RES_ED_UST2"	"EDUHT1"	2	5000	3000	10	4	""
"Unit"	RES_ED_UHT2	"RES_ED_UHT1"	"EDUHT2"	2	5000	3000	10	3	""
"Unit"	RES_ED_UHT3	"RES_ED_UHT2"	"EDUHT3"	2	5000	3000	10	3	""
"Unit"	RES_ED_UJP1	"RES_ED_UST2"	"EDUJP1"	3	5000	3000	10	4	""
"Unit"	RES_ED_UJP2	"RES_ED_UJP1"	"EDUJP2"	3	5000	3000	10	3	""
"Unit"	RES_ED_UJP3	"RES_ED_UJP2"	"EDUJP3"	3	5000	3000	10	3	""
"Unit"	RES_ED_UMI1	""	"EDUMI1"	1	5000	3000	10	4	""
"Unit"	RES_ED_UMI2	"RES_ED_UMI1"	"EDUMI2"	1	5000	3000	10	4	""
"Unit"	RES_ED_UMT1	""	"EDUMT1"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMT2	"RES_ED_UMT1"	"EDUMT2"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMT3	"RES_ED_UMT2"	"EDUMT3"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW1	""	"EDUMW1"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW2	"RES_ED_UMW1"	"EDUMW2"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW3	"RES_ED_UMW2"	"EDUMW3"	1	5000	2000	5	2	""
"Unit"	RES_ED_USM1	"RES_ED_NOT_FOR_BUILD"	"EDUSM1"	22	5000	3000	10	4	""
"Unit"	RES_ED_USM2	"RES_ED_NOT_FOR_BUILD"	"EDUSM2"	22	5000	3000	10	4	""
"Unit"	RES_ED_USS2	"RES_ED_NOT_FOR_BUILD"	"EDUSS2"	1	5000	2000	5	2	""
"Unit"	RES_ED_USS3	"RES_ED_NOT_FOR_BUILD"	"EDUSS3"	1	5000	2000	5	2	""
"Unit"	RES_ED_UST2	""	"EDUST2"	1	5000	2000	5	2	""
"Unit"	RES_ED_UST3	"RES_ED_UST2"	"EDUST3"	1	5000	2000	5	2	""
