"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"buildingType"	"buildingTypeEx"	"buildingTabType"	"$initCannonID1"	"$initCannonID2"	"$initCannonID3"	"$initCannonID4"	"$copulaID"	"buildingTunnelNumber"	"$upgradeCopulaSmallID"	"$upgradeCopulaBigID"	"$buildLCTransporterID"	"$chimneySmokeID"	"needPower"	"$slaveBuildingID"	"maxSubBuildingsCount"	"powerLevel"	"powerTransmitterRange"	"connectTransmitterRange"	"fullEnergyPowerInDay"	"resourceInputOutput"	"ticPerContainer"	"$containerID"	"containerSmeltingTicks"	"resourcesPerTransport"	"$transporterID"	"$buildingAmmoID"	"rangeOfBuildingFire"	"$shootExplosionID"	"ammoReloadTime"	"$buildExplosion"	"copulaAnimationFlags"	"endOfClosingCopulaAnimation"	"$laserID"	"spaceStationType"
"LCBAB"	LCBAB	""	"LCBAB"	9	16	1500	440	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_BBLC"	"NEXLCBAB"	3000	1	25	15000	500	1	0	2	""	"SMALLGENLC2000S"	2	"b4,5,12"	""	""	""	8	0	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	50	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBART"	LCBART	"RES_LC_ART"	"LCBART"	9	16	10000	1100	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_DLC"	"LCWRART"	1500	1	25	15000	500	1	0	1	""	"SMALLGENLC2100S"	2	"b26,31"	""	""	""	0	0	-1	"LCCART"	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	250	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBBA"	LCBBA	""	"LCBBA"	9	17	1000	360	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_BLC"	"NEXLCBBA"	3000	1	25	30000	500	1	0	2	""	"SMALLGENLC2000S"	2	""	""	""	""	4	0	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	0	""	0	0	50	50	600	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBBF"	LCBBF	""	"LCBBF"	9	16	3500	350	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_BLC"	"NEXLCBBF"	10000	1	33	30000	500	1	0	2	""	"SMALLGENLC9000S"	2	"b4,12"	"b4,12"	"b5"	"b5"	33	0	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	100	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBCC"	LCBCC	"RES_UCS_NOT_FOR_BUILD"	"LCBCC"	9	20	1100	440	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_BLC"	""	3000	1	50	15000	500	1	0	2	""	"SMALLGENLC3000S"	2	""	""	""	""	0	0	-1	""	""	""	""	""	-1	"LCCBU1"	"LCCBU2"	"LCUBU"	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBDE"	LCBDE	"RES_LC_BMD"	"LCBDE"	9	18	1000	600	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_DLC"	"NEXLCBDE"	1200	1	70	20000	500	1	0	2	""	"SMALLGENLC2000S"	2	"b4,12"	"b4,12"	""	""	0	2	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBEN1,LCBEN2"	LCBEN1	"RES_MISSION_PACK1_ONLY"	"LCBEN1"	9	28	500	440	"SND_UCSB"	"HIT_SMOKE"	"EXP_BUILD_S"	""	1500	1	25	15000	500	1	0	2	""	"SMALLGENLC1200S"	2	""	""	""	""	25	0	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	"EXP_TELEPORT_B"	0	""	0	0	""	0
"LCBEN1,LCBEN2"	LCBEN2	"RES_UCS_NOT_FOR_BUILD"	"LCBEN1"	9	28	500	440	"SND_UCSB"	"HIT_SMOKE"	"EXP_BUILD_S"	""	1500	1	25	15000	500	1	0	2	""	"SMALLGENLC1200S"	2	""	""	""	""	25	0	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	"EXP_TELEPORT_B"	0	""	0	0	""	0
"LCBGA"	LCBGA	"RES_LC_BHD"	"LCBGA"	9	18	3000	1300	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_DLC"	"NEXLCBGA"	3500	1	80	25000	500	1	0	4	""	"SMALLGENLC4200S"	2	"b4,5,12"	"b4,5,12"	""	""	0	1	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	25	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBHQ"	LCBHQ	""	"LCBHQ"	9	16	1500	440	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_BBLC"	"NEXLCBHQ"	3600	1	25	30000	500	1	0	2	""	"SMALLGENLC2000S"	2	"b4,12"	""	""	""	13	0	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	50	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBLZ"	LCBLZ	""	"LCBLZ"	9	8	500	440	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_SLC"	""	300	1	75	10000	500	1	0	2	""	"SMALLGENLC300S"	2	""	""	""	""	29	0	-1	""	""	""	""	""	-1	"LCCBU1"	"EDCBU2"	"LCUBU"	""	0	""	0	0	0	0	0	0	0	""	0	0	"LCUTA1"	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBMR"	LCBMR	""	"LCBMR"	9	17	1750	380	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_BLC"	"NEXLCBMR"	3000	1	25	30000	500	1	0	2	""	"SMALLGENLC2100S"	2	""	""	""	""	31	0	-1	""	""	""	""	""	-1	"LCCBU1"	"LCCBU2"	"LCUBU"	"SMOKE_UCSBRF"	50	""	0	0	0	0	0	0	285	""	50	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBMR2"	LCBMR2	"RES_LC_LCBMR2"	"LCBSR"	9	17	2300	360	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_BLC"	"NEXLCBMR"	4000	1	33	30000	500	1	0	2	""	"SMALLGENLC2100S"	2	""	""	""	""	31	0	-1	""	""	""	""	""	-1	"LCCBU1"	"LCCBU2"	"LCUBU3"	"SMOKE_UCSBRF"	50	""	0	0	0	0	0	0	239	""	50	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBNE"	LCBNE	"RES_LCBNE"	"LCBNE"	9	18	200	140	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_DLC"	""	300	1	50	15000	500	1	0	2	""	"SMALLGENLC1200S"	2	"b4,12"	""	""	""	0	0	-1	""	""	""	""	""	-1	"LCCBU1"	"LCCBU2"	"LCUBU"	""	0	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBPM"	LCBPM	"RES_LC_BPM"	"LCBPM"	9	16	5000	1200	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_DLC"	"LCWRPM"	7000	1	82	30000	500	1	0	4	""	"SMALLGENLC7500S"	2	"b4,5,12"	"b4,5,12"	"b4,5,12"	""	0	2	-1	""	""	""	""	""	56	"LCCBU1"	"LCCBU2"	"LCUBU"	""	50	""	0	0	0	0	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
"LCBPP"	LCBPP	""	"LCBPP"	9	17	1000	240	"SND_LCB"	"HIT_SMOKE"	"EXP_BUILD_BLC"	"NEXLCBPP"	3000	1	25	30000	500	1	0	2	""	"SMALLGENLC2100S"	2	""	""	""	""	2	0	-1	""	""	""	""	""	-1	"LCCBU1"	"LCCBU2"	"LCUBU"	""	0	"LCBSB"	15	0	50	50	0	0	0	""	0	0	""	""	0	""	0	"EXP_BUILD_LC"	0	0	""	0
