"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"type"	"rocketType"	"missileSize"	"$rocketDummyID"	"isAntiRocketTarget"	"speed"	"timeOfShoot"	"plusRangeOfFire"	"hitType"	"hitRange"	"typeOfDamage"	"damage"	"$explosionID"
"MIS_LCAARG1,MIS_LCAARG2,MIS_LCAARG3,MIS_LCAARG4"	MIS_LCAARG1	""	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	0	0	1	2	95	"EXP_SCL1"
"MIS_LCAARG1,MIS_LCAARG2,MIS_LCAARG3,MIS_LCAARG4"	MIS_LCAARG2	"RES_LC_MIS_RG2"	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	0	0	1	2	115	"EXP_SCL1"
"MIS_LCAARG1,MIS_LCAARG2,MIS_LCAARG3,MIS_LCAARG4"	MIS_LCAARG3	"RES_LC_MIS_RG3"	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	0	0	1	2	130	"EXP_SCL1"
"MIS_LCAARG1,MIS_LCAARG2,MIS_LCAARG3,MIS_LCAARG4"	MIS_LCAARG4	"RES_LC_MIS_RG4"	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	1	0	1	2	150	"EXP_SCL1"
"MIS_LCART"	MIS_LCART	""	"NEMAR"	0	0	500	0	""	""	""	""	0	0	0	0	0	0	0	10	0	0	""	0	64	0	0	1	4	2	2300	"EXP_FIRE_BIG1"
"MIS_LCBLITZ1,MIS_LCBLITZ2,MIS_LCBLITZ3"	MIS_LCBLITZ1	""	"PYBOLT"	0	0	0	0	"SND_THUNDER"	""	""	""	0	0	0	0	0	0	0	15	0	0	""	0	0	4	0	0	1	5	500	"EXP_EL1"
"MIS_LCBLITZ1,MIS_LCBLITZ2,MIS_LCBLITZ3"	MIS_LCBLITZ2	""	"PYBOLT"	0	0	0	0	"SND_THUNDER"	""	""	""	0	0	0	0	0	0	0	15	0	0	""	0	0	20	0	0	1	5	750	"EXP_EL1"
"MIS_LCBLITZ1,MIS_LCBLITZ2,MIS_LCBLITZ3"	MIS_LCBLITZ3	""	"PYBOLT"	0	0	0	0	"SND_THUNDER"	""	""	""	0	0	0	0	0	0	0	15	0	0	""	0	0	20	0	0	1	5	900	"EXP_EL1"
"MIS_LCEQ1,MIS_LCEQ2"	MIS_LCEQ1	"RES_LCWEQ1"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	17	0	0	""	0	0	0	0	1	5	2	50	"EXP_EQ1"
"MIS_LCEQ1,MIS_LCEQ2"	MIS_LCEQ2	"RES_LCWEQ2"	"NEMMR"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	17	0	0	""	0	0	0	0	1	5	2	80	"EXP_EQ1"
"MIS_LCHRG1,MIS_LCHRG2,MIS_LCHRG3,MIS_LCHRG4"	MIS_LCHRG1	""	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	0	0	1	2	165	"EXP_SCL1"
"MIS_LCHRG1,MIS_LCHRG2,MIS_LCHRG3,MIS_LCHRG4"	MIS_LCHRG2	"RES_LC_MIS_HRG2"	"NEMG"	0	0	0	0	""	""	""	""	0	0	0	0	0	0	0	4	0	1	""	0	32	0	1	0	1	2	180	"EXP_SCL1"
