"category"	"objectID"	"neededResearches"	"mesh"	"meshParamsIndex"	"priceCampaign"	"priceSingle"	"timeCampaign"	"timeSingle"	"video"
"Unit"	RES_EDUSTEALTH	"RES_ED_UMW3,RES_MISSION_PACK1_ONLY"	"EDUSTEALTH"	1	5000	2000	10	4	""
"Unit"	RES_EDUUT	"RES_ED_UA11"	"EDUUT"	1	5000	2000	5	2	""
"Unit"	RES_ED_HERO	"RES_ED_UBT1"	"EDUHERO"	8	5000	12000	10	21	""
"Unit"	RES_ED_HERO2	"RES_ED_HERO"	"EDUHERO"	8	5000	12000	10	10	""
"Unit"	RES_ED_UA11	""	"EDUA11"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA12	"RES_ED_UA11"	"EDUA12"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA21	"RES_ED_UA12"	"EDUA21"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA22	"RES_ED_UA21"	"EDUA22"	1	5000	2000	5	2	""
"Unit"	RES_ED_UA31	"RES_ED_UA42"	"EDUA31"	1	5000	3000	10	4	""
"Unit"	RES_ED_UA32	"RES_ED_UA31"	"EDUA32"	1	5000	3000	10	4	""
"Unit"	RES_ED_UA41	"RES_ED_UA22"	"EDUA41"	1	5000	3000	10	4	""
"Unit"	RES_ED_UA42	"RES_ED_UA41"	"EDUA42"	1	5000	3000	10	4	""
"Unit"	RES_ED_UAHH1	"RES_ED_UA12"	"EDUAHH1"	1	5000	3000	10	4	""
"Unit"	RES_ED_UAHH2	"RES_ED_UAHH1"	"EDUAHH2"	1	5000	3000	10	4	""
"Unit"	RES_ED_UBT1	"RES_ED_UHT1"	"EDUBT1"	3	5000	10000	10	16	""
"Unit"	RES_ED_UBT2	"RES_ED_UBT1"	"EDUBT2"	3	5000	5000	10	8	""
"Unit"	RES_ED_UHS1	"RES_ED_USS3"	"EDUBS1"	4	5000	3000	10	4	""
"Unit"	RES_ED_UHS2	"RES_ED_UHS1"	"EDUBS2"	4	5000	3000	10	4	""
"Unit"	RES_ED_UHT1	"RES_ED_UST1"	"EDUHT1"	2	5000	3000	10	5	""
"Unit"	RES_ED_UHT2	"RES_ED_UHT1"	"EDUHT2"	2	5000	3000	10	3	""
"Unit"	RES_ED_UHT3	"RES_ED_UHT2"	"EDUHT3"	2	5000	3000	10	3	""
"Unit"	RES_ED_UHW1	"RES_ED_UMW2"	"EDUHW1"	2	5000	3000	10	3	""
"Unit"	RES_ED_UHW2	"RES_ED_UHW1"	"EDUHW2"	2	5000	2000	10	3	""
"Unit"	RES_ED_UJP1	"RES_ED_UST1"	"EDUJP3"	3	5000	10000	10	10	""
"Unit"	RES_ED_UMI1	"RES_ED_UMT1"	"EDUMI1"	1	5000	3000	10	4	""
"Unit"	RES_ED_UMI2	"RES_ED_UMI1"	"EDUMI2"	1	5000	3000	10	4	""
"Unit"	RES_ED_UMM21	"RES_ED_UST3"	"EDUMM21"	1	5000	3000	5	2	""
"Unit"	RES_ED_UMM31	"RES_ED_UMT3"	"EDUMM31"	1	5000	3000	5	3	""
"Unit"	RES_ED_UMM41	"RES_ED_UHW2"	"EDUMM41"	1	5000	5000	5	10	""
"Unit"	RES_ED_UMT1	""	"EDUMT1"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMT2	"RES_ED_UMT1"	"EDUMT2"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMT3	"RES_ED_UMT2"	"EDUMT3"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW1	""	"EDUMW1"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW2	"RES_ED_UMW1"	"EDUMW2"	1	5000	2000	5	2	""
"Unit"	RES_ED_UMW3	"RES_ED_UMW2"	"EDUMW3"	1	5000	2000	5	2	""
"Unit"	RES_ED_USM1	"RES_ED_UHS2"	"EDUSM1"	22	5000	3000	10	4	""
"Unit"	RES_ED_USM2	"RES_ED_USM1"	"EDUSM2"	22	5000	3000	10	4	""
