"category"	"objectID"	"neededResearches"	"mesh"	"meshParamsIndex"	"priceCampaign"	"priceSingle"	"timeCampaign"	"timeSingle"	"video"
"Unit"	RES_LCUFG1	""	"LCUFG1"	13	10000	3000	5	2	""
"Unit"	RES_LCUFG2	"RES_LCUFG1"	"LCUFG2"	13	10000	4000	5	4	""
"Unit"	RES_LCUFG3	"RES_LCUFG2"	"LCUFG3"	13	10000	5000	5	6	""
"Unit"	RES_LCUNH	"RES_ED_NOT_FOR_BUILD"	"LCUNH"	11	10000	3750	5	4	""
"Unit"	RES_LCUSF1	"RES_LC_UME2"	"LCUSF1"	12	5000	3750	10	4	""
"Unit"	RES_LCUSF2	"RES_LCUSF1"	"LCUSF2"	12	5000	3750	10	4	""
"Unit"	RES_LCUSF3	"RES_LCUSF2"	"LCUSF3"	12	5000	3750	10	4	""
"Unit"	RES_LCUUT	"RES_LC_UME1"	"LCUUT"	13	5000	2500	5	2	""
"Unit"	RES_LC_LCSS1	"RES_LC_UNH1"	"LCUSS1"	12	5000	2500	5	6	""
"Unit"	RES_LC_UAP1	"RES_LC_UBO2"	"LCUAP1"	14	10000	6250	10	5	""
"Unit"	RES_LC_UAP2	"RES_LC_UAP1"	"LCUAP2"	14	10000	6250	10	5	""
"Unit"	RES_LC_UAP3	"RES_LC_UAP2"	"LCUAP2"	14	10000	6250	10	5	""
"Unit"	RES_LC_UBO1	"RES_LC_UME3"	"LCUBO1"	13	5000	3750	10	4	""
"Unit"	RES_LC_UBO2	"RES_LC_UBO1"	"LCUBO2"	13	5000	3750	10	4	""
"Unit"	RES_LC_UCR1	"RES_LC_UMO1"	"LCUCR1"	12	5000	3750	10	4	""
"Unit"	RES_LC_UCR2	"RES_LC_UCR1"	"LCUCR2"	12	5000	3750	10	3	""
"Unit"	RES_LC_UCR3	"RES_LC_UCR2"	"LCUCR3"	12	5000	3750	10	3	""
"Unit"	RES_LC_UCU1	"RES_LC_UCR1"	"LCUCU1"	13	5000	10000	10	16	""
"Unit"	RES_LC_UCU2	"RES_LC_UCU1"	"LCUCU2"	13	5000	7000	10	10	""
"Unit"	RES_LC_UCU3	"RES_LC_UCU2"	"LCUCU3"	13	5000	5000	10	10	""
