"group"	"objectID"	"neededResearches"	"speedAdd"	"maxHPAdd"	"damageAdd"	"shootDelayAdd"	"sightRangeAdd"	"shootRangeAdd"
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM0	""	0	0	0	0	0	0
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM1	""	1	20	20	20	1	1
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM2	""	1	40	40	40	1	2
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM3	""	1	60	60	60	1	3
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM4	""	2	110	110	110	2	4
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM5	""	3	150	150	150	3	5
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM6	""	4	200	200	200	4	6
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM7	""	5	250	250	250	5	7
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM8	""	7	300	300	300	7	10
"EXPERIENCE_PARAM0,EXPERIENCE_PARAM1,EXPERIENCE_PARAM2,EXPERIENCE_PARAM3,EXPERIENCE_PARAM4,EXPERIENCE_PARAM5,EXPERIENCE_PARAM6,EXPERIENCE_PARAM7,EXPERIENCE_PARAM8,EXPERIENCE_PARAM9"	EXPERIENCE_PARAM9	""	12	1570	1570	1570	15	25
