"group"	"objectID"	"neededResearches"	"mesh"	"shadowType"	"viewParamsIndex"	"price"	"timeOfBuild"	"$soundPackID"	"$smokeID"	"$killExplosionID"	"$destructedID"	"hp"	"regenerationHP"	"armor"	"calorificCapacity"	"disableResist"	"storeableFlags"	"standType"	"sightRange"	"$talkPackID"	"$shieldGeneratorID"	"maxShieldUpdate"	"slot1Type"	"slot2Type"	"slot3Type"	"slot4Type"	"soilSpeed"	"roadSpeed"	"sandSpeed"	"bankSpeed"	"waterSpeed"	"deepWaterSpeed"	"airSpeed"	"objectType"	"$engineSmokeID"	"$dustID"	"$billowID"	"$standBillowID"	"$trackID"
"EDUA11,EDUA12"	EDUA11	"RES_ED_UA11"	"EDUA11"	7	1	400	600	"SND_EDUAS"	""	"EXP_UNIT_A"	""	240	0	0	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	""	-1	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b1,3,4"	""	""	""	""	""
"EDUA11,EDUA12"	EDUA12	"RES_ED_UA12"	"EDUA12"	7	1	400	600	"SND_EDUAS"	""	"EXP_UNIT_A"	""	300	0	0	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED900S"	0	"b0,2"	""	""	""	19	19	19	19	19	19	7	"b1,3,4"	""	""	""	""	""
"EDUA21,EDUA22"	EDUA21	"RES_ED_UA21"	"EDUA21"	7	1	600	800	"SND_EDUAS"	""	"EXP_UNIT_A"	""	350	0	33	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,2,27"	""	""	""	19	19	19	19	19	19	8	"b1,3,4"	""	""	""	""	""
"EDUA21,EDUA22"	EDUA22	"RES_ED_UA22"	"EDUA22"	7	1	600	800	"SND_EDUAS"	""	"EXP_UNIT_A"	""	450	0	33	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,2,27"	""	""	""	19	19	19	19	19	19	8	"b1,3,4"	""	""	""	""	""
"EDUA31,EDUA32"	EDUA31	"RES_ED_UA31"	"EDUA31"	7	3	1300	1200	"SND_EDUAB"	""	"EXP_UNIT_A"	""	700	0	60	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b1,5"	""	""	""	""	""
"EDUA31,EDUA32"	EDUA32	"RES_ED_UA32"	"EDUA32"	7	3	1300	1200	"SND_EDUAB"	""	"EXP_UNIT_A"	""	800	0	60	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b1,5"	""	""	""	""	""
"EDUA41,EDUA42"	EDUA41	"RES_ED_UA41"	"EDUA41"	7	3	1000	1200	"SND_EDUAB"	""	"EXP_UNIT_A"	""	400	0	33	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b1,5"	""	""	""	""	""
"EDUA41,EDUA42"	EDUA42	"RES_ED_UA42"	"EDUA42"	7	3	1000	1200	"SND_EDUAB"	""	"EXP_UNIT_A"	""	500	0	33	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	1	"b0,3"	""	""	""	19	19	19	19	19	19	10	"b1,5"	""	""	""	""	""
"EDUAHH1,EDUAHH2"	EDUAHH1	"RES_ED_UAHH1"	"EDUAHH1"	7	3	1500	1400	"SND_EDUAB"	""	"EXP_UNIT_A"	""	550	0	50	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	2	"b0,21"	"b0,21"	""	""	19	19	19	19	19	19	12	"b1,3,4"	""	""	""	""	""
"EDUAHH1,EDUAHH2"	EDUAHH2	"RES_ED_UAHH2"	"EDUAHH2"	7	3	1500	1400	"SND_EDUAB"	""	"EXP_UNIT_A"	""	700	0	50	80	2000	0	1	4	"TALK_ED_AIRCRAFT"	"SMALLGENED"	2	"b0,21"	"b0,21"	""	""	19	19	19	19	19	19	11	"b1,3,4"	""	""	""	""	""
